technique,subject,protocol,fold_name,seed,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run
notch,1,within,within_fold0,0,-0.125,0.4375,48,76,134
notch,1,within,within_fold0,1,0.45833333333333337,0.7291666666666666,48,64,134
notch,1,within,within_fold0,2,0.41666666666666663,0.7083333333333334,48,90,134
notch,1,within,within_fold0,3,-0.20833333333333326,0.3958333333333333,48,72,134
notch,1,within,within_fold0,42,-0.08333333333333326,0.4583333333333333,48,78,134
notch,1,official,official_fold0,0,0.09999999999999998,0.55,120,68,84
notch,1,official,official_fold0,1,0.15000000000000002,0.575,120,60,84
notch,1,official,official_fold0,2,0.19999999999999996,0.6,120,88,84
notch,1,official,official_fold0,3,0.1166666666666667,0.5583333333333333,120,90,84
notch,1,official,official_fold0,42,-0.03333333333333344,0.48333333333333334,120,52,84
notch,2,within,within_fold0,0,0.125,0.5625,48,48,134
notch,2,within,within_fold0,1,-0.08333333333333326,0.4583333333333333,48,82,134
notch,2,within,within_fold0,2,0.04166666666666663,0.5208333333333334,48,54,134
notch,2,within,within_fold0,3,-0.16666666666666674,0.4166666666666667,48,80,134
notch,2,within,within_fold0,42,0.04166666666666663,0.5208333333333334,48,84,134
notch,2,official,official_fold0,0,0.06666666666666665,0.5333333333333333,120,94,84
notch,2,official,official_fold0,1,-0.1333333333333333,0.43333333333333335,120,66,84
notch,2,official,official_fold0,2,0.01666666666666672,0.5083333333333333,120,56,84
notch,2,official,official_fold0,3,0.01666666666666672,0.5083333333333333,120,56,84
notch,2,official,official_fold0,42,0.06666666666666665,0.5333333333333333,120,60,84
notch,3,within,within_fold0,0,0.0,0.5,48,46,134
notch,3,within,within_fold0,1,0.25,0.625,48,88,134
notch,3,within,within_fold0,2,-0.08333333333333326,0.4583333333333333,48,86,134
notch,3,within,within_fold0,3,0.16666666666666663,0.5833333333333334,48,42,134
notch,3,within,within_fold0,42,-0.04166666666666674,0.4791666666666667,48,76,134
notch,3,official,official_fold0,0,0.050000000000000044,0.525,120,16,84
notch,3,official,official_fold0,1,0.01666666666666672,0.5083333333333333,120,98,84
notch,3,official,official_fold0,2,0.06666666666666665,0.5333333333333333,120,20,84
notch,3,official,official_fold0,3,0.1333333333333333,0.5666666666666667,120,48,84
notch,3,official,official_fold0,42,0.2666666666666667,0.6333333333333333,120,64,84
notch,4,within,within_fold0,0,0.6153846153846154,0.8076923076923077,52,84,146
notch,4,within,within_fold0,1,0.6153846153846154,0.8076923076923077,52,82,146
