dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0417,0.5208,48,76,134,55.0,174.0
BCI-IV-2b,1,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1667,0.5833,48,64,134,64.0,194.0
BCI-IV-2b,1,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.25,0.625,48,92,134,60.0,188.0
BCI-IV-2b,1,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0833,0.5417,48,72,134,69.0,172.0
BCI-IV-2b,1,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.25,0.625,48,76,134,64.0,178.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.2,0.6,120,68,84,37.0,382.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,-0.1333,0.4333,120,60,84,49.0,404.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1333,0.5667,120,88,84,44.0,384.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,-0.05,0.475,120,90,84,48.0,380.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0667,0.5333,120,52,84,34.0,391.0
BCI-IV-2b,2,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0,0.5,48,48,134,72.0,214.0
BCI-IV-2b,2,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0833,0.5417,48,78,134,63.0,191.0
BCI-IV-2b,2,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0417,0.5208,48,54,134,75.0,186.0
BCI-IV-2b,2,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,-0.0417,0.4792,48,78,134,63.0,195.0
BCI-IV-2b,2,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0833,0.5417,48,86,134,68.0,189.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,-0.0333,0.4833,120,94,84,45.0,395.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,-0.0667,0.4667,120,62,84,42.0,393.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0,0.5,120,58,84,44.0,384.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0667,0.5333,120,56,84,33.0,395.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0,0.5,120,60,84,46.0,387.0
BCI-IV-2b,3,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,-0.0833,0.4583,48,46,134,72.0,189.0
BCI-IV-2b,3,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0417,0.5208,48,86,134,74.0,163.0
BCI-IV-2b,3,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0833,0.5417,48,84,134,66.0,165.0
BCI-IV-2b,3,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0417,0.5208,48,42,134,65.0,182.0
BCI-IV-2b,3,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0833,0.5417,48,76,134,71.0,184.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0333,0.5167,120,16,84,31.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1833,0.5917,120,96,84,43.0,374.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.2,0.6,120,18,84,38.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0167,0.5083,120,52,84,35.0,374.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0833,0.5417,120,64,84,46.0,396.0
BCI-IV-2b,4,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1154,0.5577,52,84,146,62.0,187.0
BCI-IV-2b,4,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.6154,0.8077,52,82,146,62.0,193.0
BCI-IV-2b,4,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,-0.0769,0.4615,52,90,146,64.0,210.0
BCI-IV-2b,4,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.2692,0.6346,52,70,146,51.0,186.0
BCI-IV-2b,4,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.4231,0.7115,52,86,146,64.0,209.0
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1429,0.5714,140,86,84,37.0,428.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.4286,0.7143,140,84,84,36.0,442.0
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.6143,0.8071,140,100,84,37.0,431.0
BCI-IV-2b,4,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0429,0.5214,140,76,84,31.0,452.0
BCI-IV-2b,4,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0,0.5,140,86,84,32.0,441.0
BCI-IV-2b,5,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1154,0.5577,52,100,146,64.0,199.0
