dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,window_size,discount_gamma,include_fbcsp_arm,include_riemann_arms,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0,0.5,48,96,134,62.0,135.0
BCI-IV-2b,1,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,-0.2083,0.3958,48,85,134,57.0,152.0
BCI-IV-2b,1,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.25,0.625,48,100,134,64.0,116.0
BCI-IV-2b,1,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,-0.1667,0.4167,48,100,134,70.0,78.0
BCI-IV-2b,1,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0,0.5,48,100,134,65.0,40.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.1333,0.5667,120,89,84,43.0,371.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.1167,0.5583,120,72,84,37.0,383.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0,0.5,120,100,84,41.0,355.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.1167,0.5583,120,100,84,36.0,303.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,-0.0333,0.4833,120,70,84,47.0,355.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0417,0.5208,48,67,134,72.0,87.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.125,0.5625,48,100,134,73.0,229.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,-0.0833,0.4583,48,67,134,69.0,142.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,-0.0417,0.4792,48,100,134,70.0,98.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0,0.5,48,100,134,69.0,168.0
BCI-IV-2b,2,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,-0.0667,0.4667,120,100,84,44.0,346.0
BCI-IV-2b,2,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0,0.5,120,82,84,47.0,371.0
BCI-IV-2b,2,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0667,0.5333,120,76,84,42.0,363.0
BCI-IV-2b,2,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.05,0.525,120,72,84,44.0,386.0
BCI-IV-2b,2,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0833,0.5417,120,85,84,39.0,315.0
BCI-IV-2b,3,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.2083,0.6042,48,74,134,75.0,131.0
BCI-IV-2b,3,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0833,0.5417,48,100,134,64.0,188.0
BCI-IV-2b,3,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.25,0.625,48,100,134,59.0,48.0
BCI-IV-2b,3,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0833,0.5417,48,55,134,69.0,75.0
BCI-IV-2b,3,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.3333,0.6667,48,99,134,83.0,128.0
BCI-IV-2b,3,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,-0.0167,0.4917,120,27,84,45.0,330.0
BCI-IV-2b,3,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.15,0.575,120,100,84,41.0,269.0
BCI-IV-2b,3,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.2167,0.6083,120,32,84,39.0,312.0
BCI-IV-2b,3,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.1833,0.5917,120,78,84,36.0,261.0
BCI-IV-2b,3,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0667,0.5333,120,84,84,40.0,374.0
BCI-IV-2b,4,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.6154,0.8077,52,100,146,41.0,134.0
BCI-IV-2b,4,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.6154,0.8077,52,100,146,50.0,184.0
BCI-IV-2b,4,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.5769,0.7885,52,100,146,43.0,16.0
BCI-IV-2b,4,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.5769,0.7885,52,88,146,33.0,81.0
BCI-IV-2b,4,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.6154,0.8077,52,100,146,27.0,125.0
BCI-IV-2b,4,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.6,0.8,140,100,84,25.0,408.0
BCI-IV-2b,4,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0857,0.5429,140,100,84,25.0,376.0
BCI-IV-2b,4,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.1,0.55,140,100,84,28.0,403.0
BCI-IV-2b,4,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0,0.5,140,97,84,21.0,417.0
BCI-IV-2b,4,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.6429,0.8214,140,100,84,21.0,375.0
BCI-IV-2b,5,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.3462,0.6731,52,100,146,43.0,159.0
BCI-IV-2b,5,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.3077,0.6538,52,100,146,39.0,122.0
BCI-IV-2b,5,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.2692,0.6346,52,97,146,61.0,139.0
BCI-IV-2b,5,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.1538,0.5769,52,100,146,48.0,169.0
BCI-IV-2b,5,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.4231,0.7115,52,94,146,54.0,169.0
BCI-IV-2b,5,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.2286,0.6143,140,100,84,38.0,409.0
BCI-IV-2b,5,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.3571,0.6786,140,100,84,24.0,413.0
BCI-IV-2b,5,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.1429,0.5714,140,66,84,40.0,371.0
BCI-IV-2b,5,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,-0.0286,0.4857,140,100,84,25.0,439.0
BCI-IV-2b,5,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.3286,0.6643,140,92,84,29.0,422.0
BCI-IV-2b,6,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,-0.125,0.4375,48,100,134,60.0,108.0
BCI-IV-2b,6,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,-0.0833,0.4583,48,100,134,53.0,115.0
BCI-IV-2b,6,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.1667,0.5833,48,100,134,61.0,165.0
BCI-IV-2b,6,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.125,0.5625,48,91,134,52.0,108.0
BCI-IV-2b,6,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.2083,0.6042,48,95,134,58.0,53.0
BCI-IV-2b,6,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0833,0.5417,120,100,84,37.0,339.0
BCI-IV-2b,6,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.1167,0.5583,120,92,84,38.0,298.0
BCI-IV-2b,6,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.4,0.7,120,99,84,34.0,348.0
BCI-IV-2b,6,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.2167,0.6083,120,100,84,33.0,348.0
BCI-IV-2b,6,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0333,0.5167,120,100,84,40.0,310.0
BCI-IV-2b,7,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.3333,0.6667,48,100,134,69.0,167.0
BCI-IV-2b,7,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.1667,0.5833,48,100,134,64.0,3.0
BCI-IV-2b,7,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.375,0.6875,48,87,134,59.0,107.0
BCI-IV-2b,7,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.2083,0.6042,48,70,134,53.0,11.0
BCI-IV-2b,7,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0,0.5,48,100,134,77.0,184.0
BCI-IV-2b,7,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.3,0.65,120,100,84,37.0,335.0
BCI-IV-2b,7,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.1333,0.5667,120,100,84,38.0,372.0
BCI-IV-2b,7,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.05,0.525,120,72,84,34.0,379.0
BCI-IV-2b,7,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.0333,0.5167,120,89,84,40.0,342.0
BCI-IV-2b,7,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.2333,0.6167,120,54,84,33.0,295.0
BCI-IV-2b,8,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,-0.0357,0.4821,56,57,157,84.0,82.0
BCI-IV-2b,8,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,-0.0714,0.4643,56,81,151,71.0,0.0
BCI-IV-2b,8,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.2143,0.6071,56,78,157,74.0,166.0
BCI-IV-2b,8,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.2143,0.6071,56,100,157,79.0,138.0
BCI-IV-2b,8,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,False,True,0.1071,0.5536,56,67,157,83.0,147.0
