technique,subject,protocol,fold_name,seed,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run
wavelet,1,within,within_fold0,0,-0.04166666666666674,0.4791666666666667,48,100,134
wavelet,1,within,within_fold0,1,0.45833333333333337,0.7291666666666666,48,82,134
wavelet,1,within,within_fold0,2,-0.125,0.4375,48,100,115
wavelet,1,within,within_fold0,3,0.04166666666666663,0.5208333333333334,48,94,60
wavelet,1,within,within_fold0,42,0.08333333333333337,0.5416666666666666,48,100,134
wavelet,1,official,official_fold0,0,0.08333333333333337,0.5416666666666666,120,86,84
wavelet,1,official,official_fold0,1,-0.1499999999999999,0.425,120,78,84
wavelet,1,official,official_fold0,2,0.033333333333333326,0.5166666666666667,120,100,84
wavelet,1,official,official_fold0,3,0.050000000000000044,0.525,120,100,84
wavelet,1,official,official_fold0,42,-0.03333333333333344,0.48333333333333334,120,69,84
wavelet,2,within,within_fold0,0,-0.20833333333333326,0.3958333333333333,48,65,76
wavelet,2,within,within_fold0,1,-0.08333333333333326,0.4583333333333333,48,100,134
wavelet,2,within,within_fold0,2,0.08333333333333337,0.5416666666666666,48,77,92
wavelet,2,within,within_fold0,3,0.08333333333333337,0.5416666666666666,48,100,67
wavelet,2,within,within_fold0,42,-0.04166666666666674,0.4791666666666667,48,100,101
wavelet,2,official,official_fold0,0,0.050000000000000044,0.525,120,100,84
wavelet,2,official,official_fold0,1,-0.016666666666666607,0.49166666666666664,120,80,84
wavelet,2,official,official_fold0,2,0.06666666666666665,0.5333333333333333,120,78,84
wavelet,2,official,official_fold0,3,0.01666666666666672,0.5083333333333333,120,73,84
wavelet,2,official,official_fold0,42,0.08333333333333337,0.5416666666666666,120,86,84
wavelet,3,within,within_fold0,0,0.29166666666666663,0.6458333333333334,48,72,118
wavelet,3,within,within_fold0,1,0.08333333333333337,0.5416666666666666,48,100,134
wavelet,3,within,within_fold0,2,0.04166666666666663,0.5208333333333334,48,100,50
wavelet,3,within,within_fold0,3,0.375,0.6875,48,55,89
wavelet,3,within,within_fold0,42,0.08333333333333337,0.5416666666666666,48,100,79
wavelet,3,official,official_fold0,0,-0.050000000000000044,0.475,120,29,84
wavelet,3,official,official_fold0,1,-0.10000000000000009,0.45,120,100,84
wavelet,3,official,official_fold0,2,0.1333333333333333,0.5666666666666667,120,29,80
wavelet,3,official,official_fold0,3,0.08333333333333337,0.5416666666666666,120,68,84
wavelet,3,official,official_fold0,42,0.0,0.5,120,88,84
wavelet,4,within,within_fold0,0,-0.03846153846153855,0.4807692307692308,52,100,146
wavelet,4,within,within_fold0,1,0.11538461538461542,0.5576923076923077,52,100,146
wavelet,4,within,within_fold0,2,0.6153846153846154,0.8076923076923077,52,100,146
wavelet,4,within,within_fold0,3,0.15384615384615385,0.5769230769230769,52,94,111
wavelet,4,within,within_fold0,42,0.42307692307692313,0.7115384615384616,52,100,144
wavelet,4,official,official_fold0,0,0.5,0.75,140,100,84
wavelet,4,official,official_fold0,1,0.6428571428571428,0.8214285714285714,140,100,84
wavelet,4,official,official_fold0,2,0.7714285714285715,0.8857142857142857,140,100,84
wavelet,4,official,official_fold0,3,0.5857142857142856,0.7928571428571428,140,100,84
wavelet,4,official,official_fold0,42,0.6428571428571428,0.8214285714285714,140,100,84
wavelet,5,within,within_fold0,0,0.23076923076923073,0.6153846153846154,52,100,141
wavelet,5,within,within_fold0,1,-0.23076923076923084,0.38461538461538464,52,100,137
wavelet,5,within,within_fold0,2,0.15384615384615385,0.5769230769230769,52,100,146
wavelet,5,within,within_fold0,3,0.46153846153846156,0.7307692307692307,52,100,111
wavelet,5,within,within_fold0,42,0.23076923076923073,0.6153846153846154,52,92,146
wavelet,5,official,official_fold0,0,0.30000000000000004,0.65,140,100,84
wavelet,5,official,official_fold0,1,0.18571428571428572,0.5928571428571429,140,100,84
wavelet,5,official,official_fold0,2,0.2571428571428571,0.6285714285714286,140,65,84
wavelet,5,official,official_fold0,3,0.3285714285714286,0.6642857142857143,140,92,84
wavelet,5,official,official_fold0,42,0.3285714285714286,0.6642857142857143,140,91,84
wavelet,6,within,within_fold0,0,0.33333333333333337,0.6666666666666666,48,100,134
wavelet,6,within,within_fold0,1,0.125,0.5625,48,100,79
wavelet,6,within,within_fold0,2,0.16666666666666663,0.5833333333333334,48,100,134
wavelet,6,within,within_fold0,3,0.0,0.5,48,86,134
wavelet,6,within,within_fold0,42,0.20833333333333337,0.6041666666666666,48,90,129
wavelet,6,official,official_fold0,0,0.08333333333333337,0.5416666666666666,120,100,84
wavelet,6,official,official_fold0,1,-0.050000000000000044,0.475,120,94,84
wavelet,6,official,official_fold0,2,0.4,0.7,120,100,84
wavelet,6,official,official_fold0,3,0.21666666666666667,0.6083333333333333,120,100,84
wavelet,6,official,official_fold0,42,0.09999999999999998,0.55,120,100,84
wavelet,7,within,within_fold0,0,0.5,0.75,48,100,134
wavelet,7,within,within_fold0,1,0.20833333333333337,0.6041666666666666,48,100,134
wavelet,7,within,within_fold0,2,-0.04166666666666674,0.4791666666666667,48,83,130
wavelet,7,within,within_fold0,3,0.45833333333333337,0.7291666666666666,48,73,134
wavelet,7,within,within_fold0,42,0.04166666666666663,0.5208333333333334,48,100,117
wavelet,7,official,official_fold0,0,0.30000000000000004,0.65,120,100,84
wavelet,7,official,official_fold0,1,0.050000000000000044,0.525,120,100,84
wavelet,7,official,official_fold0,2,0.16666666666666663,0.5833333333333334,120,69,84
wavelet,7,official,official_fold0,3,-0.050000000000000044,0.475,120,77,84
wavelet,7,official,official_fold0,42,0.23333333333333328,0.6166666666666667,120,55,84
wavelet,8,within,within_fold0,0,-0.0714285714285714,0.4642857142857143,56,62,136
wavelet,8,within,within_fold0,1,0.0714285714285714,0.5357142857142857,56,76,157
wavelet,8,within,within_fold0,2,0.2142857142857143,0.6071428571428571,56,79,157
wavelet,8,within,within_fold0,3,-0.1071428571428572,0.44642857142857145,56,100,145
wavelet,8,within,within_fold0,42,0.0714285714285714,0.5357142857142857,56,63,130
wavelet,8,official,official_fold0,0,0.033333333333333326,0.5166666666666667,120,100,112
wavelet,8,official,official_fold0,1,-0.016666666666666607,0.49166666666666664,120,100,112
wavelet,8,official,official_fold0,2,-0.03333333333333344,0.48333333333333334,120,91,112
wavelet,8,official,official_fold0,3,0.08333333333333337,0.5416666666666666,120,78,112
wavelet,8,official,official_fold0,42,0.033333333333333326,0.5166666666666667,120,82,112
wavelet,9,within,within_fold0,0,-0.25,0.375,48,84,132
wavelet,9,within,within_fold0,1,0.33333333333333337,0.6666666666666666,48,100,110
wavelet,9,within,within_fold0,2,-0.04166666666666674,0.4791666666666667,48,100,101
wavelet,9,within,within_fold0,3,0.08333333333333337,0.5416666666666666,48,88,110
wavelet,9,within,within_fold0,42,0.04166666666666663,0.5208333333333334,48,100,134
wavelet,9,official,official_fold0,0,0.033333333333333326,0.5166666666666667,120,71,84
wavelet,9,official,official_fold0,1,0.06666666666666665,0.5333333333333333,120,67,82
wavelet,9,official,official_fold0,2,0.050000000000000044,0.525,120,100,84
wavelet,9,official,official_fold0,3,0.08333333333333337,0.5416666666666666,120,77,84
wavelet,9,official,official_fold0,42,0.08333333333333337,0.5416666666666666,120,73,84
