dataset,n_classes,method,classifier,protocol,subject,fold,seed,kappa,accuracy,n_train,n_test
BCI-IV-2a,4,ccb,oplb,official,1,0,0,0.2407407407407407,0.4305555555555556,288,288
BCI-IV-2a,4,ccb,oplb,official,1,0,1,0.18518518518518523,0.3888888888888889,288,288
BCI-IV-2a,4,ccb,oplb,official,1,0,2,0.01388888888888884,0.2604166666666667,288,288
BCI-IV-2a,4,ccb,oplb,official,1,0,3,0.2407407407407407,0.4305555555555556,288,288
BCI-IV-2a,4,ccb,oplb,official,1,0,42,0.24537037037037035,0.4340277777777778,288,288
BCI-IV-2a,4,ccb,oplb,official,2,0,0,0.03703703703703709,0.2777777777777778,288,288
BCI-IV-2a,4,ccb,oplb,official,2,0,1,-0.0185185185185186,0.2361111111111111,288,288
BCI-IV-2a,4,ccb,oplb,official,2,0,2,0.12037037037037035,0.3402777777777778,288,288
BCI-IV-2a,4,ccb,oplb,official,2,0,3,0.0092592592592593,0.2569444444444444,288,288
BCI-IV-2a,4,ccb,oplb,official,2,0,42,0.08796296296296291,0.3159722222222222,288,288
BCI-IV-2a,4,ccb,oplb,official,3,0,0,0.19907407407407407,0.3993055555555556,288,288
BCI-IV-2a,4,ccb,oplb,official,3,0,1,0.21759259259259256,0.4131944444444444,288,288
BCI-IV-2a,4,ccb,oplb,official,3,0,2,0.06944444444444442,0.3020833333333333,288,288
BCI-IV-2a,4,ccb,oplb,official,3,0,3,0.17592592592592593,0.3819444444444444,288,288
BCI-IV-2a,4,ccb,oplb,official,3,0,42,0.2129629629629629,0.4097222222222222,288,288
BCI-IV-2a,4,ccb,oplb,official,4,0,0,-0.0092592592592593,0.24305555555555555,288,288
BCI-IV-2a,4,ccb,oplb,official,4,0,1,-0.0185185185185186,0.2361111111111111,288,288
BCI-IV-2a,4,ccb,oplb,official,4,0,2,0.02777777777777779,0.2708333333333333,288,288
BCI-IV-2a,4,ccb,oplb,official,4,0,3,0.13888888888888884,0.3541666666666667,288,288
BCI-IV-2a,4,ccb,oplb,official,4,0,42,0.01388888888888884,0.2604166666666667,288,288
BCI-IV-2a,4,ccb,oplb,official,5,0,0,0.01388888888888884,0.2604166666666667,288,288
BCI-IV-2a,4,ccb,oplb,official,5,0,1,0.08796296296296291,0.3159722222222222,288,288
BCI-IV-2a,4,ccb,oplb,official,5,0,2,0.06018518518518523,0.2951388888888889,288,288
BCI-IV-2a,4,ccb,oplb,official,5,0,3,0.10648148148148151,0.3298611111111111,288,288
BCI-IV-2a,4,ccb,oplb,official,5,0,42,0.09259259259259256,0.3194444444444444,288,288
BCI-IV-2a,4,ccb,oplb,official,6,0,0,-0.02314814814814814,0.2326388888888889,288,288
BCI-IV-2a,4,ccb,oplb,official,6,0,1,0.03240740740740744,0.2743055555555556,288,288
BCI-IV-2a,4,ccb,oplb,official,6,0,2,0.08333333333333337,0.3125,288,288
BCI-IV-2a,4,ccb,oplb,official,6,0,3,0.08796296296296291,0.3159722222222222,288,288
BCI-IV-2a,4,ccb,oplb,official,6,0,42,-0.0185185185185186,0.2361111111111111,288,288
BCI-IV-2a,4,ccb,oplb,official,7,0,0,0.29166666666666663,0.46875,288,288
BCI-IV-2a,4,ccb,oplb,official,7,0,1,0.27314814814814814,0.4548611111111111,288,288
BCI-IV-2a,4,ccb,oplb,official,7,0,2,0.25,0.4375,288,288
BCI-IV-2a,4,ccb,oplb,official,7,0,3,0.2870370370370371,0.4652777777777778,288,288
BCI-IV-2a,4,ccb,oplb,official,7,0,42,0.2407407407407407,0.4305555555555556,288,288
BCI-IV-2a,4,ccb,oplb,official,8,0,0,0.3287037037037037,0.4965277777777778,288,288
BCI-IV-2a,4,ccb,oplb,official,8,0,1,0.36111111111111116,0.5208333333333334,288,288
BCI-IV-2a,4,ccb,oplb,official,8,0,2,0.10185185185185186,0.3263888888888889,288,288
BCI-IV-2a,4,ccb,oplb,official,8,0,3,0.3564814814814815,0.5173611111111112,288,288
BCI-IV-2a,4,ccb,oplb,official,8,0,42,0.39814814814814814,0.5486111111111112,288,288
BCI-IV-2a,4,ccb,oplb,official,9,0,0,0.17592592592592593,0.3819444444444444,288,288
BCI-IV-2a,4,ccb,oplb,official,9,0,1,0.37037037037037035,0.5277777777777778,288,288
BCI-IV-2a,4,ccb,oplb,official,9,0,2,0.38888888888888884,0.5416666666666666,288,288
BCI-IV-2a,4,ccb,oplb,official,9,0,3,0.43518518518518523,0.5763888888888888,288,288
BCI-IV-2a,4,ccb,oplb,official,9,0,42,0.3472222222222222,0.5104166666666666,288,288
