dataset,n_classes,method,classifier,protocol,subject,fold,seed,kappa,accuracy,n_train,n_test
BCI-IV-2a,4,classical,lda,official,1,0,42,0.6203703703703703,0.7152777777777778,288,288
BCI-IV-2a,4,classical,svm,official,1,0,42,0.625,0.71875,288,288
BCI-IV-2a,4,classical,decision_tree,official,1,0,42,0.42592592592592593,0.5694444444444444,288,288
BCI-IV-2a,4,classical,random_forest,official,1,0,42,0.5694444444444444,0.6770833333333334,288,288
BCI-IV-2a,4,classical,lda,official,2,0,42,0.40740740740740744,0.5555555555555556,288,288
BCI-IV-2a,4,classical,svm,official,2,0,42,0.35185185185185186,0.5138888888888888,288,288
BCI-IV-2a,4,classical,decision_tree,official,2,0,42,0.15740740740740744,0.3680555555555556,288,288
BCI-IV-2a,4,classical,random_forest,official,2,0,42,0.35185185185185186,0.5138888888888888,288,288
BCI-IV-2a,4,classical,lda,official,3,0,42,0.4120370370370371,0.5590277777777778,288,288
BCI-IV-2a,4,classical,svm,official,3,0,42,0.37037037037037035,0.5277777777777778,288,288
BCI-IV-2a,4,classical,decision_tree,official,3,0,42,0.38888888888888884,0.5416666666666666,288,288
BCI-IV-2a,4,classical,random_forest,official,3,0,42,0.4814814814814815,0.6111111111111112,288,288
BCI-IV-2a,4,classical,lda,official,4,0,42,0.3657407407407407,0.5243055555555556,288,288
BCI-IV-2a,4,classical,svm,official,4,0,42,0.31018518518518523,0.4826388888888889,288,288
BCI-IV-2a,4,classical,decision_tree,official,4,0,42,0.18518518518518523,0.3888888888888889,288,288
BCI-IV-2a,4,classical,random_forest,official,4,0,42,0.38888888888888884,0.5416666666666666,288,288
BCI-IV-2a,4,classical,lda,official,5,0,42,0.04629629629629628,0.2847222222222222,288,288
BCI-IV-2a,4,classical,svm,official,5,0,42,0.03703703703703709,0.2777777777777778,288,288
BCI-IV-2a,4,classical,decision_tree,official,5,0,42,0.12037037037037035,0.3402777777777778,288,288
BCI-IV-2a,4,classical,random_forest,official,5,0,42,0.18981481481481477,0.3923611111111111,288,288
BCI-IV-2a,4,classical,lda,official,6,0,42,0.2222222222222222,0.4166666666666667,288,288
BCI-IV-2a,4,classical,svm,official,6,0,42,0.25,0.4375,288,288
BCI-IV-2a,4,classical,decision_tree,official,6,0,42,0.09259259259259256,0.3194444444444444,288,288
BCI-IV-2a,4,classical,random_forest,official,6,0,42,0.25462962962962965,0.4409722222222222,288,288
BCI-IV-2a,4,classical,lda,official,7,0,42,0.6018518518518519,0.7013888888888888,288,288
BCI-IV-2a,4,classical,svm,official,7,0,42,0.537037037037037,0.6527777777777778,288,288
BCI-IV-2a,4,classical,decision_tree,official,7,0,42,0.41666666666666663,0.5625,288,288
BCI-IV-2a,4,classical,random_forest,official,7,0,42,0.5601851851851851,0.6701388888888888,288,288
BCI-IV-2a,4,classical,lda,official,8,0,42,0.46759259259259256,0.6006944444444444,288,288
BCI-IV-2a,4,classical,svm,official,8,0,42,0.44907407407407407,0.5868055555555556,288,288
BCI-IV-2a,4,classical,decision_tree,official,8,0,42,0.33333333333333337,0.5,288,288
BCI-IV-2a,4,classical,random_forest,official,8,0,42,0.4907407407407407,0.6180555555555556,288,288
BCI-IV-2a,4,classical,lda,official,9,0,42,0.5972222222222222,0.6979166666666666,288,288
BCI-IV-2a,4,classical,svm,official,9,0,42,0.6111111111111112,0.7083333333333334,288,288
BCI-IV-2a,4,classical,decision_tree,official,9,0,42,0.38888888888888884,0.5416666666666666,288,288
BCI-IV-2a,4,classical,random_forest,official,9,0,42,0.587962962962963,0.6909722222222222,288,288
