dataset,montage,subject,seed,n_channels,best_arm_kappa,best_arm_accuracy,best_arm_id,best_arm_spatial,n_arms_surviving,n_test,error
UAB,full,1,0,14,0.9921441204294,0.9947643979057592,6,identity,100,191,
UAB,full,1,1,14,0.9921434741475053,0.9947643979057592,6,identity,100,191,
UAB,full,1,2,14,1.0,1.0,6,identity,100,191,
UAB,full,1,3,14,0.9921434741475053,0.9947643979057592,18,identity,100,191,
UAB,full,1,42,14,1.0,1.0,6,identity,100,191,
UAB,full,2,0,14,0.7925297113752122,0.8617021276595744,18,identity,100,188,
UAB,full,2,1,14,0.8005432014938041,0.8670212765957447,42,identity,100,188,
UAB,full,2,2,14,0.7845957988542329,0.8563829787234043,19,identity,100,188,
UAB,full,2,3,14,0.7367170259718214,0.824468085106383,18,identity,100,188,
UAB,full,2,42,14,0.8324491787972669,0.8882978723404256,30,identity,100,188,
UAB,full,3,0,14,0.8491366634457842,0.8994708994708994,66,identity,100,189,
UAB,full,3,1,14,0.9047258979206048,0.9365079365079364,54,identity,100,189,
UAB,full,3,2,14,0.8888235294117647,0.925925925925926,54,identity,100,189,
UAB,full,3,3,14,0.9206182536015792,0.9470899470899472,78,identity,100,189,
UAB,full,3,42,14,0.8015539689206216,0.8677248677248677,80,identity,100,189,
UAB,full,4,0,14,0.9381377551020408,0.9587628865979382,60,csp,100,194,
UAB,full,4,1,14,0.9536033163265306,0.9690721649484536,72,csp,100,194,
UAB,full,4,2,14,0.8685427295918368,0.9123711340206184,50,csp,100,194,
UAB,full,4,3,14,0.945874850538063,0.963917525773196,72,csp,100,194,
UAB,full,4,42,14,0.9458705357142856,0.963917525773196,36,csp,100,194,
UAB,full,5,0,14,0.8114976560572416,0.8743455497382199,12,csp,100,191,
UAB,full,5,1,14,0.7958059210526316,0.8638743455497382,0,csp,100,191,
UAB,full,5,2,14,0.7644301924025654,0.8429319371727748,78,identity,100,191,
UAB,full,5,3,14,0.8114976560572416,0.8743455497382199,12,csp,100,191,
UAB,full,5,42,14,0.6935576764851078,0.7958115183246073,24,csp,100,191,
UAB,full,6,0,14,0.8769352917824533,0.9193548387096774,18,identity,100,186,
UAB,full,6,1,14,0.9188056574122576,0.946236559139785,0,csp,100,186,
UAB,full,6,2,14,0.9592319831667544,0.9731182795698924,6,identity,100,186,
UAB,full,6,3,14,0.9184746877054568,0.946236559139785,12,csp,100,186,
