dataset,montage,subject,seed,n_channels,best_arm_kappa,best_arm_accuracy,best_arm_id,best_arm_spatial,n_arms_surviving,n_test,error
BCI-IV-2b,full,1,0,3,-0.04166666666666674,0.4791666666666667,38,csp,76,48,
BCI-IV-2b,full,1,1,3,0.25,0.625,0,csp,64,48,
BCI-IV-2b,full,1,2,3,-0.125,0.4375,115,laplacian,92,48,
BCI-IV-2b,full,1,3,3,0.04166666666666663,0.5208333333333334,158,identity,72,48,
BCI-IV-2b,full,1,42,3,0.08333333333333337,0.5416666666666666,121,identity,76,48,
BCI-IV-2b,full,2,0,3,-0.20833333333333326,0.3958333333333333,74,csp,48,48,
BCI-IV-2b,full,2,1,3,-0.29166666666666674,0.3541666666666667,97,laplacian,78,48,
BCI-IV-2b,full,2,2,3,-0.08333333333333326,0.4583333333333333,151,laplacian,54,48,
BCI-IV-2b,full,2,3,3,-0.04166666666666674,0.4791666666666667,36,csp,78,48,
BCI-IV-2b,full,2,42,3,-0.25,0.375,157,identity,86,48,
BCI-IV-2b,full,3,0,3,0.04166666666666663,0.5208333333333334,108,csp,46,48,
BCI-IV-2b,full,3,1,3,0.20833333333333337,0.6041666666666666,91,csp,86,48,
BCI-IV-2b,full,3,2,3,0.25,0.625,32,identity,84,48,
BCI-IV-2b,full,3,3,3,0.08333333333333337,0.5416666666666666,38,csp,42,48,
BCI-IV-2b,full,3,42,3,-0.04166666666666674,0.4791666666666667,30,identity,76,48,
BCI-IV-2b,full,4,0,3,0.6153846153846154,0.8076923076923077,20,csp,84,52,
BCI-IV-2b,full,4,1,3,-0.07692307692307687,0.46153846153846156,61,laplacian,82,52,
BCI-IV-2b,full,4,2,3,0.5384615384615384,0.7692307692307693,31,identity,90,52,
BCI-IV-2b,full,4,3,3,0.7307692307692308,0.8653846153846154,19,csp,70,52,
BCI-IV-2b,full,4,42,3,0.42307692307692313,0.7115384615384616,31,identity,86,52,
BCI-IV-2b,full,5,0,3,0.34615384615384615,0.6730769230769231,114,laplacian,100,52,
BCI-IV-2b,full,5,1,3,0.42307692307692313,0.7115384615384616,103,identity,100,52,
BCI-IV-2b,full,5,2,3,0.3846153846153846,0.6923076923076923,96,laplacian,74,52,
BCI-IV-2b,full,5,3,3,0.46153846153846156,0.7307692307692307,108,csp,100,52,
BCI-IV-2b,full,5,42,3,0.11538461538461542,0.5576923076923077,92,csp,68,52,
BCI-IV-2b,full,6,0,3,0.25,0.625,38,csp,78,48,
BCI-IV-2b,full,6,1,3,0.125,0.5625,24,laplacian,92,48,
BCI-IV-2b,full,6,2,3,0.16666666666666663,0.5833333333333334,36,csp,80,48,
BCI-IV-2b,full,6,3,3,0.125,0.5625,48,identity,64,48,
BCI-IV-2b,full,6,42,3,0.20833333333333337,0.6041666666666666,18,csp,70,48,
BCI-IV-2b,full,7,0,3,0.125,0.5625,140,identity,88,48,
BCI-IV-2b,full,7,1,3,0.33333333333333337,0.6666666666666666,67,identity,98,48,
BCI-IV-2b,full,7,2,3,-0.04166666666666674,0.4791666666666667,55,csp,62,48,
BCI-IV-2b,full,7,3,3,0.20833333333333337,0.6041666666666666,38,csp,52,48,
BCI-IV-2b,full,7,42,3,0.04166666666666663,0.5208333333333334,116,laplacian,98,48,
BCI-IV-2b,full,8,0,3,-0.0714285714285714,0.4642857142857143,68,identity,44,56,
BCI-IV-2b,full,8,1,3,0.0714285714285714,0.5357142857142857,20,csp,56,56,
BCI-IV-2b,full,8,2,3,0.25,0.625,18,csp,62,56,
BCI-IV-2b,full,8,3,3,-0.1071428571428572,0.44642857142857145,97,laplacian,82,56,
BCI-IV-2b,full,8,42,3,-0.1785714285714286,0.4107142857142857,98,laplacian,48,56,
BCI-IV-2b,full,9,0,3,-0.25,0.375,6,laplacian,62,48,
BCI-IV-2b,full,9,1,3,0.125,0.5625,85,identity,80,48,
BCI-IV-2b,full,9,2,3,-0.04166666666666674,0.4791666666666667,152,laplacian,74,48,
BCI-IV-2b,full,9,3,3,0.08333333333333337,0.5416666666666666,85,identity,62,48,
BCI-IV-2b,full,9,42,3,0.25,0.625,62,laplacian,94,48,
WAUC,full,1,0,8,0.3400413507925568,0.672514619883041,18,identity,100,171,
WAUC,full,1,1,8,0.39399624765478425,0.7017543859649122,0,csp,90,171,
WAUC,full,1,2,8,0.31066917495296964,0.6491228070175439,0,csp,98,171,
WAUC,full,1,3,8,0.30293928341557597,0.6666666666666666,38,csp,100,171,
WAUC,full,1,42,8,0.2599538372763993,0.6491228070175439,18,identity,100,171,
WAUC,full,2,0,8,0.8512091815821834,0.9256198347107438,8,identity,100,121,
WAUC,full,2,1,8,0.834609075997813,0.9173553719008265,0,csp,100,121,
WAUC,full,2,2,8,0.8842421757550909,0.9421487603305785,6,identity,100,121,
WAUC,full,2,3,8,0.9008467631794592,0.9504132231404959,6,identity,100,121,
WAUC,full,2,42,8,0.933861710849959,0.9669421487603306,0,csp,100,121,
WAUC,full,3,0,8,0.11355735805330247,0.6078431372549019,96,csp,64,153,
WAUC,full,3,1,8,0.23632175081589568,0.6601307189542484,72,csp,72,153,
WAUC,full,3,2,8,0.42029387302467425,0.7320261437908496,18,identity,72,153,
WAUC,full,3,3,8,0.21931260229132565,0.6535947712418301,6,identity,76,153,
WAUC,full,3,42,8,0.5224628771398846,0.7843137254901961,6,identity,80,153,
WAUC,full,4,0,8,0.2934782608695652,0.6467391304347826,50,csp,94,184,
WAUC,full,4,1,8,0.4782608695652174,0.7391304347826086,1,csp,100,184,
WAUC,full,4,2,8,0.42391304347826086,0.7119565217391305,48,csp,98,184,
WAUC,full,4,3,8,0.40217391304347827,0.7010869565217391,96,csp,100,184,
WAUC,full,4,42,8,0.5652173913043479,0.782608695652174,1,csp,96,184,
WAUC,full,5,0,8,0.614521300961979,0.8074866310160428,12,csp,100,187,
WAUC,full,5,1,8,0.6046059774844277,0.8021390374331551,12,csp,100,187,
WAUC,full,5,2,8,0.5290211791642816,0.7647058823529411,36,csp,100,187,
WAUC,full,5,3,8,0.4542489270386266,0.7272727272727273,92,identity,100,187,
WAUC,full,5,42,8,0.21954147847464411,0.6096256684491979,14,csp,100,187,
WAUC,full,6,0,8,0.4285131433234248,0.7135135135135136,6,identity,100,185,
WAUC,full,6,1,8,0.5344958745391772,0.7675675675675676,48,csp,100,185,
WAUC,full,6,2,8,0.5357997315749548,0.7675675675675676,48,csp,100,185,
WAUC,full,6,3,8,0.6108449222858479,0.8054054054054054,60,csp,100,185,
WAUC,full,6,42,8,0.49214415045850124,0.745945945945946,50,csp,100,185,
WAUC,full,7,0,8,0.40583941605839413,0.7027027027027027,86,csp,100,185,
WAUC,full,7,1,8,0.33441462695370094,0.6702702702702703,86,csp,100,185,
WAUC,full,7,2,8,0.38170624450307833,0.6918918918918919,7,identity,100,185,
WAUC,full,7,3,8,0.3607613469985358,0.6810810810810811,6,identity,100,185,
WAUC,full,7,42,8,0.37324766355140193,0.6864864864864865,84,csp,100,185,
WAUC,full,8,0,8,0.42391304347826086,0.7119565217391305,54,identity,100,184,
WAUC,full,8,1,8,0.25,0.625,73,csp,100,184,
WAUC,full,8,2,8,0.3913043478260869,0.6956521739130435,7,identity,100,184,
WAUC,full,8,3,8,0.4347826086956522,0.717391304347826,72,csp,100,184,
WAUC,full,8,42,8,0.32608695652173914,0.6630434782608695,62,csp,100,184,
WAUC,full,9,0,8,0.6028446389496718,0.8016528925619835,42,identity,100,121,
WAUC,full,9,1,8,0.48623476236132046,0.743801652892562,42,identity,100,121,
WAUC,full,9,2,8,0.552527051088892,0.7768595041322314,66,identity,100,121,
WAUC,full,9,3,8,0.6036036036036037,0.8016528925619835,55,identity,100,121,
WAUC,full,9,42,8,0.569159134483703,0.7851239669421488,56,identity,100,121,
WAUC,full,10,0,8,0.6538416559466729,0.827027027027027,24,csp,100,185,
WAUC,full,10,1,8,0.5464627597478403,0.772972972972973,26,csp,100,185,
WAUC,full,10,2,8,0.6646787113371924,0.8324324324324325,0,csp,100,185,
WAUC,full,10,3,8,0.5140956049728593,0.7567567567567568,0,csp,100,185,
WAUC,full,10,42,8,0.40611685052238367,0.7027027027027027,90,identity,100,185,
WAUC,full,11,0,8,1.0,1.0,0,csp,100,125,
WAUC,full,11,1,8,0.9039200614911607,0.952,13,csp,100,125,
WAUC,full,11,2,8,1.0,1.0,12,csp,100,125,
WAUC,full,11,3,8,1.0,1.0,0,csp,100,125,
WAUC,full,11,42,8,1.0,1.0,0,csp,100,125,
WAUC,full,12,0,8,0.4844074844074844,0.7419354838709677,96,csp,100,186,
WAUC,full,12,1,8,0.4718970912040793,0.7365591397849462,12,csp,100,186,
WAUC,full,12,2,8,0.5482303955586398,0.7741935483870968,49,csp,100,186,
WAUC,full,12,3,8,0.5376344086021505,0.7688172043010753,49,csp,100,186,
WAUC,full,12,42,8,0.46055684454756385,0.7311827956989247,6,identity,100,186,
WAUC,full,13,0,8,0.32942057942057945,0.664804469273743,6,identity,100,179,
WAUC,full,13,1,8,0.24510047134706026,0.6201117318435754,85,csp,100,179,
WAUC,full,13,2,8,0.4530772588389349,0.7262569832402235,12,csp,100,179,
WAUC,full,13,3,8,0.13505141865939785,0.5642458100558659,14,csp,100,179,
WAUC,full,13,42,8,0.4420199501246883,0.7206703910614525,2,csp,100,179,
WAUC,full,14,0,8,0.6786505786752031,0.8388888888888889,42,identity,100,180,
WAUC,full,14,1,8,0.6656760772659733,0.8333333333333334,30,identity,100,180,
WAUC,full,14,2,8,0.7555555555555555,0.8777777777777778,42,identity,100,180,
WAUC,full,14,3,8,0.599009900990099,0.8,72,csp,100,180,
WAUC,full,14,42,8,0.7453874538745388,0.8722222222222222,18,identity,100,180,
WAUC,full,15,0,8,0.48629277907185087,0.7431693989071039,78,identity,100,183,
WAUC,full,15,1,8,0.5074466176206711,0.7540983606557377,18,identity,78,183,
WAUC,full,15,2,8,0.35389862964514396,0.6775956284153005,32,identity,100,183,
WAUC,full,15,3,8,0.5403659849300323,0.7704918032786885,18,identity,100,183,
WAUC,full,15,42,8,0.31067264573991027,0.6557377049180327,13,csp,86,183,
WAUC,full,16,0,8,1.0,1.0,6,identity,96,124,
WAUC,full,16,1,8,1.0,1.0,6,identity,100,124,
WAUC,full,16,2,8,1.0,1.0,6,identity,100,124,
WAUC,full,16,3,8,1.0,1.0,6,identity,100,124,
WAUC,full,16,42,8,1.0,1.0,6,identity,100,124,
WAUC,full,17,0,8,0.457573354480571,0.7361111111111112,43,identity,100,144,
WAUC,full,17,1,8,0.6518936341659951,0.8333333333333334,42,identity,100,144,
WAUC,full,17,2,8,0.514670896114195,0.7638888888888888,30,identity,98,144,
WAUC,full,17,3,8,0.55895865237366,0.7777777777777778,42,identity,100,144,
WAUC,full,17,42,8,0.6388888888888888,0.8194444444444444,42,identity,100,144,
WAUC,full,18,0,8,0.3079261164367547,0.654054054054054,32,identity,100,185,
WAUC,full,18,1,8,0.5358539004609371,0.7675675675675676,2,csp,100,185,
WAUC,full,18,2,8,0.5359622003149973,0.7675675675675676,12,csp,100,185,
WAUC,full,18,3,8,0.3510289990645463,0.6756756756756757,32,identity,100,185,
WAUC,full,18,42,8,0.40521423978488347,0.7027027027027027,66,identity,100,185,
WAUC,full,19,0,8,0.6418966737438075,0.8206521739130435,72,csp,100,184,
WAUC,full,19,1,8,0.6422342682064577,0.8206521739130435,2,csp,100,184,
WAUC,full,19,2,8,0.5987741631305987,0.7989130434782609,85,csp,100,184,
WAUC,full,19,3,8,0.7178912607618824,0.8586956521739131,84,csp,100,184,
WAUC,full,19,42,8,0.6635999056381222,0.8315217391304348,48,csp,100,184,
WAUC,full,20,0,8,0.4298438403701561,0.7150537634408602,72,csp,100,186,
WAUC,full,20,1,8,0.3663240558956,0.6827956989247311,0,csp,100,186,
WAUC,full,20,2,8,0.36603119584055455,0.6827956989247311,62,csp,100,186,
WAUC,full,20,3,8,0.34332677393216804,0.6720430107526881,48,csp,74,186,
WAUC,full,20,42,8,0.49415576900821656,0.7473118279569892,0,csp,100,186,
WAUC,full,21,0,8,0.5662368112543963,0.7837837837837838,0,csp,100,185,
WAUC,full,21,1,8,0.5018730976352141,0.7513513513513513,36,csp,100,185,
WAUC,full,21,2,8,0.5994030549540587,0.8,6,identity,100,185,
WAUC,full,21,3,8,0.3465975983046856,0.6756756756756757,0,csp,100,185,
WAUC,full,21,42,8,0.4929142123986703,0.745945945945946,7,identity,100,185,
WAUC,full,22,0,8,0.45353559483994266,0.726775956284153,1,csp,100,183,
WAUC,full,22,1,8,0.5627240143369177,0.7814207650273224,84,csp,100,183,
WAUC,full,22,2,8,0.5079763398458506,0.7540983606557377,12,csp,100,183,
WAUC,full,22,3,8,0.6175891097975998,0.8087431693989071,26,csp,100,183,
WAUC,full,22,42,8,0.6500956022944551,0.825136612021858,36,csp,100,183,
WAUC,full,24,0,8,0.45950683650812196,0.7297297297297297,0,csp,100,185,
WAUC,full,24,1,8,0.4710893284322306,0.7351351351351352,0,csp,90,185,
WAUC,full,24,2,8,0.4703476482617587,0.7351351351351352,36,csp,100,185,
WAUC,full,24,3,8,0.244281045751634,0.6216216216216216,37,csp,100,185,
WAUC,full,24,42,8,0.3948598130841122,0.6972972972972973,12,csp,100,185,
WAUC,full,25,0,8,0.4516129032258065,0.7258064516129032,0,csp,100,186,
WAUC,full,25,1,8,0.4516129032258065,0.7258064516129032,84,csp,100,186,
WAUC,full,25,2,8,0.34408602150537637,0.6720430107526881,49,csp,100,186,
WAUC,full,25,3,8,0.34408602150537637,0.6720430107526881,78,identity,100,186,
WAUC,full,25,42,8,0.5591397849462365,0.7795698924731183,72,csp,100,186,
WAUC,full,27,0,8,0.22250701818625662,0.6153846153846154,85,csp,92,182,
WAUC,full,27,1,8,0.38609806047464157,0.6923076923076923,96,csp,94,182,
WAUC,full,27,2,8,0.4077377365312763,0.7032967032967034,48,csp,96,182,
WAUC,full,27,3,8,0.3393829401088929,0.6703296703296703,12,csp,86,182,
WAUC,full,27,42,8,0.28554173209324796,0.6428571428571429,74,csp,100,182,
WAUC,full,29,0,8,0.3804347826086957,0.6902173913043478,0,csp,50,184,
WAUC,full,29,1,8,0.3804347826086957,0.6902173913043478,6,identity,34,184,
WAUC,full,29,2,8,0.3369565217391305,0.6684782608695652,0,csp,56,184,
WAUC,full,29,3,8,0.06521739130434778,0.532608695652174,62,csp,80,184,
WAUC,full,29,42,8,0.4130434782608695,0.7065217391304348,0,csp,38,184,
WAUC,full,30,0,8,0.44565217391304346,0.7228260869565217,90,identity,100,184,
WAUC,full,30,1,8,0.46739130434782605,0.7336956521739131,96,csp,100,184,
WAUC,full,30,2,8,0.4565217391304348,0.7282608695652174,96,csp,100,184,
WAUC,full,30,3,8,0.2717391304347826,0.6358695652173914,73,csp,100,184,
WAUC,full,30,42,8,0.4565217391304348,0.7282608695652174,48,csp,100,184,
WAUC,full,31,0,8,0.20162412993039447,0.6021505376344086,86,csp,82,186,
WAUC,full,31,1,8,0.15308357348703172,0.5752688172043011,24,csp,56,186,
WAUC,full,31,2,8,0.24530489218641316,0.6236559139784946,24,csp,92,186,
WAUC,full,31,3,8,0.14916039374638101,0.5752688172043011,26,csp,98,186,
WAUC,full,31,42,8,0.08770917484131568,0.543010752688172,7,identity,42,186,
WAUC,full,32,0,8,0.4565217391304348,0.7282608695652174,84,csp,78,184,
WAUC,full,32,1,8,0.3369565217391305,0.6684782608695652,84,csp,100,184,
WAUC,full,32,2,8,0.14130434782608692,0.5706521739130435,7,identity,76,184,
WAUC,full,32,3,8,0.2717391304347826,0.6358695652173914,50,csp,100,184,
WAUC,full,32,42,8,0.44565217391304346,0.7228260869565217,96,csp,76,184,
WAUC,full,33,0,8,0.33359202435675483,0.6666666666666666,96,csp,88,183,
WAUC,full,33,1,8,0.3010264979708761,0.6502732240437158,49,csp,88,183,
WAUC,full,33,2,8,0.34447761194029847,0.6721311475409836,60,csp,92,183,
WAUC,full,33,3,8,0.35621012461987955,0.6775956284153005,96,csp,72,183,
WAUC,full,33,42,8,0.24529316837009152,0.6229508196721312,85,csp,96,183,
WAUC,full,34,0,8,0.32230318958308446,0.6612021857923497,13,csp,96,183,
WAUC,full,34,1,8,0.24538337417080025,0.6229508196721312,48,csp,100,183,
WAUC,full,34,2,8,0.22378875679550747,0.6120218579234973,0,csp,76,183,
WAUC,full,34,3,8,0.2019236513531274,0.6010928961748634,0,csp,84,183,
WAUC,full,34,42,8,0.39899683525407537,0.6994535519125683,12,csp,94,183,
WAUC,full,35,0,8,0.4547398431931575,0.738562091503268,92,identity,72,153,
WAUC,full,35,1,8,0.299149294194634,0.6797385620915033,66,identity,92,153,
WAUC,full,35,2,8,0.3574668234503612,0.673202614379085,54,identity,94,153,
WAUC,full,35,3,8,0.3912638618471176,0.6928104575163399,96,csp,98,153,
WAUC,full,35,42,8,0.47685056833934014,0.7581699346405228,90,identity,92,153,
WAUC,full,36,0,8,0.03260869565217395,0.5163043478260869,104,identity,52,184,
WAUC,full,36,1,8,0.10869565217391308,0.5543478260869565,50,csp,86,184,
