dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,include_riemann_arms,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
BCI-IV-2a,1,within,within_fold0,0,0.5,0.3,50,False,-0.034482758620689724,0.4827586206896552,58,46,88,52.0
BCI-IV-2a,1,within,within_fold0,1,0.5,0.3,50,False,0.2068965517241379,0.603448275862069,58,76,97,43.0
BCI-IV-2a,1,within,within_fold0,2,0.5,0.3,50,False,0.0,0.5,58,54,115,50.0
BCI-IV-2a,1,within,within_fold0,3,0.5,0.3,50,False,0.1724137931034483,0.5862068965517241,58,60,161,60.0
BCI-IV-2a,1,within,within_fold0,42,0.5,0.3,50,False,0.24137931034482762,0.6206896551724138,58,74,124,61.0
BCI-IV-2a,1,official,official_fold0,0,0.5,0.3,50,False,0.36111111111111116,0.6805555555555556,144,76,101,45.0
BCI-IV-2a,1,official,official_fold0,1,0.5,0.3,50,False,0.02777777777777779,0.5138888888888888,144,32,92,41.0
BCI-IV-2a,1,official,official_fold0,2,0.5,0.3,50,False,0.06944444444444442,0.5347222222222222,144,60,101,38.0
BCI-IV-2a,1,official,official_fold0,3,0.5,0.3,50,False,-0.08333333333333326,0.4583333333333333,144,44,101,48.0
BCI-IV-2a,1,official,official_fold0,42,0.5,0.3,50,False,-0.09722222222222232,0.4513888888888889,144,54,101,59.0
BCI-IV-2a,2,within,within_fold0,0,0.5,0.3,50,False,0.0,0.5,58,22,161,71.0
BCI-IV-2a,2,within,within_fold0,1,0.5,0.3,50,False,0.13793103448275867,0.5689655172413793,58,48,70,39.0
BCI-IV-2a,2,within,within_fold0,2,0.5,0.3,50,False,-0.13793103448275867,0.43103448275862066,58,52,133,71.0
BCI-IV-2a,2,within,within_fold0,3,0.5,0.3,50,False,0.06896551724137934,0.5344827586206896,58,32,161,73.0
BCI-IV-2a,2,within,within_fold0,42,0.5,0.3,50,False,0.03448275862068961,0.5172413793103449,58,46,161,76.0
BCI-IV-2a,2,official,official_fold0,0,0.5,0.3,50,False,-0.08333333333333326,0.4583333333333333,144,26,101,55.0
BCI-IV-2a,2,official,official_fold0,1,0.5,0.3,50,False,0.04166666666666663,0.5208333333333334,144,42,101,50.0
BCI-IV-2a,2,official,official_fold0,2,0.5,0.3,50,False,0.08333333333333337,0.5416666666666666,144,50,87,38.0
