dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,0.25,0.625,48,76,134,54.0,175.0
BCI-IV-2b,1,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.0833,0.4583,48,64,134,70.0,205.0
BCI-IV-2b,1,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,0.5,0.75,48,92,134,69.0,185.0
BCI-IV-2b,1,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.0833,0.4583,48,72,134,66.0,175.0
BCI-IV-2b,1,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,0.0833,0.5417,48,76,134,67.0,176.0
BCI-IV-2b,1,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,fixed,,-0.0417,0.4792,48,76,134,68.0,144.0
BCI-IV-2b,1,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,fixed,,0.25,0.625,48,64,134,73.0,144.0
BCI-IV-2b,1,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,fixed,,-0.125,0.4375,48,92,134,67.0,278.0
BCI-IV-2b,1,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,fixed,,0.0417,0.5208,48,72,134,56.0,144.0
BCI-IV-2b,1,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,fixed,,0.0833,0.5417,48,76,134,64.0,144.0
BCI-IV-2b,1,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.0833,0.5417,48,76,134,67.0,234.0
BCI-IV-2b,1,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.2083,0.6042,48,64,134,77.0,149.0
BCI-IV-2b,1,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,-0.0417,0.4792,48,92,134,62.0,226.0
BCI-IV-2b,1,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.0833,0.5417,48,72,134,53.0,161.0
BCI-IV-2b,1,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.0833,0.5417,48,76,134,63.0,149.0
BCI-IV-2b,1,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.25,0.625,48,76,134,54.0,inf
BCI-IV-2b,1,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,unconstrained,,-0.0833,0.4583,48,64,134,70.0,inf
BCI-IV-2b,1,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.5,0.75,48,92,134,69.0,inf
BCI-IV-2b,1,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,unconstrained,,-0.0833,0.4583,48,72,134,66.0,inf
BCI-IV-2b,1,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.0833,0.5417,48,76,134,67.0,inf
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,0.0167,0.5083,120,68,84,42.0,380.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,0.1667,0.5833,120,60,84,46.0,398.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,0.0667,0.5333,120,88,84,38.0,383.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.0167,0.4917,120,90,84,40.0,383.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.1,0.45,120,52,84,36.0,391.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,fixed,,0.1333,0.5667,120,68,84,44.0,444.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,fixed,,0.1667,0.5833,120,60,84,27.0,360.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,fixed,,0.2,0.6,120,88,84,37.0,360.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,fixed,,0.1333,0.5667,120,90,84,38.0,360.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,fixed,,-0.0333,0.4833,120,52,84,48.0,360.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.2667,0.6333,120,68,84,45.0,414.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.0667,0.5333,120,60,84,33.0,362.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.1333,0.5667,120,88,84,41.0,360.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.1667,0.5833,120,90,84,43.0,360.0
