dataset,subject,protocol,fold_name,budget_frac,alpha,arm_pool,calibration_frac,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,1.0,1.0,pruned,0.3,0.0833,0.5417,48,76,134,67.0,176.0
BCI-IV-2b,1,within,within_fold1,1.0,1.0,pruned,0.3,0.125,0.5625,48,76,134,73.0,180.0
BCI-IV-2b,1,within,within_fold2,1.0,1.0,pruned,0.3,0.0833,0.5417,48,50,134,55.0,186.0
BCI-IV-2b,1,within,within_fold3,1.0,1.0,pruned,0.3,0.125,0.5625,48,88,134,72.0,177.0
BCI-IV-2b,1,within,within_fold4,1.0,1.0,pruned,0.3,0.0833,0.5417,48,92,134,62.0,193.0
BCI-IV-2b,1,official,official[0→1],1.0,1.0,pruned,0.3,-0.1,0.45,120,52,84,36.0,391.0
BCI-IV-2b,2,within,within_fold0,1.0,1.0,pruned,0.3,-0.25,0.375,48,86,134,63.0,175.0
BCI-IV-2b,2,within,within_fold1,1.0,1.0,pruned,0.3,-0.3333,0.3333,48,44,134,76.0,177.0
BCI-IV-2b,2,within,within_fold2,1.0,1.0,pruned,0.3,-0.0417,0.4792,48,50,134,64.0,171.0
BCI-IV-2b,2,within,within_fold3,1.0,1.0,pruned,0.3,0.0833,0.5417,48,74,134,71.0,172.0
BCI-IV-2b,2,within,within_fold4,1.0,1.0,pruned,0.3,-0.1667,0.4167,48,88,134,77.0,180.0
BCI-IV-2b,2,official,official[0→1],1.0,1.0,pruned,0.3,0.0333,0.5167,120,60,84,44.0,386.0
BCI-IV-2b,3,within,within_fold0,1.0,1.0,pruned,0.3,0.0833,0.5417,48,76,134,67.0,180.0
BCI-IV-2b,3,within,within_fold1,1.0,1.0,pruned,0.3,0.0833,0.5417,48,46,134,73.0,170.0
BCI-IV-2b,3,within,within_fold2,1.0,1.0,pruned,0.3,-0.0417,0.4792,48,66,134,61.0,191.0
BCI-IV-2b,3,within,within_fold3,1.0,1.0,pruned,0.3,-0.0417,0.4792,48,56,134,67.0,220.0
BCI-IV-2b,3,within,within_fold4,1.0,1.0,pruned,0.3,0.125,0.5625,48,64,134,61.0,180.0
BCI-IV-2b,3,official,official[0→1],1.0,1.0,pruned,0.3,-0.1,0.45,120,64,84,42.0,390.0
BCI-IV-2b,4,within,within_fold0,1.0,1.0,pruned,0.3,0.4231,0.7115,52,86,146,60.0,206.0
BCI-IV-2b,4,within,within_fold1,1.0,1.0,pruned,0.3,0.3077,0.6538,52,52,146,45.0,177.0
BCI-IV-2b,4,within,within_fold2,1.0,1.0,pruned,0.3,0.6154,0.8077,52,68,146,64.0,188.0
BCI-IV-2b,4,within,within_fold3,1.0,1.0,pruned,0.3,0.2308,0.6154,52,84,146,58.0,189.0
BCI-IV-2b,4,within,within_fold4,1.0,1.0,pruned,0.3,0.6154,0.8077,52,92,146,59.0,196.0
BCI-IV-2b,4,official,official[0→1],1.0,1.0,pruned,0.3,0.0714,0.5357,140,86,84,32.0,441.0
BCI-IV-2b,5,within,within_fold0,1.0,1.0,pruned,0.3,0.0769,0.5385,52,68,146,61.0,202.0
BCI-IV-2b,5,within,within_fold1,1.0,1.0,pruned,0.3,-0.1154,0.4423,52,86,146,66.0,191.0
BCI-IV-2b,5,within,within_fold2,1.0,1.0,pruned,0.3,0.2308,0.6154,52,76,146,73.0,203.0
BCI-IV-2b,5,within,within_fold3,1.0,1.0,pruned,0.3,0.3077,0.6538,52,82,146,64.0,206.0
BCI-IV-2b,5,within,within_fold4,1.0,1.0,pruned,0.3,0.4615,0.7308,52,60,146,58.0,196.0
BCI-IV-2b,5,official,official[0→1],1.0,1.0,pruned,0.3,0.0143,0.5071,140,70,84,36.0,442.0
BCI-IV-2b,6,within,within_fold0,1.0,1.0,pruned,0.3,0.125,0.5625,48,70,134,62.0,179.0
BCI-IV-2b,6,within,within_fold1,1.0,1.0,pruned,0.3,0.0,0.5,48,50,134,66.0,165.0
