dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,n_channels,n_trials_total
Cho2017-3ch,1,within,within_fold0,0,0.5,0.3,50,0.0,0.5,40,54,112,3,200
Cho2017-3ch,1,within,within_fold0,1,0.5,0.3,50,0.05,0.525,40,64,112,3,200
Cho2017-3ch,1,within,within_fold0,2,0.5,0.3,50,0.0,0.5,40,48,112,3,200
Cho2017-3ch,1,within,within_fold0,3,0.5,0.3,50,0.5,0.75,40,60,112,3,200
Cho2017-3ch,1,within,within_fold0,42,0.5,0.3,50,-0.05,0.475,40,50,112,3,200
Cho2017-3ch,2,within,within_fold0,0,0.5,0.3,50,-0.05,0.475,40,26,112,3,200
Cho2017-3ch,2,within,within_fold0,1,0.5,0.3,50,0.0,0.5,40,48,112,3,200
Cho2017-3ch,2,within,within_fold0,2,0.5,0.3,50,-0.1499999999999999,0.425,40,54,112,3,200
Cho2017-3ch,2,within,within_fold0,3,0.5,0.3,50,-0.05,0.475,40,36,112,3,200
Cho2017-3ch,2,within,within_fold0,42,0.5,0.3,50,-0.1499999999999999,0.425,40,28,112,3,200
Cho2017-3ch,3,within,within_fold0,0,0.5,0.3,50,0.6,0.8,40,48,112,3,200
Cho2017-3ch,3,within,within_fold0,1,0.5,0.3,50,0.55,0.775,40,54,112,3,200
Cho2017-3ch,3,within,within_fold0,2,0.5,0.3,50,0.8,0.9,40,62,112,3,200
Cho2017-3ch,3,within,within_fold0,3,0.5,0.3,50,0.35,0.675,40,60,112,3,200
Cho2017-3ch,3,within,within_fold0,42,0.5,0.3,50,0.55,0.775,40,58,112,3,200
Cho2017-3ch,4,within,within_fold0,0,0.5,0.3,50,-0.1,0.45,40,40,112,3,200
Cho2017-3ch,4,within,within_fold0,1,0.5,0.3,50,0.4,0.7,40,58,112,3,200
Cho2017-3ch,4,within,within_fold0,2,0.5,0.3,50,0.3,0.65,40,56,112,3,200
Cho2017-3ch,4,within,within_fold0,3,0.5,0.3,50,0.05,0.525,40,58,112,3,200
Cho2017-3ch,4,within,within_fold0,42,0.5,0.3,50,0.0999999999999999,0.55,40,62,112,3,200
Cho2017-3ch,5,within,within_fold0,0,0.5,0.3,50,0.15,0.575,40,20,112,3,200
Cho2017-3ch,5,within,within_fold0,1,0.5,0.3,50,-0.1999999999999999,0.4,40,36,112,3,200
Cho2017-3ch,5,within,within_fold0,2,0.5,0.3,50,-0.3,0.35,40,62,112,3,200
Cho2017-3ch,5,within,within_fold0,3,0.5,0.3,50,-0.1499999999999999,0.425,40,44,112,3,200
Cho2017-3ch,5,within,within_fold0,42,0.5,0.3,50,0.15,0.575,40,52,112,3,200
Cho2017-3ch,6,within,within_fold0,0,0.5,0.3,50,-0.1999999999999999,0.4,40,36,112,3,200
Cho2017-3ch,6,within,within_fold0,1,0.5,0.3,50,0.0999999999999999,0.55,40,40,112,3,200
Cho2017-3ch,6,within,within_fold0,2,0.5,0.3,50,0.0,0.5,40,36,112,3,200
Cho2017-3ch,6,within,within_fold0,3,0.5,0.3,50,0.0,0.5,40,62,112,3,200
Cho2017-3ch,6,within,within_fold0,42,0.5,0.3,50,0.1999999999999999,0.6,40,72,112,3,200
Cho2017-3ch,7,within,within_fold0,0,0.5,0.3,50,-0.25,0.375,48,35,134,3,240
Cho2017-3ch,7,within,within_fold0,1,0.5,0.3,50,0.0833333333333333,0.5416666666666666,48,38,134,3,240
Cho2017-3ch,7,within,within_fold0,2,0.5,0.3,50,0.0833333333333333,0.5416666666666666,48,24,134,3,240
Cho2017-3ch,7,within,within_fold0,3,0.5,0.3,50,0.125,0.5625,48,54,134,3,240
Cho2017-3ch,7,within,within_fold0,42,0.5,0.3,50,0.0833333333333333,0.5416666666666666,48,46,134,3,240
Cho2017-3ch,8,within,within_fold0,0,0.5,0.3,50,0.0999999999999999,0.55,40,20,112,3,200
Cho2017-3ch,8,within,within_fold0,1,0.5,0.3,50,-0.05,0.475,40,36,112,3,200
Cho2017-3ch,8,within,within_fold0,2,0.5,0.3,50,0.15,0.575,40,46,112,3,200
Cho2017-3ch,8,within,within_fold0,3,0.5,0.3,50,0.25,0.625,40,32,112,3,200
Cho2017-3ch,8,within,within_fold0,42,0.5,0.3,50,-0.05,0.475,40,24,112,3,200
Cho2017-3ch,9,within,within_fold0,0,0.5,0.3,50,-0.0416666666666667,0.4791666666666667,48,40,134,3,240
Cho2017-3ch,9,within,within_fold0,1,0.5,0.3,50,-0.1666666666666667,0.4166666666666667,48,30,134,3,240
Cho2017-3ch,9,within,within_fold0,2,0.5,0.3,50,0.0833333333333333,0.5416666666666666,48,46,134,3,240
