dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,n_channels,n_trials_total
Cho2017-full,1,within,within_fold0,0,0.5,0.3,50,-0.050000000000000044,0.475,40,18,112,64,200
Cho2017-full,1,within,within_fold0,1,0.5,0.3,50,0.09999999999999998,0.55,40,42,112,64,200
Cho2017-full,1,within,within_fold0,2,0.5,0.3,50,0.25,0.625,40,28,112,64,200
Cho2017-full,1,within,within_fold0,3,0.5,0.3,50,0.30000000000000004,0.65,40,48,112,64,200
Cho2017-full,1,within,within_fold0,42,0.5,0.3,50,0.30000000000000004,0.65,40,40,112,64,200
Cho2017-full,2,within,within_fold0,0,0.5,0.3,50,0.15000000000000002,0.575,40,32,112,64,200
Cho2017-full,2,within,within_fold0,1,0.5,0.3,50,0.19999999999999996,0.6,40,46,112,64,200
Cho2017-full,2,within,within_fold0,2,0.5,0.3,50,0.050000000000000044,0.525,40,46,112,64,200
Cho2017-full,2,within,within_fold0,3,0.5,0.3,50,0.09999999999999998,0.55,40,44,112,64,200
Cho2017-full,2,within,within_fold0,42,0.5,0.3,50,-0.10000000000000009,0.45,40,28,112,64,200
Cho2017-full,3,within,within_fold0,0,0.5,0.3,50,0.19999999999999996,0.6,40,20,112,64,200
Cho2017-full,3,within,within_fold0,1,0.5,0.3,50,0.5,0.75,40,36,112,64,200
Cho2017-full,3,within,within_fold0,2,0.5,0.3,50,0.5,0.75,40,64,112,64,200
Cho2017-full,3,within,within_fold0,3,0.5,0.3,50,0.35,0.675,40,50,112,64,200
Cho2017-full,3,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,36,112,64,200
Cho2017-full,4,within,within_fold0,0,0.5,0.3,50,0.050000000000000044,0.525,40,16,112,64,200
Cho2017-full,4,within,within_fold0,1,0.5,0.3,50,0.19999999999999996,0.6,40,30,112,64,200
Cho2017-full,4,within,within_fold0,2,0.5,0.3,50,0.19999999999999996,0.6,40,28,112,64,200
Cho2017-full,4,within,within_fold0,3,0.5,0.3,50,-0.25,0.375,40,34,112,64,200
Cho2017-full,4,within,within_fold0,42,0.5,0.3,50,0.15000000000000002,0.575,40,42,112,64,200
Cho2017-full,5,within,within_fold0,0,0.5,0.3,50,-0.3500000000000001,0.325,40,22,112,64,200
Cho2017-full,5,within,within_fold0,1,0.5,0.3,50,0.09999999999999998,0.55,40,28,112,64,200
Cho2017-full,5,within,within_fold0,2,0.5,0.3,50,0.050000000000000044,0.525,40,52,112,64,200
Cho2017-full,5,within,within_fold0,3,0.5,0.3,50,0.5,0.75,40,52,112,64,200
Cho2017-full,5,within,within_fold0,42,0.5,0.3,50,0.050000000000000044,0.525,40,40,112,64,200
Cho2017-full,6,within,within_fold0,0,0.5,0.3,50,0.15000000000000002,0.575,40,26,112,64,200
Cho2017-full,6,within,within_fold0,1,0.5,0.3,50,0.25,0.625,40,52,112,64,200
Cho2017-full,6,within,within_fold0,2,0.5,0.3,50,-0.10000000000000009,0.45,40,34,112,64,200
Cho2017-full,6,within,within_fold0,3,0.5,0.3,50,0.25,0.625,40,54,112,64,200
Cho2017-full,6,within,within_fold0,42,0.5,0.3,50,-0.10000000000000009,0.45,40,48,112,64,200
Cho2017-full,7,within,within_fold0,0,0.5,0.3,50,0.0,0.5,48,22,134,64,240
Cho2017-full,7,within,within_fold0,1,0.5,0.3,50,-0.08333333333333326,0.4583333333333333,48,26,47,64,240
Cho2017-full,7,within,within_fold0,2,0.5,0.3,50,0.0,0.5,48,38,134,64,240
Cho2017-full,7,within,within_fold0,3,0.5,0.3,50,0.08333333333333337,0.5416666666666666,48,36,134,64,240
Cho2017-full,7,within,within_fold0,42,0.5,0.3,50,-0.16666666666666674,0.4166666666666667,48,50,17,64,240
Cho2017-full,8,within,within_fold0,0,0.5,0.3,50,0.09999999999999998,0.55,40,20,112,64,200
Cho2017-full,8,within,within_fold0,1,0.5,0.3,50,0.15000000000000002,0.575,40,30,112,64,200
Cho2017-full,8,within,within_fold0,2,0.5,0.3,50,-0.1499999999999999,0.425,40,64,112,64,200
Cho2017-full,8,within,within_fold0,3,0.5,0.3,50,-0.1499999999999999,0.425,40,30,112,64,200
Cho2017-full,8,within,within_fold0,42,0.5,0.3,50,-0.050000000000000044,0.475,40,22,17,64,200
Cho2017-full,9,within,within_fold0,0,0.5,0.3,50,-0.20833333333333326,0.3958333333333333,48,22,134,64,240
Cho2017-full,9,within,within_fold0,1,0.5,0.3,50,0.08333333333333337,0.5416666666666666,48,46,134,64,240
Cho2017-full,9,within,within_fold0,2,0.5,0.3,50,-0.08333333333333326,0.4583333333333333,48,40,134,64,240
Cho2017-full,9,within,within_fold0,3,0.5,0.3,50,0.0,0.5,48,40,134,64,240
Cho2017-full,9,within,within_fold0,42,0.5,0.3,50,0.04166666666666663,0.5208333333333334,48,40,134,64,240
Cho2017-full,10,within,within_fold0,0,0.5,0.3,50,0.19999999999999996,0.6,40,22,112,64,200
Cho2017-full,10,within,within_fold0,1,0.5,0.3,50,-0.050000000000000044,0.475,40,30,112,64,200
Cho2017-full,10,within,within_fold0,2,0.5,0.3,50,0.050000000000000044,0.525,40,40,17,64,200
Cho2017-full,10,within,within_fold0,3,0.5,0.3,50,0.09999999999999998,0.55,40,38,112,64,200
Cho2017-full,10,within,within_fold0,42,0.5,0.3,50,0.19999999999999996,0.6,40,34,112,64,200
Cho2017-full,11,within,within_fold0,0,0.5,0.3,50,-0.10000000000000009,0.45,40,22,112,64,200
Cho2017-full,11,within,within_fold0,1,0.5,0.3,50,-0.3500000000000001,0.325,40,24,112,64,200
Cho2017-full,11,within,within_fold0,2,0.5,0.3,50,0.0,0.5,40,30,112,64,200
Cho2017-full,11,within,within_fold0,3,0.5,0.3,50,0.09999999999999998,0.55,40,36,112,64,200
Cho2017-full,11,within,within_fold0,42,0.5,0.3,50,0.15000000000000002,0.575,40,30,112,64,200
Cho2017-full,12,within,within_fold0,0,0.5,0.3,50,0.09999999999999998,0.55,40,10,112,64,200
Cho2017-full,12,within,within_fold0,1,0.5,0.3,50,0.30000000000000004,0.65,40,26,112,64,200
Cho2017-full,12,within,within_fold0,2,0.5,0.3,50,0.09999999999999998,0.55,40,44,112,64,200
Cho2017-full,12,within,within_fold0,3,0.5,0.3,50,0.19999999999999996,0.6,40,46,112,64,200
Cho2017-full,12,within,within_fold0,42,0.5,0.3,50,-0.25,0.375,40,39,112,64,200
Cho2017-full,13,within,within_fold0,0,0.5,0.3,50,0.15000000000000002,0.575,40,28,112,64,200
Cho2017-full,13,within,within_fold0,1,0.5,0.3,50,0.050000000000000044,0.525,40,42,112,64,200
Cho2017-full,13,within,within_fold0,2,0.5,0.3,50,0.15000000000000002,0.575,40,34,112,64,200
Cho2017-full,13,within,within_fold0,3,0.5,0.3,50,0.25,0.625,40,42,112,64,200
