dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,0,1.0,0.1,pruned,0.2,True,inf,oplb,,0.125,0.5625,48,96,154,71.0,144.0
BCI-IV-2b,1,within,within_fold0,1,1.0,0.1,pruned,0.2,True,inf,oplb,,0.25,0.625,48,68,154,64.0,144.0
BCI-IV-2b,1,within,within_fold0,2,1.0,0.1,pruned,0.2,True,inf,oplb,,0.2083,0.6042,48,78,154,73.0,150.0
BCI-IV-2b,1,within,within_fold0,3,1.0,0.1,pruned,0.2,True,inf,oplb,,-0.125,0.4375,48,56,154,71.0,144.0
BCI-IV-2b,1,within,within_fold0,42,1.0,0.1,pruned,0.2,True,inf,oplb,,-0.2917,0.3542,48,66,154,81.0,146.0
BCI-IV-2b,1,within,within_fold0,0,1.0,0.1,pruned,0.2,False,inf,oplb,,0.125,0.5625,48,96,154,71.0,144.0
BCI-IV-2b,1,within,within_fold0,1,1.0,0.1,pruned,0.2,False,inf,oplb,,0.0833,0.5417,48,68,154,54.0,144.0
BCI-IV-2b,1,within,within_fold0,2,1.0,0.1,pruned,0.2,False,inf,oplb,,0.2083,0.6042,48,78,154,73.0,150.0
BCI-IV-2b,1,within,within_fold0,3,1.0,0.1,pruned,0.2,False,inf,oplb,,-0.125,0.4375,48,56,154,71.0,144.0
BCI-IV-2b,1,within,within_fold0,42,1.0,0.1,pruned,0.2,False,inf,oplb,,-0.2917,0.3542,48,66,154,81.0,146.0
BCI-IV-2b,1,within,within_fold0,0,1.0,0.1,pruned,0.3,True,inf,oplb,,-0.0417,0.4792,48,76,134,68.0,144.0
BCI-IV-2b,1,within,within_fold0,1,1.0,0.1,pruned,0.3,True,inf,oplb,,0.2917,0.6458,48,64,134,67.0,144.0
BCI-IV-2b,1,within,within_fold0,2,1.0,0.1,pruned,0.3,True,inf,oplb,,-0.125,0.4375,48,92,134,67.0,277.0
BCI-IV-2b,1,within,within_fold0,3,1.0,0.1,pruned,0.3,True,inf,oplb,,0.0417,0.5208,48,72,134,57.0,144.0
BCI-IV-2b,1,within,within_fold0,42,1.0,0.1,pruned,0.3,True,inf,oplb,,-0.0417,0.4792,48,76,134,67.0,254.0
BCI-IV-2b,1,within,within_fold0,0,1.0,0.1,pruned,0.3,False,inf,oplb,,-0.0417,0.4792,48,76,134,67.0,144.0
BCI-IV-2b,1,within,within_fold0,1,1.0,0.1,pruned,0.3,False,inf,oplb,,0.2917,0.6458,48,64,134,67.0,144.0
BCI-IV-2b,1,within,within_fold0,2,1.0,0.1,pruned,0.3,False,inf,oplb,,-0.125,0.4375,48,92,134,67.0,277.0
BCI-IV-2b,1,within,within_fold0,3,1.0,0.1,pruned,0.3,False,inf,oplb,,0.0417,0.5208,48,72,134,57.0,144.0
BCI-IV-2b,1,within,within_fold0,42,1.0,0.1,pruned,0.3,False,inf,oplb,,0.0,0.5,48,76,134,67.0,144.0
