dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,window_size,discount_gamma,include_fbcsp_arm,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0417,0.5208,48,77,134,69.0,149.0
BCI-IV-2b,1,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,-0.2083,0.3958,48,65,134,69.0,57.0
BCI-IV-2b,1,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.5,0.75,48,93,134,70.0,203.0
BCI-IV-2b,1,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0833,0.5417,48,72,134,65.0,159.0
BCI-IV-2b,1,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.2917,0.6458,48,77,134,66.0,60.0
BCI-IV-2b,1,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,-0.0417,0.4792,48,77,134,67.0,144.0
BCI-IV-2b,1,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.4583,0.7292,48,65,134,55.0,166.0
BCI-IV-2b,1,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.4167,0.7083,48,93,134,65.0,163.0
BCI-IV-2b,1,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,-0.2083,0.3958,48,72,134,67.0,161.0
BCI-IV-2b,1,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0833,0.5417,48,77,134,70.0,201.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0,0.5,120,69,84,45.0,370.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.1667,0.5833,120,60,84,42.0,398.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,-0.0667,0.4667,120,89,84,49.0,435.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.1333,0.5667,120,91,84,42.0,336.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,-0.0333,0.4833,120,52,84,36.0,376.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0833,0.5417,120,69,84,45.0,372.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0167,0.5083,120,60,84,49.0,401.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.2,0.6,120,89,84,40.0,404.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0,0.5,120,91,84,42.0,293.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,-0.1167,0.4417,120,52,84,37.0,383.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.2083,0.6042,48,48,134,78.0,199.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0417,0.5208,48,79,134,67.0,109.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.125,0.5625,48,55,134,70.0,188.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,-0.0417,0.4792,48,79,133,69.0,1.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0833,0.5417,48,87,134,69.0,157.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.125,0.5625,48,48,134,77.0,198.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,-0.2917,0.3542,48,79,125,72.0,1.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1667,0.5833,48,55,134,72.0,167.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.125,0.5625,48,79,134,67.0,159.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0,0.5,48,87,134,67.0,187.0
BCI-IV-2b,2,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0833,0.5417,120,95,84,48.0,379.0
BCI-IV-2b,2,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0,0.5,120,63,84,48.0,397.0
BCI-IV-2b,2,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0833,0.5417,120,58,84,46.0,369.0
BCI-IV-2b,2,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0833,0.5417,120,56,84,41.0,383.0
BCI-IV-2b,2,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0333,0.5167,120,61,84,39.0,360.0
BCI-IV-2b,2,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0667,0.5333,120,95,84,47.0,371.0
BCI-IV-2b,2,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0167,0.5083,120,63,84,50.0,404.0
BCI-IV-2b,2,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1,0.55,120,58,84,42.0,365.0
BCI-IV-2b,2,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0833,0.5417,120,56,84,44.0,387.0
BCI-IV-2b,2,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0833,0.5417,120,61,84,37.0,360.0
BCI-IV-2b,3,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,-0.0417,0.4792,48,46,134,70.0,170.0
BCI-IV-2b,3,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0833,0.5417,48,87,134,65.0,202.0
BCI-IV-2b,3,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.1667,0.5833,48,85,134,65.0,147.0
BCI-IV-2b,3,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.125,0.5625,48,42,134,59.0,144.0
BCI-IV-2b,3,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0833,0.5417,48,77,134,67.0,188.0
BCI-IV-2b,3,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0,0.5,48,46,134,73.0,163.0
BCI-IV-2b,3,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1667,0.5833,48,87,134,66.0,150.0
BCI-IV-2b,3,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0417,0.5208,48,85,134,64.0,148.0
BCI-IV-2b,3,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.125,0.5625,48,42,134,61.0,147.0
BCI-IV-2b,3,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,-0.0417,0.4792,48,77,134,71.0,172.0
BCI-IV-2b,3,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,-0.0333,0.4833,120,16,84,28.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0167,0.5083,120,97,84,40.0,375.0
BCI-IV-2b,3,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.1167,0.5583,120,18,84,33.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0667,0.5333,120,52,84,41.0,361.0
BCI-IV-2b,3,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.2667,0.6333,120,64,84,38.0,366.0
BCI-IV-2b,3,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,-0.0167,0.4917,120,16,84,27.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.05,0.525,120,97,84,38.0,371.0
BCI-IV-2b,3,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0667,0.5333,120,18,84,26.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1333,0.5667,120,52,84,37.0,360.0
BCI-IV-2b,3,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.2667,0.6333,120,64,84,41.0,373.0
BCI-IV-2b,4,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.6154,0.8077,52,85,146,47.0,187.0
BCI-IV-2b,4,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.6923,0.8462,52,83,146,30.0,167.0
BCI-IV-2b,4,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.5385,0.7692,52,91,146,48.0,159.0
BCI-IV-2b,4,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.6538,0.8269,52,71,146,38.0,169.0
BCI-IV-2b,4,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.4231,0.7115,52,87,146,37.0,163.0
BCI-IV-2b,4,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.7692,0.8846,52,85,146,44.0,171.0
BCI-IV-2b,4,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,-0.0769,0.4615,52,83,146,42.0,178.0
BCI-IV-2b,4,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.5385,0.7692,52,91,146,43.0,165.0
BCI-IV-2b,4,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.6538,0.8269,52,71,146,32.0,158.0
BCI-IV-2b,4,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.2308,0.6154,52,87,146,32.0,160.0
BCI-IV-2b,4,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.4143,0.7071,140,87,84,23.0,372.0
BCI-IV-2b,4,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.6429,0.8214,140,85,84,25.0,443.0
BCI-IV-2b,4,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.5714,0.7857,140,100,84,33.0,410.0
BCI-IV-2b,4,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0571,0.5286,140,77,84,26.0,439.0
BCI-IV-2b,4,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.5714,0.7857,140,87,84,23.0,420.0
BCI-IV-2b,4,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.5,0.75,140,87,84,24.0,420.0
BCI-IV-2b,4,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.5,0.75,140,85,84,22.0,438.0
BCI-IV-2b,4,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.7714,0.8857,140,100,84,30.0,444.0
BCI-IV-2b,4,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.5571,0.7786,140,77,84,24.0,427.0
BCI-IV-2b,4,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.5857,0.7929,140,87,84,17.0,420.0
BCI-IV-2b,5,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.1154,0.5577,52,100,146,55.0,167.0
BCI-IV-2b,5,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.3077,0.6538,52,100,146,45.0,134.0
BCI-IV-2b,5,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.2692,0.6346,52,75,146,60.0,109.0
BCI-IV-2b,5,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.6154,0.8077,52,100,146,49.0,150.0
BCI-IV-2b,5,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.1923,0.5962,52,68,146,63.0,220.0
BCI-IV-2b,5,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1154,0.5577,52,100,146,44.0,81.0
BCI-IV-2b,5,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1538,0.5769,52,100,146,51.0,66.0
BCI-IV-2b,5,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.2308,0.6154,52,75,146,59.0,173.0
BCI-IV-2b,5,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1538,0.5769,52,100,146,45.0,162.0
BCI-IV-2b,5,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1923,0.5962,52,68,146,60.0,209.0
BCI-IV-2b,5,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.1857,0.5929,140,100,84,37.0,444.0
BCI-IV-2b,5,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.3,0.65,140,85,84,28.0,443.0
BCI-IV-2b,5,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.4857,0.7429,140,46,84,36.0,432.0
BCI-IV-2b,5,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.3286,0.6643,140,76,84,31.0,443.0
BCI-IV-2b,5,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.3286,0.6643,140,70,84,21.0,423.0
BCI-IV-2b,5,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.2857,0.6429,140,100,84,35.0,434.0
BCI-IV-2b,5,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.3571,0.6786,140,85,84,23.0,438.0
BCI-IV-2b,5,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.2571,0.6286,140,46,84,34.0,429.0
BCI-IV-2b,5,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.3286,0.6643,140,76,84,29.0,446.0
BCI-IV-2b,5,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.3571,0.6786,140,70,84,24.0,424.0
BCI-IV-2b,6,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.5,0.75,48,79,134,57.0,145.0
BCI-IV-2b,6,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.2083,0.6042,48,93,134,59.0,151.0
BCI-IV-2b,6,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.25,0.625,48,81,134,63.0,181.0
BCI-IV-2b,6,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.2083,0.6042,48,65,134,53.0,139.0
BCI-IV-2b,6,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.25,0.625,48,71,134,67.0,138.0
BCI-IV-2b,6,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.5,0.75,48,79,134,58.0,144.0
BCI-IV-2b,6,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.375,0.6875,48,93,134,56.0,162.0
BCI-IV-2b,6,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1667,0.5833,48,81,134,61.0,174.0
BCI-IV-2b,6,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0833,0.5417,48,65,134,48.0,72.0
BCI-IV-2b,6,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,-0.0833,0.4583,48,71,134,65.0,86.0
BCI-IV-2b,6,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.1167,0.5583,120,81,84,32.0,380.0
BCI-IV-2b,6,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,-0.05,0.475,120,73,84,40.0,427.0
BCI-IV-2b,6,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.4,0.7,120,79,84,35.0,369.0
BCI-IV-2b,6,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.15,0.575,120,81,84,34.0,336.0
BCI-IV-2b,6,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.1,0.55,120,73,84,31.0,371.0
BCI-IV-2b,6,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0833,0.5417,120,81,84,37.0,384.0
BCI-IV-2b,6,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,-0.05,0.475,120,73,84,39.0,427.0
BCI-IV-2b,6,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.4,0.7,120,79,84,34.0,369.0
BCI-IV-2b,6,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1667,0.5833,120,81,84,33.0,312.0
BCI-IV-2b,6,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1,0.55,120,73,84,32.0,381.0
BCI-IV-2b,7,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.3333,0.6667,48,89,134,57.0,38.0
BCI-IV-2b,7,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0,0.5,48,99,134,71.0,164.0
BCI-IV-2b,7,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,-0.0833,0.4583,48,63,134,72.0,200.0
BCI-IV-2b,7,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.125,0.5625,48,52,134,50.0,195.0
BCI-IV-2b,7,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.25,0.625,48,99,134,69.0,136.0
BCI-IV-2b,7,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.5,0.75,48,89,134,61.0,72.0
BCI-IV-2b,7,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1667,0.5833,48,99,134,68.0,156.0
BCI-IV-2b,7,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.125,0.5625,48,63,134,66.0,154.0
BCI-IV-2b,7,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.3333,0.6667,48,52,134,48.0,203.0
BCI-IV-2b,7,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0417,0.5208,48,99,134,66.0,188.0
BCI-IV-2b,7,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.1333,0.5667,120,100,84,40.0,368.0
BCI-IV-2b,7,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.1333,0.5667,120,97,84,44.0,368.0
BCI-IV-2b,7,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.2,0.6,120,47,84,31.0,379.0
BCI-IV-2b,7,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.1667,0.5833,120,63,84,44.0,368.0
BCI-IV-2b,7,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.2333,0.6167,120,40,84,32.0,434.0
BCI-IV-2b,7,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1333,0.5667,120,100,84,41.0,388.0
BCI-IV-2b,7,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.1333,0.5667,120,97,84,44.0,369.0
BCI-IV-2b,7,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.3333,0.6667,120,47,84,31.0,368.0
BCI-IV-2b,7,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.0333,0.5167,120,63,84,44.0,368.0
BCI-IV-2b,7,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,True,0.2333,0.6167,120,40,84,38.0,408.0
BCI-IV-2b,8,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.1071,0.5536,56,44,157,82.0,237.0
BCI-IV-2b,8,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0714,0.5357,56,57,157,74.0,199.0
BCI-IV-2b,8,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0,0.5,56,63,157,77.0,177.0
BCI-IV-2b,8,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,-0.1071,0.4464,56,83,157,61.0,239.0
BCI-IV-2b,8,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,True,0.0714,0.5357,56,48,157,70.0,196.0
