dataset,method,subject,seed,reward_mode,kappa,accuracy,n_train,n_test,n_classes_test,y_true_seq,y_pred_seq
STEW,ccb,1,0,balanced,0.26190476190476186,0.581081081081081,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;medium;medium;low;low;low;low;medium;medium;medium;high;medium;high;low;low;low;high;low;low;medium;low;medium;low;low;low;low;high;high;low;medium;medium;low;low;low;low;low
STEW,ccb,2,0,balanced,0.28,0.5135135135135135,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium,low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;high;low;low;high;high;high;high;high;high;medium;low;high;medium;high;low;high;low;high;high;high;high;high;high;high;high;low;low;low;high;high;high;low;high;high;high;low
STEW,ccb,3,0,balanced,0.14851485148514854,0.4189189189189189,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium,low;low;low;low;high;low;low;medium;low;medium;high;medium;high;high;low;low;low;high;medium;medium;low;low;low;low;low;low;medium;low;low;low;low;high;high;medium;medium;low;low;low;medium;medium;medium;low;medium;high;medium;high;high;high;low;high;medium;high;high;low;high;high;medium;high;high;low;medium;medium;high;high;high;low;high;low;high;low;high;high;high;high
STEW,ccb,4,0,balanced,0.032258064516129004,0.3918918918918919,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium,low;low;low;low;low;low;low;low;medium;high;low;high;low;low;high;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;high;low;low;high;low;low;low;low;low;low;low;low;low;low;low;high;high;low;low;high;high;low;low;low;high;low;high;high;high;high;high;low;high;low;low;low;low;low;low;low;high;low
STEW,ccb,6,0,balanced,0.20792079207920788,0.4594594594594595,3256,74,2,medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high,high;low;low;low;low;high;low;low;high;low;low;low;low;high;low;high;high;high;low;low;low;low;low;low;low;low;low;high;low;high;low;high;high;high;high;low;low;high;high;high;high;high;high;high;high;high;high;low;high;high;high;high;high;high;high;high;high;low;low;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high
STEW,ccb,7,0,balanced,0.11688311688311692,0.5405405405405406,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;high;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;medium;low;medium
STEW,ccb,8,0,balanced,0.5,0.7432432432432432,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;high;medium;low;low;high;low;low;low;high;high;low;high;low;low;high;high;high;high;high;low;high;low;high;high;high;high;low;low;low;high;high;low;high;low
STEW,ccb,9,0,balanced,0.09302325581395354,0.47297297297297297,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;low;low;medium;low;low;medium;medium;low;low;low;low;low;low;low;medium;low;low;low;low;medium;low;medium;low;low;medium;low;low;low;low;low;low;low;low;low;medium;low;low;high;low;low;low;low;low;low;medium;low;high;low;medium;low;low;high;medium;low;low
STEW,ccb,10,0,balanced,0.19565217391304346,0.5,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;high;high;high;high;high;low;high;high;high;high;high;low;low;low;low;high;low;low;high;low;low;high;low;low;high;low;high;high;low;low;high;low
STEW,ccb,11,0,balanced,-0.09090909090909083,0.43243243243243246,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium,low;low;low;low;low;low;low;medium;low;low;low;low;low;low;low;low;low;low;low;high;low;low;medium;low;low;medium;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
