dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,reward_mode,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
WAUC,1,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.25492772667542707,0.631578947368421,171,100,477,159.8260464387116,
WAUC,1,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.23297539758053554,0.6140350877192983,171,90,477,159.85866763051072,
WAUC,1,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.2929014472777395,0.6491228070175439,171,98,477,168.962945705377,
WAUC,1,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.4022258685881429,0.7134502923976608,171,100,477,177.076725774704,
WAUC,1,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.4523521457547506,0.7368421052631579,171,100,477,177.5897681548187,
WAUC,2,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.7024590163934425,0.8512396694214877,121,100,337,53.41163092355592,
WAUC,2,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.7684527063969382,0.8842975206611571,121,100,337,44.66012625389142,
WAUC,2,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.7851973235012972,0.8925619834710744,121,100,337,38.84520062262196,
WAUC,2,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.9008467631794592,0.9504132231404959,121,100,337,50.204686959529624,
WAUC,2,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.6361399671951886,0.8181818181818182,121,100,337,47.33465928744384,
WAUC,3,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.11355735805330247,0.6078431372549019,153,64,426,149.68526181670546,
WAUC,3,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.34014625914119634,0.6993464052287581,153,72,426,154.04566006675051,
WAUC,3,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.38851194348917184,0.7189542483660131,153,72,426,156.52799702327232,
WAUC,3,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.38851194348917184,0.7189542483660131,153,76,426,161.97334475915537,
WAUC,3,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5224628771398846,0.7843137254901961,153,80,398,138.92846833844462,
WAUC,4,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3152173913043478,0.657608695652174,184,94,513,160.63843433591416,
WAUC,4,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.32608695652173914,0.6630434782608695,184,100,513,167.38343135795088,
WAUC,4,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3804347826086957,0.6902173913043478,184,98,513,159.0804273377008,
WAUC,4,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3152173913043478,0.657608695652174,184,100,513,173.3016751042284,
WAUC,4,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.2065217391304348,0.6032608695652174,184,96,513,156.8757519356759,
WAUC,5,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.614521300961979,0.8074866310160428,187,100,521,95.24330781871654,
WAUC,5,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5191703331238215,0.7593582887700535,187,100,521,114.60609107420873,
WAUC,5,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5718374356038924,0.786096256684492,187,100,521,114.12282693305667,
WAUC,5,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.46436755270394137,0.732620320855615,187,100,521,102.065386611313,
WAUC,5,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5613091491674772,0.7807486631016043,187,100,521,144.92823113071572,
WAUC,6,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.4285131433234248,0.7135135135135136,185,100,450,117.75630432053609,
WAUC,6,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.48058025269068794,0.7405405405405405,185,100,515,134.1694689971424,
WAUC,6,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3739059400163379,0.6864864864864865,185,100,515,114.90573979309268,
WAUC,6,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.44827787848663814,0.7243243243243244,185,100,515,123.06340872673036,
WAUC,6,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.1890233210590917,0.5945945945945946,185,100,515,136.9167718925143,
WAUC,7,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3721474546518432,0.6864864864864865,185,100,517,150.69001979181942,
WAUC,7,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.33441462695370094,0.6702702702702703,185,100,517,171.61083785368723,
WAUC,7,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.38170624450307833,0.6918918918918919,185,100,437,157.04156282070088,
WAUC,7,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5432098765432098,0.772972972972973,185,100,517,181.80039217123607,
WAUC,7,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.2311969563944981,0.6162162162162163,185,100,517,187.9812967306849,
WAUC,8,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3152173913043478,0.657608695652174,184,100,512,188.97135605240567,
WAUC,8,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.4565217391304348,0.7282608695652174,184,100,512,166.00670374379447,
WAUC,8,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.44565217391304346,0.7228260869565217,184,100,512,168.116009107536,
WAUC,8,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.4347826086956522,0.717391304347826,184,100,466,144.97102758389005,
WAUC,8,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3152173913043478,0.657608695652174,184,100,512,156.07220335187185,
WAUC,9,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.488337198199427,0.743801652892562,121,100,339,87.92336065573768,
WAUC,9,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.48623476236132046,0.743801652892562,121,100,280,55.359153005464464,
WAUC,9,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5034199726402189,0.7520661157024794,121,100,339,89.42759562841538,
WAUC,9,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.38847152028411425,0.6942148760330579,121,100,339,91.8905737704918,
WAUC,9,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.536017529443988,0.768595041322314,121,100,339,93.52704918032799,
WAUC,10,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5568215016067777,0.7783783783783784,185,100,516,106.00562256981246,
WAUC,10,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5139821355595773,0.7567567567567568,185,100,516,108.93100108990197,
WAUC,10,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.6648746566937416,0.8324324324324325,185,100,516,113.00970602097303,
WAUC,10,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.48167172542610326,0.7405405405405405,185,100,516,120.9663014021442,
WAUC,10,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5897525676937442,0.7945945945945946,185,100,516,116.92016098150086,
WAUC,11,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.8240563019833653,0.912,125,100,347,19.96000195112433,
WAUC,11,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.9039200614911607,0.952,125,100,347,28.03271385135685,
WAUC,11,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,1.0,1.0,125,100,347,25.984293449100047,
WAUC,11,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.9839969274100627,0.992,125,100,347,18.988211957140294,
WAUC,11,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.792172912137102,0.896,125,100,347,20.032583776401154,
WAUC,12,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.48523985239852396,0.7419354838709677,186,100,520,135.2446083830945,
WAUC,12,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5046317739694303,0.7526881720430108,186,100,520,122.33288886312255,
WAUC,12,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5482303955586398,0.7741935483870968,186,100,487,146.9125384080236,
WAUC,12,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5263888888888889,0.7634408602150538,186,100,520,119.896461389066,
WAUC,12,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.46055684454756385,0.7311827956989247,186,100,520,124.52701968230052,
WAUC,13,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.38495658149559564,0.6927374301675978,179,100,499,146.37685163321532,
WAUC,13,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3351491890553423,0.664804469273743,179,100,499,178.52498622589542,
WAUC,13,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.46252971349931193,0.7318435754189944,179,100,499,141.17456119637936,
WAUC,13,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3306743113548548,0.664804469273743,179,100,499,180.2731129476585,
WAUC,13,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.41730311756604477,0.7094972067039106,179,100,499,140.4814836678473,
WAUC,14,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5788177339901478,0.7888888888888889,180,100,503,85.78698987490709,
WAUC,14,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5879732739420935,0.7944444444444444,180,100,503,88.66445922095608,
WAUC,14,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.6775389177168273,0.8388888888888889,180,100,503,92.68568088927421,
WAUC,14,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5669874167283493,0.7833333333333333,180,100,503,96.16702919866235,
WAUC,14,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5232815964523282,0.7611111111111111,180,100,503,91.37217457270253,
WAUC,15,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.48629277907185087,0.7431693989071039,183,100,421,121.77164634146337,
WAUC,15,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.46411283093288713,0.73224043715847,183,78,510,134.8106707317074,
WAUC,15,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.35389862964514396,0.6775956284153005,183,100,452,125.79695121951231,
WAUC,15,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.4965913168281306,0.7486338797814208,183,100,510,141.65121951219507,
WAUC,15,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.31067264573991027,0.6557377049180327,183,86,510,139.25579268292682,
WAUC,16,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,1.0,1.0,124,96,274,12.741426672574212,
WAUC,16,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.9139784946236559,0.967741935483871,124,100,344,28.18591050066459,
WAUC,16,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.711340206185567,0.8870967741935484,124,100,344,24.087727071333624,
WAUC,16,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.8085106382978724,0.9274193548387096,124,100,344,18.06034559149313,
WAUC,16,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.9787234042553191,0.9919354838709677,124,100,344,23.466459902525475,
WAUC,17,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.35122146575891067,0.6875,144,100,403,107.13903644680542,
WAUC,17,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5242290748898679,0.7708333333333334,144,100,403,101.75132802124834,
WAUC,17,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.7189695550351288,0.8611111111111112,144,98,403,94.65256258914961,
WAUC,17,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.40752351097178685,0.7083333333333334,144,100,403,95.87929147607102,
WAUC,17,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3664450527962455,0.6875,144,100,403,99.42867419212035,
WAUC,18,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3945061367621274,0.6972972972972973,185,100,516,148.01112731236006,
WAUC,18,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5358539004609371,0.7675675675675676,185,100,516,114.09247599269452,
WAUC,18,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5359622003149973,0.7675675675675676,185,100,516,121.0612812242251,
