dataset,montage,subject,protocol,seed,alpha,calibration_frac,window_size,n_components,n_channels,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
COGBCI,full,1,within,0,0.5,0.3,50,4,62,workload,0.85,0.9,60,100,24,5.0,
COGBCI,full,1,within,1,0.5,0.3,50,4,62,workload,0.9,0.9333333333333332,60,100,38,4.0,
COGBCI,full,1,within,2,0.5,0.3,50,4,62,workload,0.8493093344495605,0.9,60,100,24,2.0,
COGBCI,full,1,within,3,0.5,0.3,50,4,62,workload,0.9248747913188649,0.95,60,100,24,2.0,
COGBCI,full,1,within,42,0.5,0.3,50,4,62,workload,0.899874843554443,0.9333333333333332,60,100,24,3.0,
COGBCI,full,2,within,0,0.5,0.3,50,4,62,workload,0.725,0.8166666666666667,60,96,166,19.0,
COGBCI,full,2,within,1,0.5,0.3,50,4,62,workload,0.95,0.9666666666666668,60,100,166,25.0,
COGBCI,full,2,within,2,0.5,0.3,50,4,62,workload,0.875,0.9166666666666666,60,100,166,17.0,
COGBCI,full,2,within,3,0.5,0.3,50,4,62,workload,0.95,0.9666666666666668,60,100,166,15.0,
COGBCI,full,2,within,42,0.5,0.3,50,4,62,workload,0.925,0.95,60,100,166,19.0,
COGBCI,full,3,within,0,0.5,0.3,50,4,62,workload,0.8280998389694042,0.8852459016393442,61,100,27,4.0,
COGBCI,full,3,within,1,0.5,0.3,50,4,62,workload,0.950846091861402,0.9672131147540984,61,100,41,7.0,
COGBCI,full,3,within,2,0.5,0.3,50,4,62,workload,0.8286516853932584,0.8852459016393442,61,100,41,8.0,
COGBCI,full,3,within,3,0.5,0.3,50,4,62,workload,0.950846091861402,0.9672131147540984,61,99,27,2.0,
COGBCI,full,3,within,42,0.5,0.3,50,4,62,workload,0.9753634894991924,0.9836065573770492,61,100,41,5.0,
COGBCI,full,4,within,0,0.5,0.3,50,4,62,workload,0.9,0.9333333333333332,60,100,39,3.0,
COGBCI,full,4,within,1,0.5,0.3,50,4,62,workload,0.875,0.9166666666666666,60,99,54,9.0,
COGBCI,full,4,within,2,0.5,0.3,50,4,62,workload,0.95,0.9666666666666668,60,100,54,14.0,
COGBCI,full,4,within,3,0.5,0.3,50,4,62,workload,0.95,0.9666666666666668,60,98,25,3.0,
COGBCI,full,4,within,42,0.5,0.3,50,4,62,workload,0.975,0.9833333333333332,60,100,39,3.0,
COGBCI,full,5,within,0,0.5,0.3,50,4,62,workload,0.6580645161290323,0.7735849056603774,53,99,25,6.0,
COGBCI,full,5,within,1,0.5,0.3,50,4,62,workload,0.8304904051172708,0.8867924528301887,53,100,25,4.0,
COGBCI,full,5,within,2,0.5,0.3,50,4,62,workload,0.7732620320855614,0.8490566037735849,53,98,25,3.0,
COGBCI,full,5,within,3,0.5,0.3,50,4,62,workload,0.5744111349036403,0.7169811320754716,53,97,25,4.0,
COGBCI,full,5,within,42,0.5,0.3,50,4,62,workload,0.7456,0.8301886792452831,53,87,25,4.0,
COGBCI,full,6,within,0,0.5,0.3,50,4,62,workload,0.5588235294117647,0.7058823529411765,51,93,141,41.0,
COGBCI,full,6,within,1,0.5,0.3,50,4,62,workload,0.6176470588235294,0.7450980392156863,51,100,18,6.0,
COGBCI,full,6,within,2,0.5,0.3,50,4,62,workload,0.5294117647058824,0.6862745098039216,51,92,141,40.0,
COGBCI,full,6,within,3,0.5,0.3,50,4,62,workload,0.4411764705882353,0.6274509803921569,51,96,141,50.0,
COGBCI,full,6,within,42,0.5,0.3,50,4,62,workload,0.6176470588235294,0.7450980392156863,51,95,141,44.0,
COGBCI,full,7,within,0,0.5,0.3,50,4,62,workload,0.9422863485016648,0.9615384615384616,52,100,22,3.0,
COGBCI,full,7,within,1,0.5,0.3,50,4,62,workload,0.424141749723145,0.6153846153846154,52,76,144,25.0,
COGBCI,full,7,within,2,0.5,0.3,50,4,62,workload,0.9422543031649084,0.9615384615384616,52,100,22,3.0,
COGBCI,full,7,within,3,0.5,0.3,50,4,62,workload,0.6244444444444444,0.75,52,97,144,26.0,
COGBCI,full,7,within,42,0.5,0.3,50,4,62,workload,0.9711431742508324,0.9807692307692308,52,100,144,21.0,
COGBCI,full,8,within,0,0.5,0.3,50,4,62,workload,0.8823529411764706,0.9215686274509804,51,94,143,25.0,
COGBCI,full,8,within,1,0.5,0.3,50,4,62,workload,0.9411764705882352,0.9607843137254902,51,100,20,1.0,
COGBCI,full,8,within,2,0.5,0.3,50,4,62,workload,0.9705882352941176,0.9803921568627452,51,100,20,0.0,
COGBCI,full,8,within,3,0.5,0.3,50,4,62,workload,0.6176470588235294,0.7450980392156863,51,91,143,19.0,
COGBCI,full,8,within,42,0.5,0.3,50,4,62,workload,0.8529411764705882,0.9019607843137256,51,100,143,23.0,
COGBCI,full,9,within,0,0.5,0.3,50,4,62,workload,1.0,1.0,52,100,143,16.0,
