dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,window_size,discount_gamma,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.0167,0.5083,120,68,84,42.0,380.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.1667,0.5833,120,60,84,46.0,398.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.0667,0.5333,120,88,84,38.0,383.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,-0.0167,0.4917,120,90,84,40.0,383.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,-0.1,0.45,120,52,84,36.0,391.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.0167,0.5083,120,68,84,41.0,382.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,-0.1,0.45,120,60,84,50.0,395.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.25,0.625,120,88,84,46.0,388.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,-0.0167,0.4917,120,90,84,36.0,386.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.2,0.6,120,52,84,35.0,400.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0167,0.5083,120,68,84,46.0,383.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0667,0.5333,120,60,84,44.0,397.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.25,0.625,120,88,84,47.0,387.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0167,0.5083,120,90,84,41.0,379.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0667,0.5333,120,52,84,38.0,392.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.0,0.5,120,68,84,43.0,377.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.1667,0.5833,120,60,84,42.0,400.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.2,0.6,120,88,84,41.0,392.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.1,0.55,120,90,84,34.0,381.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,-0.0167,0.4917,120,52,84,36.0,394.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.0,0.5,120,68,84,36.0,378.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.1667,0.5833,120,60,84,42.0,388.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,-0.0167,0.4917,120,88,84,46.0,402.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.05,0.525,120,90,84,34.0,373.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.0,0.5,120,52,84,31.0,399.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,0.1,0.55,120,68,84,41.0,378.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,0.15,0.575,120,60,84,42.0,396.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,-0.0667,0.4667,120,88,84,43.0,394.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,-0.0333,0.4833,120,90,84,46.0,367.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,0.1667,0.5833,120,52,84,42.0,397.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,1.0,0.0167,0.5083,120,68,84,42.0,380.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,1.0,0.1667,0.5833,120,60,84,46.0,398.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,1.0,0.0667,0.5333,120,88,84,38.0,383.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,1.0,-0.0167,0.4917,120,90,84,40.0,383.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,1.0,-0.1,0.45,120,52,84,36.0,391.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.99,0.0167,0.5083,120,68,84,41.0,382.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.99,-0.1,0.45,120,60,84,50.0,395.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.99,0.25,0.625,120,88,84,46.0,388.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.99,-0.0167,0.4917,120,90,84,36.0,386.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.99,0.2,0.6,120,52,84,35.0,400.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0167,0.5083,120,68,84,46.0,383.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0667,0.5333,120,60,84,44.0,397.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.25,0.625,120,88,84,47.0,387.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0167,0.5083,120,90,84,41.0,379.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0667,0.5333,120,52,84,38.0,392.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.0167,0.5083,120,94,84,48.0,387.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,-0.1333,0.4333,120,62,84,42.0,401.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.05,0.525,120,58,84,42.0,389.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,-0.0167,0.4917,120,56,84,41.0,391.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.0333,0.5167,120,60,84,44.0,386.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,-0.05,0.475,120,94,84,42.0,392.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.0,0.5,120,62,84,44.0,404.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.0,0.5,120,58,84,44.0,383.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.0,0.5,120,56,84,39.0,390.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.0333,0.5167,120,60,84,47.0,389.0
