dataset,subject,protocol,fold_name,budget_frac,alpha,arm_pool,calibration_frac,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,1.0,0.1,pruned,0.3,-0.0417,0.4792,48,76,134,67.0,254.0
BCI-IV-2b,1,within,within_fold0,1.0,0.5,pruned,0.3,0.25,0.625,48,76,134,60.0,194.0
BCI-IV-2b,1,within,within_fold0,1.0,1.0,pruned,0.3,0.0833,0.5417,48,76,134,67.0,176.0
BCI-IV-2b,1,within,within_fold0,1.0,2.0,pruned,0.3,0.25,0.625,48,76,134,61.0,177.0
BCI-IV-2b,1,within,within_fold0,1.0,5.0,pruned,0.3,-0.125,0.4375,48,76,134,57.0,180.0
BCI-IV-2b,1,official,official[0→1],1.0,0.1,pruned,0.3,-0.0333,0.4833,120,52,84,48.0,379.0
BCI-IV-2b,1,official,official[0→1],1.0,0.5,pruned,0.3,-0.0667,0.4667,120,52,84,48.0,408.0
BCI-IV-2b,1,official,official[0→1],1.0,1.0,pruned,0.3,-0.1,0.45,120,52,84,36.0,391.0
BCI-IV-2b,1,official,official[0→1],1.0,2.0,pruned,0.3,-0.05,0.475,120,52,84,36.0,395.0
BCI-IV-2b,1,official,official[0→1],1.0,5.0,pruned,0.3,0.0,0.5,120,52,84,36.0,396.0
BCI-IV-2b,2,within,within_fold0,1.0,0.1,pruned,0.3,0.0417,0.5208,48,86,134,71.0,276.0
BCI-IV-2b,2,within,within_fold0,1.0,0.5,pruned,0.3,-0.1667,0.4167,48,86,134,77.0,173.0
BCI-IV-2b,2,within,within_fold0,1.0,1.0,pruned,0.3,-0.25,0.375,48,86,134,63.0,175.0
BCI-IV-2b,2,within,within_fold0,1.0,2.0,pruned,0.3,-0.25,0.375,48,86,134,60.0,185.0
BCI-IV-2b,2,within,within_fold0,1.0,5.0,pruned,0.3,0.0417,0.5208,48,86,134,75.0,187.0
BCI-IV-2b,2,official,official[0→1],1.0,0.1,pruned,0.3,-0.05,0.475,120,60,84,55.0,360.0
BCI-IV-2b,2,official,official[0→1],1.0,0.5,pruned,0.3,0.0333,0.5167,120,60,84,41.0,360.0
BCI-IV-2b,2,official,official[0→1],1.0,1.0,pruned,0.3,0.0333,0.5167,120,60,84,44.0,386.0
BCI-IV-2b,2,official,official[0→1],1.0,2.0,pruned,0.3,-0.0667,0.4667,120,60,84,41.0,382.0
BCI-IV-2b,2,official,official[0→1],1.0,5.0,pruned,0.3,-0.0333,0.4833,120,60,84,43.0,380.0
BCI-IV-2b,3,within,within_fold0,1.0,0.1,pruned,0.3,-0.0417,0.4792,48,76,134,65.0,185.0
BCI-IV-2b,3,within,within_fold0,1.0,0.5,pruned,0.3,0.25,0.625,48,76,134,69.0,167.0
