dataset,subject,protocol,fold_name,budget_frac,alpha,arm_pool,calibration_frac,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,0.25,1.0,pruned,0.3,0.0833,0.5417,48,76,50,20.0,0.5
BCI-IV-2b,1,within,within_fold0,0.5,1.0,pruned,0.3,0.0833,0.5417,48,76,99,49.0,0.0
BCI-IV-2b,1,within,within_fold0,1.0,1.0,pruned,0.3,0.0833,0.5417,48,76,134,67.0,176.0
BCI-IV-2b,1,within,within_fold0,2.0,1.0,pruned,0.3,0.0833,0.5417,48,76,134,67.0,722.0
BCI-IV-2b,1,official,official[0→1],0.25,1.0,pruned,0.3,-0.0333,0.4833,120,52,59,24.0,0.0
BCI-IV-2b,1,official,official[0→1],0.5,1.0,pruned,0.3,-0.1,0.45,120,52,84,36.0,85.0
BCI-IV-2b,1,official,official[0→1],1.0,1.0,pruned,0.3,-0.1,0.45,120,52,84,36.0,391.0
BCI-IV-2b,1,official,official[0→1],2.0,1.0,pruned,0.3,-0.1,0.45,120,52,84,36.0,1003.0
BCI-IV-2b,2,within,within_fold0,0.25,1.0,pruned,0.3,-0.25,0.375,48,86,48,24.0,1.5
BCI-IV-2b,2,within,within_fold0,0.5,1.0,pruned,0.3,-0.25,0.375,48,86,99,49.0,0.0
BCI-IV-2b,2,within,within_fold0,1.0,1.0,pruned,0.3,-0.25,0.375,48,86,134,63.0,175.0
BCI-IV-2b,2,within,within_fold0,2.0,1.0,pruned,0.3,-0.25,0.375,48,86,134,63.0,721.0
BCI-IV-2b,2,official,official[0→1],0.25,1.0,pruned,0.3,-0.05,0.475,120,60,54,32.0,1.0
BCI-IV-2b,2,official,official[0→1],0.5,1.0,pruned,0.3,0.0333,0.5167,120,60,84,44.0,80.0
BCI-IV-2b,2,official,official[0→1],1.0,1.0,pruned,0.3,0.0333,0.5167,120,60,84,44.0,386.0
BCI-IV-2b,2,official,official[0→1],2.0,1.0,pruned,0.3,0.0333,0.5167,120,60,84,44.0,998.0
BCI-IV-2b,3,within,within_fold0,0.25,1.0,pruned,0.3,-0.0417,0.4792,48,76,49,19.0,1.5
BCI-IV-2b,3,within,within_fold0,0.5,1.0,pruned,0.3,-0.0417,0.4792,48,76,101,53.0,1.0
BCI-IV-2b,3,within,within_fold0,1.0,1.0,pruned,0.3,0.0833,0.5417,48,76,134,67.0,180.0
BCI-IV-2b,3,within,within_fold0,2.0,1.0,pruned,0.3,0.0833,0.5417,48,76,134,67.0,726.0
BCI-IV-2b,3,official,official[0→1],0.25,1.0,pruned,0.3,0.0,0.5,120,64,58,29.0,0.0
BCI-IV-2b,3,official,official[0→1],0.5,1.0,pruned,0.3,-0.1,0.45,120,64,84,42.0,84.0
BCI-IV-2b,3,official,official[0→1],1.0,1.0,pruned,0.3,-0.1,0.45,120,64,84,42.0,390.0
BCI-IV-2b,3,official,official[0→1],2.0,1.0,pruned,0.3,-0.1,0.45,120,64,84,42.0,1002.0
BCI-IV-2b,4,within,within_fold0,0.25,1.0,pruned,0.3,0.4231,0.7115,52,86,51,18.0,0.5
BCI-IV-2b,4,within,within_fold0,0.5,1.0,pruned,0.3,0.4231,0.7115,52,86,110,43.0,0.0
BCI-IV-2b,4,within,within_fold0,1.0,1.0,pruned,0.3,0.4231,0.7115,52,86,146,60.0,206.0
BCI-IV-2b,4,within,within_fold0,2.0,1.0,pruned,0.3,0.4231,0.7115,52,86,146,60.0,800.0
BCI-IV-2b,4,official,official[0→1],0.25,1.0,pruned,0.3,0.5857,0.7929,140,86,60,24.0,0.0
BCI-IV-2b,4,official,official[0→1],0.5,1.0,pruned,0.3,0.0714,0.5357,140,86,84,32.0,105.0
BCI-IV-2b,4,official,official[0→1],1.0,1.0,pruned,0.3,0.0714,0.5357,140,86,84,32.0,441.0
BCI-IV-2b,4,official,official[0→1],2.0,1.0,pruned,0.3,0.0714,0.5357,140,86,84,32.0,1113.0
BCI-IV-2b,5,within,within_fold0,0.25,1.0,pruned,0.3,0.1154,0.5577,52,68,57,22.0,1.5
BCI-IV-2b,5,within,within_fold0,0.5,1.0,pruned,0.3,0.1154,0.5577,52,68,111,44.0,0.0
BCI-IV-2b,5,within,within_fold0,1.0,1.0,pruned,0.3,0.0769,0.5385,52,68,146,61.0,202.0
BCI-IV-2b,5,within,within_fold0,2.0,1.0,pruned,0.3,0.0769,0.5385,52,68,146,61.0,796.0
BCI-IV-2b,5,official,official[0→1],0.25,1.0,pruned,0.3,0.3429,0.6714,140,70,61,27.0,0.0
BCI-IV-2b,5,official,official[0→1],0.5,1.0,pruned,0.3,0.0143,0.5071,140,70,84,36.0,106.0
BCI-IV-2b,5,official,official[0→1],1.0,1.0,pruned,0.3,0.0143,0.5071,140,70,84,36.0,442.0
BCI-IV-2b,5,official,official[0→1],2.0,1.0,pruned,0.3,0.0143,0.5071,140,70,84,36.0,1114.0
BCI-IV-2b,6,within,within_fold0,0.25,1.0,pruned,0.3,0.2083,0.6042,48,70,47,19.0,0.5
BCI-IV-2b,6,within,within_fold0,0.5,1.0,pruned,0.3,0.2083,0.6042,48,70,96,45.0,0.0
BCI-IV-2b,6,within,within_fold0,1.0,1.0,pruned,0.3,0.125,0.5625,48,70,134,62.0,179.0
BCI-IV-2b,6,within,within_fold0,2.0,1.0,pruned,0.3,0.125,0.5625,48,70,134,62.0,725.0
BCI-IV-2b,6,official,official[0→1],0.25,1.0,pruned,0.3,-0.0833,0.4583,120,72,58,23.0,1.0
BCI-IV-2b,6,official,official[0→1],0.5,1.0,pruned,0.3,-0.0833,0.4583,120,72,84,37.0,85.0
BCI-IV-2b,6,official,official[0→1],1.0,1.0,pruned,0.3,-0.0833,0.4583,120,72,84,37.0,391.0
BCI-IV-2b,6,official,official[0→1],2.0,1.0,pruned,0.3,-0.0833,0.4583,120,72,84,37.0,1003.0
BCI-IV-2b,7,within,within_fold0,0.25,1.0,pruned,0.3,0.0417,0.5208,48,98,52,25.0,0.5
BCI-IV-2b,7,within,within_fold0,0.5,1.0,pruned,0.3,0.0417,0.5208,48,98,107,53.0,0.0
BCI-IV-2b,7,within,within_fold0,1.0,1.0,pruned,0.3,0.0,0.5,48,98,134,69.0,201.0
BCI-IV-2b,7,within,within_fold0,2.0,1.0,pruned,0.3,0.0,0.5,48,98,134,69.0,747.0
BCI-IV-2b,7,official,official[0→1],0.25,1.0,pruned,0.3,0.2333,0.6167,120,40,55,26.0,1.0
BCI-IV-2b,7,official,official[0→1],0.5,1.0,pruned,0.3,0.2167,0.6083,120,40,84,38.0,75.0
BCI-IV-2b,7,official,official[0→1],1.0,1.0,pruned,0.3,0.2167,0.6083,120,40,84,38.0,381.0
BCI-IV-2b,7,official,official[0→1],2.0,1.0,pruned,0.3,0.2167,0.6083,120,40,84,38.0,993.0
