dataset,subject,protocol,fold_name,budget_frac,alpha,arm_pool,calibration_frac,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,1.0,1.0,pruned,0.2,0.0417,0.5208,48,66,154,68.0,189.0
BCI-IV-2b,1,within,within_fold0,1.0,1.0,pruned,0.3,0.0833,0.5417,48,76,134,67.0,176.0
BCI-IV-2b,1,within,within_fold0,1.0,1.0,pruned,0.5,0.25,0.625,48,70,96,43.0,158.0
BCI-IV-2b,1,official,official[0→1],1.0,1.0,pruned,0.2,0.0833,0.5417,120,72,96,44.0,396.0
BCI-IV-2b,1,official,official[0→1],1.0,1.0,pruned,0.3,-0.1,0.45,120,52,84,36.0,391.0
BCI-IV-2b,1,official,official[0→1],1.0,1.0,pruned,0.5,0.15,0.575,120,100,60,30.0,373.0
BCI-IV-2b,2,within,within_fold0,1.0,1.0,pruned,0.2,0.1667,0.5833,48,50,154,77.0,172.0
BCI-IV-2b,2,within,within_fold0,1.0,1.0,pruned,0.3,-0.25,0.375,48,86,134,63.0,175.0
BCI-IV-2b,2,within,within_fold0,1.0,1.0,pruned,0.5,-0.125,0.4375,48,70,96,49.0,177.0
BCI-IV-2b,2,official,official[0→1],1.0,1.0,pruned,0.2,0.15,0.575,120,72,96,47.0,384.0
BCI-IV-2b,2,official,official[0→1],1.0,1.0,pruned,0.3,0.0333,0.5167,120,60,84,44.0,386.0
BCI-IV-2b,2,official,official[0→1],1.0,1.0,pruned,0.5,0.0,0.5,120,89,60,27.0,369.0
BCI-IV-2b,3,within,within_fold0,1.0,1.0,pruned,0.2,0.1667,0.5833,48,78,154,77.0,203.0
BCI-IV-2b,3,within,within_fold0,1.0,1.0,pruned,0.3,0.0833,0.5417,48,76,134,67.0,180.0
BCI-IV-2b,3,within,within_fold0,1.0,1.0,pruned,0.5,0.0417,0.5208,48,60,96,49.0,164.0
BCI-IV-2b,3,official,official[0→1],1.0,1.0,pruned,0.2,0.0833,0.5417,120,50,96,55.0,404.0
BCI-IV-2b,3,official,official[0→1],1.0,1.0,pruned,0.3,-0.1,0.45,120,64,84,42.0,390.0
BCI-IV-2b,3,official,official[0→1],1.0,1.0,pruned,0.5,0.2167,0.6083,120,54,60,28.0,374.0
BCI-IV-2b,4,within,within_fold0,1.0,1.0,pruned,0.2,0.5,0.75,52,68,166,58.0,192.0
BCI-IV-2b,4,within,within_fold0,1.0,1.0,pruned,0.3,0.4231,0.7115,52,86,146,60.0,206.0
BCI-IV-2b,4,within,within_fold0,1.0,1.0,pruned,0.5,0.2692,0.6346,52,76,104,39.0,173.0
BCI-IV-2b,4,official,official[0→1],1.0,1.0,pruned,0.2,-0.0143,0.4929,140,90,96,39.0,448.0
BCI-IV-2b,4,official,official[0→1],1.0,1.0,pruned,0.3,0.0714,0.5357,140,86,84,32.0,441.0
BCI-IV-2b,4,official,official[0→1],1.0,1.0,pruned,0.5,0.3286,0.6643,140,72,60,20.0,437.0
BCI-IV-2b,5,within,within_fold0,1.0,1.0,pruned,0.2,0.3846,0.6923,52,82,166,74.0,201.0
BCI-IV-2b,5,within,within_fold0,1.0,1.0,pruned,0.3,0.0769,0.5385,52,68,146,61.0,202.0
BCI-IV-2b,5,within,within_fold0,1.0,1.0,pruned,0.5,0.3846,0.6923,52,62,104,42.0,194.0
BCI-IV-2b,5,official,official[0→1],1.0,1.0,pruned,0.2,0.2857,0.6429,140,72,96,42.0,443.0
BCI-IV-2b,5,official,official[0→1],1.0,1.0,pruned,0.3,0.0143,0.5071,140,70,84,36.0,442.0
BCI-IV-2b,5,official,official[0→1],1.0,1.0,pruned,0.5,0.0714,0.5357,140,84,60,25.0,435.0
BCI-IV-2b,6,within,within_fold0,1.0,1.0,pruned,0.2,0.1667,0.5833,48,52,154,69.0,155.0
