dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,0.25,0.625,48,76,134,54.0,175.0
BCI-IV-2b,1,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,-0.0833,0.4583,48,64,134,70.0,205.0
BCI-IV-2b,1,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,0.5,0.75,48,92,134,69.0,185.0
BCI-IV-2b,1,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,-0.0833,0.4583,48,72,134,66.0,175.0
BCI-IV-2b,1,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,0.0833,0.5417,48,76,134,67.0,176.0
BCI-IV-2b,1,within,within_fold0,0,1.0,1.0,pruned,0.3,False,inf,0.25,0.625,48,76,134,52.0,175.0
BCI-IV-2b,1,within,within_fold0,1,1.0,1.0,pruned,0.3,False,inf,0.0417,0.5208,48,64,134,73.0,197.0
BCI-IV-2b,1,within,within_fold0,2,1.0,1.0,pruned,0.3,False,inf,0.0,0.5,48,92,134,60.0,190.0
BCI-IV-2b,1,within,within_fold0,3,1.0,1.0,pruned,0.3,False,inf,0.125,0.5625,48,72,134,59.0,178.0
BCI-IV-2b,1,within,within_fold0,42,1.0,1.0,pruned,0.3,False,inf,0.1667,0.5833,48,76,134,63.0,179.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,0.0167,0.5083,120,68,84,42.0,380.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,0.1667,0.5833,120,60,84,46.0,398.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,0.0667,0.5333,120,88,84,38.0,383.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,-0.0167,0.4917,120,90,84,40.0,383.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,-0.1,0.45,120,52,84,36.0,391.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,False,inf,0.0,0.5,120,68,84,46.0,380.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,False,inf,-0.0333,0.4833,120,60,84,46.0,400.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,False,inf,-0.0667,0.4667,120,88,84,44.0,385.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,False,inf,0.1,0.55,120,90,84,36.0,389.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,False,inf,0.1333,0.5667,120,52,84,37.0,395.0
BCI-IV-2b,2,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,-0.0833,0.4583,48,48,134,72.0,200.0
BCI-IV-2b,2,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,-0.0417,0.4792,48,78,134,69.0,189.0
BCI-IV-2b,2,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,0.1667,0.5833,48,54,134,70.0,188.0
BCI-IV-2b,2,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,0.0417,0.5208,48,78,134,66.0,197.0
BCI-IV-2b,2,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,-0.25,0.375,48,86,134,63.0,175.0
BCI-IV-2b,2,within,within_fold0,0,1.0,1.0,pruned,0.3,False,inf,0.0833,0.5417,48,48,134,70.0,196.0
BCI-IV-2b,2,within,within_fold0,1,1.0,1.0,pruned,0.3,False,inf,-0.125,0.4375,48,78,134,72.0,197.0
BCI-IV-2b,2,within,within_fold0,2,1.0,1.0,pruned,0.3,False,inf,0.1667,0.5833,48,54,134,63.0,190.0
BCI-IV-2b,2,within,within_fold0,3,1.0,1.0,pruned,0.3,False,inf,0.0833,0.5417,48,78,134,56.0,197.0
BCI-IV-2b,2,within,within_fold0,42,1.0,1.0,pruned,0.3,False,inf,0.125,0.5625,48,86,134,71.0,181.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,0.0167,0.5083,120,94,84,48.0,387.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,-0.1333,0.4333,120,62,84,42.0,401.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,0.05,0.525,120,58,84,42.0,389.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,-0.0167,0.4917,120,56,84,41.0,391.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,0.0333,0.5167,120,60,84,44.0,386.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,False,inf,0.0167,0.5083,120,94,84,43.0,390.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,False,inf,0.1,0.55,120,62,84,35.0,396.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,False,inf,0.05,0.525,120,58,84,44.0,392.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,False,inf,-0.0333,0.4833,120,56,84,42.0,392.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,False,inf,-0.0833,0.4583,120,60,84,43.0,384.0
BCI-IV-2b,3,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,0.375,0.6875,48,46,134,71.0,202.0
BCI-IV-2b,3,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,0.125,0.5625,48,86,134,74.0,163.0
BCI-IV-2b,3,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,0.125,0.5625,48,84,134,65.0,167.0
BCI-IV-2b,3,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,0.1667,0.5833,48,42,134,64.0,178.0
BCI-IV-2b,3,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,0.0833,0.5417,48,76,134,67.0,180.0
BCI-IV-2b,3,within,within_fold0,0,1.0,1.0,pruned,0.3,False,inf,0.375,0.6875,48,46,134,64.0,197.0
BCI-IV-2b,3,within,within_fold0,1,1.0,1.0,pruned,0.3,False,inf,0.125,0.5625,48,86,134,75.0,185.0
BCI-IV-2b,3,within,within_fold0,2,1.0,1.0,pruned,0.3,False,inf,0.125,0.5625,48,84,134,70.0,162.0
