dataset,subject,protocol,fold_name,budget_frac,alpha,arm_pool,calibration_frac,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,1.0,1.0,pruned,0.3,0.0833,0.5417,48,76,134,67.0,176.0
BCI-IV-2b,1,within,within_fold0,1.0,1.0,full,0.3,0.0833,0.5417,48,86,134,66.0,185.0
BCI-IV-2b,1,official,official[0→1],1.0,1.0,pruned,0.3,-0.1,0.45,120,52,84,36.0,391.0
BCI-IV-2b,1,official,official[0→1],1.0,1.0,full,0.3,-0.0333,0.4833,120,92,84,39.0,392.0
BCI-IV-2b,2,within,within_fold0,1.0,1.0,pruned,0.3,-0.25,0.375,48,86,134,63.0,175.0
BCI-IV-2b,2,within,within_fold0,1.0,1.0,full,0.3,0.2917,0.6458,48,102,134,65.0,179.0
BCI-IV-2b,2,official,official[0→1],1.0,1.0,pruned,0.3,0.0333,0.5167,120,60,84,44.0,386.0
BCI-IV-2b,2,official,official[0→1],1.0,1.0,full,0.3,-0.0167,0.4917,120,126,84,45.0,385.0
BCI-IV-2b,3,within,within_fold0,1.0,1.0,pruned,0.3,0.0833,0.5417,48,76,134,67.0,180.0
BCI-IV-2b,3,within,within_fold0,1.0,1.0,full,0.3,0.0833,0.5417,48,100,134,67.0,180.0
BCI-IV-2b,3,official,official[0→1],1.0,1.0,pruned,0.3,-0.1,0.45,120,64,84,42.0,390.0
BCI-IV-2b,3,official,official[0→1],1.0,1.0,full,0.3,0.0333,0.5167,120,90,84,44.0,389.0
BCI-IV-2b,4,within,within_fold0,1.0,1.0,pruned,0.3,0.4231,0.7115,52,86,146,60.0,206.0
BCI-IV-2b,4,within,within_fold0,1.0,1.0,full,0.3,0.4231,0.7115,52,96,146,57.0,203.0
BCI-IV-2b,4,official,official[0→1],1.0,1.0,pruned,0.3,0.0714,0.5357,140,86,84,32.0,441.0
BCI-IV-2b,4,official,official[0→1],1.0,1.0,full,0.3,0.6429,0.8214,140,96,84,28.0,442.0
BCI-IV-2b,5,within,within_fold0,1.0,1.0,pruned,0.3,0.0769,0.5385,52,68,146,61.0,202.0
BCI-IV-2b,5,within,within_fold0,1.0,1.0,full,0.3,0.0,0.5,52,104,146,59.0,216.0
BCI-IV-2b,5,official,official[0→1],1.0,1.0,pruned,0.3,0.0143,0.5071,140,70,84,36.0,442.0
BCI-IV-2b,5,official,official[0→1],1.0,1.0,full,0.3,0.3286,0.6643,140,80,84,36.0,437.0
BCI-IV-2b,6,within,within_fold0,1.0,1.0,pruned,0.3,0.125,0.5625,48,70,134,62.0,179.0
BCI-IV-2b,6,within,within_fold0,1.0,1.0,full,0.3,-0.0833,0.4583,48,92,134,66.0,172.0
BCI-IV-2b,6,official,official[0→1],1.0,1.0,pruned,0.3,-0.0833,0.4583,120,72,84,37.0,391.0
BCI-IV-2b,6,official,official[0→1],1.0,1.0,full,0.3,-0.0833,0.4583,120,92,84,36.0,388.0
BCI-IV-2b,7,within,within_fold0,1.0,1.0,pruned,0.3,0.0,0.5,48,98,134,69.0,201.0
BCI-IV-2b,7,within,within_fold0,1.0,1.0,full,0.3,0.0417,0.5208,48,148,134,74.0,192.0
BCI-IV-2b,7,official,official[0→1],1.0,1.0,pruned,0.3,0.2167,0.6083,120,40,84,38.0,381.0
BCI-IV-2b,7,official,official[0→1],1.0,1.0,full,0.3,0.2,0.6,120,48,84,47.0,384.0
BCI-IV-2b,8,within,within_fold0,1.0,1.0,pruned,0.3,0.3571,0.6786,56,48,157,74.0,202.0
BCI-IV-2b,8,within,within_fold0,1.0,1.0,full,0.3,0.0714,0.5357,56,74,157,76.0,208.0
BCI-IV-2b,8,official,official[0→1],1.0,1.0,pruned,0.3,-0.1833,0.4083,120,64,112,53.0,393.0
BCI-IV-2b,8,official,official[0→1],1.0,1.0,full,0.3,0.1667,0.5833,120,82,112,54.0,397.0
BCI-IV-2b,9,within,within_fold0,1.0,1.0,pruned,0.3,0.0833,0.5417,48,94,134,60.0,194.0
BCI-IV-2b,9,within,within_fold0,1.0,1.0,full,0.3,0.0833,0.5417,48,108,134,60.0,194.0
BCI-IV-2b,9,official,official[0→1],1.0,1.0,pruned,0.3,0.2167,0.6083,120,52,84,38.0,371.0
BCI-IV-2b,9,official,official[0→1],1.0,1.0,full,0.3,0.2167,0.6083,120,68,84,38.0,371.0
