cell,windows,subject,protocol,seed,kappa,accuracy,n_test,n_arms_surviving,n_arms_total,stream_rounds_run
full,0.0-4.0;0.5-2.5;1.0-3.0,1,within,0,-0.04166666666666674,0.4791666666666667,48,76,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,1,within,1,0.125,0.5625,48,64,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,1,within,2,0.41666666666666663,0.7083333333333334,48,92,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,1,within,3,-0.20833333333333326,0.3958333333333333,48,72,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,1,within,42,0.08333333333333337,0.5416666666666666,48,76,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,1,official,0,0.08333333333333337,0.5416666666666666,120,68,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,1,official,1,0.01666666666666672,0.5083333333333333,120,60,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,1,official,2,0.19999999999999996,0.6,120,88,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,1,official,3,0.1333333333333333,0.5666666666666667,120,90,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,1,official,42,-0.1166666666666667,0.44166666666666665,120,52,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,2,within,0,0.125,0.5625,48,48,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,2,within,1,-0.29166666666666674,0.3541666666666667,48,78,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,2,within,2,0.16666666666666663,0.5833333333333334,48,54,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,2,within,3,0.125,0.5625,48,78,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,2,within,42,0.0,0.5,48,86,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,2,official,0,0.06666666666666665,0.5333333333333333,120,94,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,2,official,1,0.01666666666666672,0.5083333333333333,120,62,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,2,official,2,0.09999999999999998,0.55,120,58,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,2,official,3,0.08333333333333337,0.5416666666666666,120,56,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,2,official,42,0.08333333333333337,0.5416666666666666,120,60,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,3,within,0,0.0,0.5,48,46,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,3,within,1,0.125,0.5625,48,86,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,3,within,2,0.04166666666666663,0.5208333333333334,48,84,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,3,within,3,0.125,0.5625,48,42,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,3,within,42,-0.04166666666666674,0.4791666666666667,48,76,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,3,official,0,-0.016666666666666607,0.49166666666666664,120,16,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,3,official,1,0.050000000000000044,0.525,120,96,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,3,official,2,0.06666666666666665,0.5333333333333333,120,18,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,3,official,3,0.1333333333333333,0.5666666666666667,120,52,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,3,official,42,0.2666666666666667,0.6333333333333333,120,64,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,4,within,0,0.7692307692307692,0.8846153846153846,52,84,162,146
full,0.0-4.0;0.5-2.5;1.0-3.0,4,within,1,0.6153846153846154,0.8076923076923077,52,82,162,146
full,0.0-4.0;0.5-2.5;1.0-3.0,4,within,2,0.5384615384615384,0.7692307692307693,52,90,162,146
full,0.0-4.0;0.5-2.5;1.0-3.0,4,within,3,0.6538461538461539,0.8269230769230769,52,70,162,146
full,0.0-4.0;0.5-2.5;1.0-3.0,4,within,42,0.23076923076923073,0.6153846153846154,52,86,162,146
full,0.0-4.0;0.5-2.5;1.0-3.0,4,official,0,0.5,0.75,140,86,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,4,official,1,0.5,0.75,140,84,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,4,official,2,0.7714285714285715,0.8857142857142857,140,100,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,4,official,3,0.5571428571428572,0.7785714285714286,140,76,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,4,official,42,0.5857142857142856,0.7928571428571428,140,86,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,5,within,0,0.34615384615384615,0.6730769230769231,52,100,162,146
full,0.0-4.0;0.5-2.5;1.0-3.0,5,within,1,0.23076923076923073,0.6153846153846154,52,100,162,146
full,0.0-4.0;0.5-2.5;1.0-3.0,5,within,2,0.23076923076923073,0.6153846153846154,52,74,162,146
full,0.0-4.0;0.5-2.5;1.0-3.0,5,within,3,0.15384615384615385,0.5769230769230769,52,100,162,146
full,0.0-4.0;0.5-2.5;1.0-3.0,5,within,42,0.1923076923076923,0.5961538461538461,52,68,162,146
full,0.0-4.0;0.5-2.5;1.0-3.0,5,official,0,0.2857142857142857,0.6428571428571429,140,100,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,5,official,1,0.3571428571428571,0.6785714285714286,140,84,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,5,official,2,0.2571428571428571,0.6285714285714286,140,46,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,5,official,3,0.3285714285714286,0.6642857142857143,140,76,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,5,official,42,0.3571428571428571,0.6785714285714286,140,70,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,6,within,0,0.5,0.75,48,78,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,6,within,1,0.375,0.6875,48,92,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,6,within,2,0.16666666666666663,0.5833333333333334,48,80,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,6,within,3,0.125,0.5625,48,64,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,6,within,42,-0.08333333333333326,0.4583333333333333,48,70,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,6,official,0,0.08333333333333337,0.5416666666666666,120,80,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,6,official,1,-0.050000000000000044,0.475,120,72,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,6,official,2,0.4,0.7,120,78,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,6,official,3,0.21666666666666667,0.6083333333333333,120,80,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,6,official,42,0.09999999999999998,0.55,120,72,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,7,within,0,0.33333333333333337,0.6666666666666666,48,88,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,7,within,1,0.20833333333333337,0.6041666666666666,48,98,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,7,within,2,0.125,0.5625,48,62,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,7,within,3,0.33333333333333337,0.6666666666666666,48,52,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,7,within,42,0.04166666666666663,0.5208333333333334,48,98,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,7,official,0,0.1333333333333333,0.5666666666666667,120,100,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,7,official,1,0.1333333333333333,0.5666666666666667,120,96,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,7,official,2,0.33333333333333337,0.6666666666666666,120,47,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,7,official,3,0.033333333333333326,0.5166666666666667,120,62,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,7,official,42,0.23333333333333328,0.6166666666666667,120,40,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,8,within,0,0.1071428571428571,0.5535714285714286,56,44,162,157
full,0.0-4.0;0.5-2.5;1.0-3.0,8,within,1,0.0714285714285714,0.5357142857142857,56,56,162,157
full,0.0-4.0;0.5-2.5;1.0-3.0,8,within,2,0.2142857142857143,0.6071428571428571,56,62,162,157
full,0.0-4.0;0.5-2.5;1.0-3.0,8,within,3,0.1428571428571429,0.5714285714285714,56,82,162,157
full,0.0-4.0;0.5-2.5;1.0-3.0,8,within,42,0.0,0.5,56,48,162,157
full,0.0-4.0;0.5-2.5;1.0-3.0,8,official,0,0.06666666666666665,0.5333333333333333,120,90,162,112
full,0.0-4.0;0.5-2.5;1.0-3.0,8,official,1,0.18333333333333335,0.5916666666666667,120,78,162,112
full,0.0-4.0;0.5-2.5;1.0-3.0,8,official,2,0.08333333333333337,0.5416666666666666,120,68,162,112
full,0.0-4.0;0.5-2.5;1.0-3.0,8,official,3,-0.06666666666666665,0.4666666666666667,120,54,162,112
full,0.0-4.0;0.5-2.5;1.0-3.0,8,official,42,-0.050000000000000044,0.475,120,64,162,112
full,0.0-4.0;0.5-2.5;1.0-3.0,9,within,0,0.08333333333333337,0.5416666666666666,48,62,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,9,within,1,0.125,0.5625,48,80,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,9,within,2,0.16666666666666663,0.5833333333333334,48,74,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,9,within,3,0.0,0.5,48,62,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,9,within,42,0.25,0.625,48,94,162,134
full,0.0-4.0;0.5-2.5;1.0-3.0,9,official,0,0.1166666666666667,0.5583333333333333,120,52,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,9,official,1,0.033333333333333326,0.5166666666666667,120,44,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,9,official,2,0.033333333333333326,0.5166666666666667,120,96,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,9,official,3,0.08333333333333337,0.5416666666666666,120,56,162,84
full,0.0-4.0;0.5-2.5;1.0-3.0,9,official,42,-0.016666666666666607,0.49166666666666664,120,52,162,84
0_4,0.0-4.0,1,within,0,0.08333333333333337,0.5416666666666666,48,28,54,134
0_4,0.0-4.0,1,within,1,0.33333333333333337,0.6666666666666666,48,22,54,134
0_4,0.0-4.0,1,within,2,0.20833333333333337,0.6041666666666666,48,22,54,134
0_4,0.0-4.0,1,within,3,0.08333333333333337,0.5416666666666666,48,26,54,134
0_4,0.0-4.0,1,within,42,0.04166666666666663,0.5208333333333334,48,20,54,134
0_4,0.0-4.0,1,official,0,0.23333333333333328,0.6166666666666667,120,22,54,84
0_4,0.0-4.0,1,official,1,0.08333333333333337,0.5416666666666666,120,16,54,84
0_4,0.0-4.0,1,official,2,0.01666666666666672,0.5083333333333333,120,32,54,84
0_4,0.0-4.0,1,official,3,0.2666666666666667,0.6333333333333333,120,38,54,84
0_4,0.0-4.0,1,official,42,-0.03333333333333344,0.48333333333333334,120,22,54,84
0_4,0.0-4.0,2,within,0,0.08333333333333337,0.5416666666666666,48,20,54,134
0_4,0.0-4.0,2,within,1,0.20833333333333337,0.6041666666666666,48,26,54,134
0_4,0.0-4.0,2,within,2,0.16666666666666663,0.5833333333333334,48,20,54,134
0_4,0.0-4.0,2,within,3,0.16666666666666663,0.5833333333333334,48,24,54,134
0_4,0.0-4.0,2,within,42,-0.25,0.375,48,30,54,134
0_4,0.0-4.0,2,official,0,0.06666666666666665,0.5333333333333333,120,36,54,84
0_4,0.0-4.0,2,official,1,0.0,0.5,120,20,54,84
0_4,0.0-4.0,2,official,2,0.01666666666666672,0.5083333333333333,120,18,54,84
0_4,0.0-4.0,2,official,3,-0.016666666666666607,0.49166666666666664,120,20,54,84
0_4,0.0-4.0,2,official,42,0.08333333333333337,0.5416666666666666,120,24,54,84
0_4,0.0-4.0,3,within,0,0.0,0.5,48,6,54,134
0_4,0.0-4.0,3,within,1,0.125,0.5625,48,26,54,134
0_4,0.0-4.0,3,within,2,0.08333333333333337,0.5416666666666666,48,22,54,134
0_4,0.0-4.0,3,within,3,0.04166666666666663,0.5208333333333334,48,10,54,134
0_4,0.0-4.0,3,within,42,0.08333333333333337,0.5416666666666666,48,20,54,134
0_4,0.0-4.0,3,official,0,0.033333333333333326,0.5166666666666667,120,4,54,84
0_4,0.0-4.0,3,official,1,0.1333333333333333,0.5666666666666667,120,24,54,84
0_4,0.0-4.0,3,official,2,0.06666666666666665,0.5333333333333333,120,2,54,84
0_4,0.0-4.0,3,official,3,-0.03333333333333344,0.48333333333333334,120,16,54,84
0_4,0.0-4.0,3,official,42,0.23333333333333328,0.6166666666666667,120,20,54,84
0_4,0.0-4.0,4,within,0,0.5769230769230769,0.7884615384615384,52,24,54,146
0_4,0.0-4.0,4,within,1,0.5384615384615384,0.7692307692307693,52,24,54,146
0_4,0.0-4.0,4,within,2,0.2692307692307693,0.6346153846153846,52,28,54,146
0_4,0.0-4.0,4,within,3,0.3846153846153846,0.6923076923076923,52,20,54,146
0_4,0.0-4.0,4,within,42,0.46153846153846156,0.7307692307692307,52,20,54,146
0_4,0.0-4.0,4,official,0,0.1428571428571429,0.5714285714285714,140,34,54,84
0_4,0.0-4.0,4,official,1,0.5,0.75,140,30,54,84
0_4,0.0-4.0,4,official,2,0.5571428571428572,0.7785714285714286,140,32,54,84
0_4,0.0-4.0,4,official,3,0.3857142857142857,0.6928571428571428,140,22,54,84
0_4,0.0-4.0,4,official,42,0.5857142857142856,0.7928571428571428,140,24,54,84
0_4,0.0-4.0,5,within,0,0.5384615384615384,0.7692307692307693,52,34,54,146
0_4,0.0-4.0,5,within,1,0.42307692307692313,0.7115384615384616,52,28,54,146
0_4,0.0-4.0,5,within,2,-0.07692307692307687,0.46153846153846156,52,26,54,146
0_4,0.0-4.0,5,within,3,0.46153846153846156,0.7307692307692307,52,42,54,146
0_4,0.0-4.0,5,within,42,0.2692307692307693,0.6346153846153846,52,18,54,146
0_4,0.0-4.0,5,official,0,0.18571428571428572,0.5928571428571429,140,38,54,84
0_4,0.0-4.0,5,official,1,0.0714285714285714,0.5357142857142857,140,20,54,84
0_4,0.0-4.0,5,official,2,0.1428571428571429,0.5714285714285714,140,10,54,84
0_4,0.0-4.0,5,official,3,0.15714285714285714,0.5785714285714286,140,20,54,84
0_4,0.0-4.0,5,official,42,0.34285714285714286,0.6714285714285714,140,16,54,84
0_4,0.0-4.0,6,within,0,0.5,0.75,48,34,54,134
0_4,0.0-4.0,6,within,1,0.125,0.5625,48,36,54,134
0_4,0.0-4.0,6,within,2,0.41666666666666663,0.7083333333333334,48,32,54,134
0_4,0.0-4.0,6,within,3,-0.04166666666666674,0.4791666666666667,48,26,54,134
0_4,0.0-4.0,6,within,42,0.08333333333333337,0.5416666666666666,48,18,54,134
0_4,0.0-4.0,6,official,0,0.06666666666666665,0.5333333333333333,120,30,54,84
0_4,0.0-4.0,6,official,1,0.09999999999999998,0.55,120,20,54,84
0_4,0.0-4.0,6,official,2,0.4,0.7,120,20,54,84
0_4,0.0-4.0,6,official,3,0.21666666666666667,0.6083333333333333,120,26,54,84
0_4,0.0-4.0,6,official,42,0.09999999999999998,0.55,120,28,54,84
0_4,0.0-4.0,7,within,0,0.0,0.5,48,26,54,134
0_4,0.0-4.0,7,within,1,0.20833333333333337,0.6041666666666666,48,24,54,134
0_4,0.0-4.0,7,within,2,0.29166666666666663,0.6458333333333334,48,20,54,134
0_4,0.0-4.0,7,within,3,0.45833333333333337,0.7291666666666666,48,14,54,134
0_4,0.0-4.0,7,within,42,-0.16666666666666674,0.4166666666666667,48,38,54,134
0_4,0.0-4.0,7,official,0,0.050000000000000044,0.525,120,38,54,84
0_4,0.0-4.0,7,official,1,0.30000000000000004,0.65,120,28,54,84
0_4,0.0-4.0,7,official,2,0.2666666666666667,0.6333333333333333,120,14,54,84
0_4,0.0-4.0,7,official,3,0.23333333333333328,0.6166666666666667,120,28,54,84
0_4,0.0-4.0,7,official,42,-0.08333333333333326,0.4583333333333333,120,6,54,84
0_4,0.0-4.0,8,within,0,-0.2142857142857142,0.39285714285714285,56,18,54,157
0_4,0.0-4.0,8,within,1,0.0357142857142857,0.5178571428571429,56,16,54,157
0_4,0.0-4.0,8,within,2,0.2142857142857143,0.6071428571428571,56,22,54,157
0_4,0.0-4.0,8,within,3,0.2142857142857143,0.6071428571428571,56,20,54,157
