dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,window_size,discount_gamma,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.0417,0.5208,48,76,134,69.0,149.0
BCI-IV-2b,1,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.3333,0.6667,48,64,134,59.0,172.0
BCI-IV-2b,1,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,-0.0833,0.4583,48,92,134,68.0,255.0
BCI-IV-2b,1,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.0833,0.5417,48,72,134,65.0,159.0
BCI-IV-2b,1,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.2083,0.6042,48,76,134,68.0,195.0
BCI-IV-2b,1,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,-0.0417,0.4792,48,76,134,67.0,144.0
BCI-IV-2b,1,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.125,0.5625,48,64,134,60.0,167.0
BCI-IV-2b,1,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.4167,0.7083,48,92,134,65.0,211.0
BCI-IV-2b,1,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,-0.2083,0.3958,48,72,134,67.0,161.0
BCI-IV-2b,1,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.0833,0.5417,48,76,134,70.0,201.0
BCI-IV-2b,1,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.0,0.5,48,76,134,65.0,159.0
BCI-IV-2b,1,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,-0.0833,0.4583,48,64,134,60.0,198.0
BCI-IV-2b,1,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,-0.0833,0.4583,48,92,134,58.0,246.0
BCI-IV-2b,1,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,-0.0417,0.4792,48,72,134,66.0,213.0
BCI-IV-2b,1,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.25,0.625,48,76,134,65.0,157.0
BCI-IV-2b,1,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.0417,0.5208,48,76,134,75.0,171.0
BCI-IV-2b,1,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.3333,0.6667,48,64,134,63.0,174.0
BCI-IV-2b,1,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,-0.125,0.4375,48,92,134,61.0,237.0
BCI-IV-2b,1,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.1667,0.5833,48,72,134,62.0,190.0
BCI-IV-2b,1,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.0,0.5,48,76,134,69.0,158.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.0,0.5,120,68,84,45.0,370.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.1667,0.5833,120,60,84,42.0,398.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,-0.0667,0.4667,120,88,84,49.0,435.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,-0.0333,0.4833,120,90,84,42.0,360.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,-0.0333,0.4833,120,52,84,36.0,376.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.0833,0.5417,120,68,84,45.0,372.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.0167,0.5083,120,60,84,49.0,401.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.2,0.6,120,88,84,40.0,404.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.1333,0.5667,120,90,84,44.0,360.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,-0.1167,0.4417,120,52,84,37.0,383.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,-0.0333,0.4833,120,68,84,43.0,398.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.0333,0.5167,120,60,84,44.0,379.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,-0.0167,0.4917,120,88,84,38.0,364.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.0833,0.5417,120,90,84,50.0,387.0
