dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,n_components,include_riemann_arms,epoch_seconds,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
STEW,1,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,31,0.0
STEW,1,within,within_fold0,1,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,0.0
STEW,1,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,0.0
STEW,1,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,0.0
STEW,1,within,within_fold0,42,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,33,0.0
STEW,2,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,41,1.0
STEW,2,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,100,41,4.0
STEW,2,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,21,2.0
STEW,2,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,41,0.0
STEW,2,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,100,41,2.0
STEW,3,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,56,41,7.0
STEW,3,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.4545454545454546,0.7333333333333333,15,66,41,9.0
STEW,3,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.4642857142857143,0.7333333333333333,15,78,41,14.0
STEW,3,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.5945945945945946,0.8,15,60,41,7.0
STEW,3,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.4545454545454546,0.7333333333333333,15,80,41,13.0
STEW,4,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.736842105263158,0.8666666666666667,15,88,41,8.0
STEW,4,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.15094339622641506,0.6,15,44,26,12.0
