dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
STEW,1,within,within_fold0,0,0.1,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,1,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,28,0.0
STEW,1,within,within_fold0,0,1.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,28,0.0
STEW,1,within,within_fold0,0,2.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,26,0.0
STEW,1,within,within_fold0,1,0.1,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,1,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,41,0.0
STEW,1,within,within_fold0,1,1.0,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,41,0.0
STEW,1,within,within_fold0,1,2.0,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,41,0.0
STEW,1,within,within_fold0,2,0.1,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,1,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,1,within,within_fold0,2,1.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,1,within,within_fold0,2,2.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,1,within,within_fold0,3,0.1,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,1,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.4444444444444444,0.7333333333333333,15,100,41,0.0
STEW,1,within,within_fold0,3,1.0,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,41,0.0
STEW,1,within,within_fold0,3,2.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,1,within,within_fold0,42,0.1,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,1,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,28,0.0
STEW,1,within,within_fold0,42,1.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,28,0.0
STEW,1,within,within_fold0,42,2.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,26,0.0
STEW,2,within,within_fold0,0,0.1,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,2,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,41,1.0
STEW,2,within,within_fold0,0,1.0,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,41,1.0
STEW,2,within,within_fold0,0,2.0,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,41,1.0
STEW,2,within,within_fold0,1,0.1,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,1.0
STEW,2,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,41,2.0
STEW,2,within,within_fold0,1,1.0,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,100,41,3.0
