dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
STEW,1,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,100,29,0.0
STEW,1,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,28,0.0
STEW,1,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,29,0.0
STEW,1,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,91,47,2.0
STEW,1,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,41,0.0
STEW,1,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,29,0.0
STEW,1,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,100,47,0.0
STEW,1,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,1,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,24,0.0
STEW,1,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,78,47,3.0
STEW,1,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.4444444444444444,0.7333333333333333,15,100,41,0.0
STEW,1,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,29,0.0
STEW,1,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,100,29,0.0
STEW,1,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,28,0.0
STEW,1,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,29,0.0
STEW,2,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,100,47,1.0
STEW,2,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,41,1.0
STEW,2,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,21,0.0
STEW,2,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,100,47,3.0
STEW,2,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,41,2.0
STEW,2,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,21,2.0
STEW,2,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,37,3.0
STEW,2,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,36,2.0
STEW,2,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,24,0.0
STEW,2,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,96,47,7.0
STEW,2,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,41,0.0
STEW,2,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,24,0.0
STEW,2,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,100,47,4.0
STEW,2,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,1.0
STEW,2,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,29,1.0
STEW,3,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.5945945945945946,0.8,15,44,47,8.0
STEW,3,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,56,41,7.0
STEW,3,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,66,24,5.0
STEW,3,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,53,47,9.0
