dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining,ts_prior_scale
BCI-IV-2b,1,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,ts,,-0.0417,0.4792,48,76,134,66.0,176.0,0.1
BCI-IV-2b,1,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,ts,,0.25,0.625,48,64,134,61.0,218.0,0.1
BCI-IV-2b,1,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,ts,,-0.0833,0.4583,48,92,134,59.0,169.0,0.1
BCI-IV-2b,1,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,ts,,0.1667,0.5833,48,72,134,63.0,144.0,0.1
BCI-IV-2b,1,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,ts,,0.2083,0.6042,48,76,134,68.0,177.0,0.1
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,ts,,0.0167,0.5083,120,68,84,38.0,424.0,0.1
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,ts,,0.05,0.525,120,60,84,43.0,383.0,0.1
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,ts,,0.0,0.5,120,88,84,40.0,363.0,0.1
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,ts,,0.0333,0.5167,120,90,84,49.0,408.0,0.1
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,ts,,-0.0333,0.4833,120,52,84,42.0,367.0,0.1
BCI-IV-2b,2,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,ts,,0.0,0.5,48,48,134,73.0,145.0,0.1
BCI-IV-2b,2,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,ts,,-0.3333,0.3333,48,78,134,65.0,169.0,0.1
BCI-IV-2b,2,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,ts,,0.1667,0.5833,48,54,134,66.0,203.0,0.1
BCI-IV-2b,2,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,ts,,0.0417,0.5208,48,78,134,66.0,173.0,0.1
BCI-IV-2b,2,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,ts,,-0.0833,0.4583,48,86,134,68.0,148.0,0.1
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,ts,,-0.0667,0.4667,120,94,84,44.0,408.0,0.1
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,ts,,0.0167,0.5083,120,62,84,38.0,374.0,0.1
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,ts,,0.0667,0.5333,120,58,84,38.0,397.0,0.1
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,ts,,0.05,0.525,120,56,84,45.0,384.0,0.1
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,ts,,0.0667,0.5333,120,60,84,41.0,364.0,0.1
BCI-IV-2b,3,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,ts,,0.0417,0.5208,48,46,134,73.0,146.0,0.1
BCI-IV-2b,3,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,ts,,0.0,0.5,48,86,134,69.0,168.0,0.1
BCI-IV-2b,3,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,ts,,0.0833,0.5417,48,84,134,63.0,149.0,0.1
BCI-IV-2b,3,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,ts,,0.25,0.625,48,42,134,76.0,251.0,0.1
BCI-IV-2b,3,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,ts,,-0.0417,0.4792,48,76,134,80.0,162.0,0.1
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,ts,,0.0167,0.5083,120,16,84,25.0,360.0,0.1
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,ts,,-0.0333,0.4833,120,96,84,41.0,380.0,0.1
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,ts,,0.0667,0.5333,120,18,84,31.0,360.0,0.1
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,ts,,0.0333,0.5167,120,52,84,40.0,362.0,0.1
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,ts,,0.0,0.5,120,64,84,44.0,431.0,0.1
BCI-IV-2b,4,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,ts,,0.1538,0.5769,52,84,146,68.0,187.0,0.1
BCI-IV-2b,4,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,ts,,0.6154,0.8077,52,82,146,36.0,178.0,0.1
BCI-IV-2b,4,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,ts,,0.5385,0.7692,52,90,146,50.0,206.0,0.1
BCI-IV-2b,4,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,ts,,0.3462,0.6731,52,70,146,52.0,162.0,0.1
BCI-IV-2b,4,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,ts,,0.6154,0.8077,52,86,146,33.0,184.0,0.1
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,ts,,0.1714,0.5857,140,86,84,42.0,425.0,0.1
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,ts,,0.1143,0.5571,140,84,84,44.0,423.0,0.1
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,ts,,0.4,0.7,140,100,84,40.0,432.0,0.1
