dataset,subject,protocol,fold_name,budget_frac,alpha,arm_pool,calibration_frac,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,1.0,0.5,full,0.2,0.0,0.5,48,94,154,81.0,187.0
BCI-IV-2b,1,within,within_fold1,1.0,0.5,full,0.2,0.0,0.5,48,96,154,70.0,146.0
BCI-IV-2b,1,within,within_fold2,1.0,0.5,full,0.2,0.0417,0.5208,48,132,154,72.0,156.0
BCI-IV-2b,1,within,within_fold3,1.0,0.5,full,0.2,-0.0833,0.4583,48,104,154,76.0,219.0
BCI-IV-2b,1,within,within_fold4,1.0,0.5,full,0.2,-0.0833,0.4583,48,90,154,69.0,152.0
BCI-IV-2b,1,official,official[0→1],1.0,0.5,full,0.2,0.0333,0.5167,120,90,96,52.0,370.0
BCI-IV-2b,2,within,within_fold0,1.0,0.5,full,0.2,-0.25,0.375,48,56,154,67.0,173.0
BCI-IV-2b,2,within,within_fold1,1.0,0.5,full,0.2,0.1667,0.5833,48,80,154,72.0,149.0
BCI-IV-2b,2,within,within_fold2,1.0,0.5,full,0.2,-0.0833,0.4583,48,94,154,74.0,173.0
BCI-IV-2b,2,within,within_fold3,1.0,0.5,full,0.2,-0.2083,0.3958,48,110,154,78.0,174.0
BCI-IV-2b,2,within,within_fold4,1.0,0.5,full,0.2,-0.1667,0.4167,48,72,154,85.0,182.0
BCI-IV-2b,2,official,official[0→1],1.0,0.5,full,0.2,-0.05,0.475,120,118,96,46.0,365.0
BCI-IV-2b,3,within,within_fold0,1.0,0.5,full,0.2,-0.125,0.4375,48,82,154,81.0,205.0
BCI-IV-2b,3,within,within_fold1,1.0,0.5,full,0.2,-0.0417,0.4792,48,114,154,73.0,146.0
BCI-IV-2b,3,within,within_fold2,1.0,0.5,full,0.2,0.0417,0.5208,48,78,154,69.0,178.0
BCI-IV-2b,3,within,within_fold3,1.0,0.5,full,0.2,0.25,0.625,48,104,154,75.0,197.0
BCI-IV-2b,3,within,within_fold4,1.0,0.5,full,0.2,0.0,0.5,48,120,154,74.0,217.0
BCI-IV-2b,3,official,official[0→1],1.0,0.5,full,0.2,0.1,0.55,120,62,96,45.0,391.0
BCI-IV-2b,4,within,within_fold0,1.0,0.5,full,0.2,0.4615,0.7308,52,78,166,36.0,162.0
BCI-IV-2b,4,within,within_fold1,1.0,0.5,full,0.2,0.8462,0.9231,52,102,166,45.0,159.0
BCI-IV-2b,4,within,within_fold2,1.0,0.5,full,0.2,0.6923,0.8462,52,104,166,35.0,156.0
BCI-IV-2b,4,within,within_fold3,1.0,0.5,full,0.2,0.5385,0.7692,52,84,166,44.0,159.0
BCI-IV-2b,4,within,within_fold4,1.0,0.5,full,0.2,0.0769,0.5385,52,106,166,51.0,162.0
BCI-IV-2b,4,official,official[0→1],1.0,0.5,full,0.2,0.0429,0.5214,140,146,96,34.0,453.0
BCI-IV-2b,5,within,within_fold0,1.0,0.5,full,0.2,0.0769,0.5385,52,92,166,65.0,197.0
BCI-IV-2b,5,within,within_fold1,1.0,0.5,full,0.2,0.0769,0.5385,52,84,166,64.0,170.0
BCI-IV-2b,5,within,within_fold2,1.0,0.5,full,0.2,0.5385,0.7692,52,82,166,64.0,163.0
BCI-IV-2b,5,within,within_fold3,1.0,0.5,full,0.2,-0.0385,0.4808,52,90,166,69.0,210.0
BCI-IV-2b,5,within,within_fold4,1.0,0.5,full,0.2,0.1154,0.5577,52,116,166,63.0,164.0
BCI-IV-2b,5,official,official[0→1],1.0,0.5,full,0.2,0.2857,0.6429,140,110,96,31.0,427.0
BCI-IV-2b,6,within,within_fold0,1.0,0.5,full,0.2,0.25,0.625,48,96,154,84.0,171.0
BCI-IV-2b,6,within,within_fold1,1.0,0.5,full,0.2,0.1667,0.5833,48,88,154,65.0,150.0
BCI-IV-2b,6,within,within_fold2,1.0,0.5,full,0.2,0.25,0.625,48,82,154,82.0,146.0
BCI-IV-2b,6,within,within_fold3,1.0,0.5,full,0.2,0.0417,0.5208,48,94,154,73.0,211.0
BCI-IV-2b,6,within,within_fold4,1.0,0.5,full,0.2,-0.0833,0.4583,48,128,154,77.0,168.0
BCI-IV-2b,6,official,official[0→1],1.0,0.5,full,0.2,0.1667,0.5833,120,86,96,38.0,380.0
BCI-IV-2b,7,within,within_fold0,1.0,0.5,full,0.2,0.0833,0.5417,48,148,154,61.0,173.0
BCI-IV-2b,7,within,within_fold1,1.0,0.5,full,0.2,-0.0417,0.4792,48,72,154,62.0,263.0
BCI-IV-2b,7,within,within_fold2,1.0,0.5,full,0.2,-0.0833,0.4583,48,104,154,71.0,227.0
BCI-IV-2b,7,within,within_fold3,1.0,0.5,full,0.2,-0.1667,0.4167,48,106,154,74.0,158.0
BCI-IV-2b,7,within,within_fold4,1.0,0.5,full,0.2,0.0833,0.5417,48,90,154,73.0,171.0
BCI-IV-2b,7,official,official[0→1],1.0,0.5,full,0.2,0.15,0.575,120,60,96,44.0,402.0
BCI-IV-2b,8,within,within_fold0,1.0,0.5,full,0.2,0.0714,0.5357,56,126,179,89.0,232.0
BCI-IV-2b,8,within,within_fold1,1.0,0.5,full,0.2,0.25,0.625,56,102,179,76.0,346.0
BCI-IV-2b,8,within,within_fold2,1.0,0.5,full,0.2,0.0714,0.5357,56,130,179,83.0,208.0
BCI-IV-2b,8,within,within_fold3,1.0,0.5,full,0.2,0.2857,0.6429,56,94,179,80.0,216.0
BCI-IV-2b,8,within,within_fold4,1.0,0.5,full,0.2,0.1786,0.5893,56,96,179,71.0,168.0
BCI-IV-2b,8,official,official[0→1],1.0,0.5,full,0.2,-0.0167,0.4917,120,106,128,64.0,431.0
BCI-IV-2b,9,within,within_fold0,1.0,0.5,full,0.2,0.2083,0.6042,48,92,154,80.0,204.0
BCI-IV-2b,9,within,within_fold1,1.0,0.5,full,0.2,0.0417,0.5208,48,80,154,77.0,154.0
BCI-IV-2b,9,within,within_fold2,1.0,0.5,full,0.2,0.0833,0.5417,48,118,154,77.0,235.0
BCI-IV-2b,9,within,within_fold3,1.0,0.5,full,0.2,0.0833,0.5417,48,76,154,77.0,195.0
BCI-IV-2b,9,within,within_fold4,1.0,0.5,full,0.2,0.0,0.5,48,144,154,70.0,196.0
BCI-IV-2b,9,official,official[0→1],1.0,0.5,full,0.2,0.0167,0.5083,120,86,96,45.0,395.0
