dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
WAUC,1,within,within_fold0,0,0.1,0.3,50,inf,4,False,4.0,workload,0.25492772667542707,0.631578947368421,171,100,477,169.0,
WAUC,1,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.25492772667542707,0.631578947368421,171,100,477,157.0,
WAUC,1,within,within_fold0,0,1.0,0.3,50,inf,4,False,4.0,workload,0.25492772667542707,0.631578947368421,171,100,477,174.0,
WAUC,1,within,within_fold0,0,2.0,0.3,50,inf,4,False,4.0,workload,0.2978373939228032,0.6491228070175439,171,100,477,159.0,
WAUC,1,within,within_fold0,1,0.1,0.3,50,inf,4,False,4.0,workload,0.39399624765478425,0.7017543859649122,171,90,477,124.0,
WAUC,1,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.39399624765478425,0.7017543859649122,171,90,477,148.0,
WAUC,1,within,within_fold0,1,1.0,0.3,50,inf,4,False,4.0,workload,0.3227016885553471,0.6666666666666666,171,90,477,169.0,
WAUC,1,within,within_fold0,1,2.0,0.3,50,inf,4,False,4.0,workload,0.2133676092544987,0.6023391812865497,171,90,477,163.0,
WAUC,1,within,within_fold0,2,0.1,0.3,50,inf,4,False,4.0,workload,0.31066917495296964,0.6491228070175439,171,98,477,171.0,
WAUC,1,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.3227016885553471,0.6666666666666666,171,98,477,159.0,
WAUC,1,within,within_fold0,2,1.0,0.3,50,inf,4,False,4.0,workload,0.31066917495296964,0.6491228070175439,171,98,444,148.0,
WAUC,1,within,within_fold0,2,2.0,0.3,50,inf,4,False,4.0,workload,0.31066917495296964,0.6491228070175439,171,98,443,149.0,
WAUC,1,within,within_fold0,3,0.1,0.3,50,inf,4,False,4.0,workload,0.30293928341557597,0.6666666666666666,171,100,477,180.0,
WAUC,1,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.297225891677675,0.672514619883041,171,100,477,160.0,
WAUC,1,within,within_fold0,3,1.0,0.3,50,inf,4,False,4.0,workload,0.3193062268979243,0.672514619883041,171,100,477,178.0,
WAUC,1,within,within_fold0,3,2.0,0.3,50,inf,4,False,4.0,workload,0.3193062268979243,0.672514619883041,171,100,477,181.0,
WAUC,1,within,within_fold0,42,0.1,0.3,50,inf,4,False,4.0,workload,0.2599538372763993,0.6491228070175439,171,100,477,154.0,
WAUC,1,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.26999790048288896,0.6432748538011696,171,100,477,162.0,
WAUC,1,within,within_fold0,42,1.0,0.3,50,inf,4,False,4.0,workload,0.26999790048288896,0.6432748538011696,171,100,477,170.0,
WAUC,1,within,within_fold0,42,2.0,0.3,50,inf,4,False,4.0,workload,0.26999790048288896,0.6432748538011696,171,100,477,154.0,
WAUC,2,within,within_fold0,0,0.1,0.3,50,inf,4,False,4.0,workload,0.86775956284153,0.9338842975206612,121,100,337,27.0,
WAUC,2,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.7189506763219019,0.859504132231405,121,100,337,54.0,
WAUC,2,within,within_fold0,0,1.0,0.3,50,inf,4,False,4.0,workload,0.86775956284153,0.9338842975206612,121,100,337,63.0,
WAUC,2,within,within_fold0,0,2.0,0.3,50,inf,4,False,4.0,workload,0.7189506763219019,0.859504132231405,121,100,337,59.0,
WAUC,2,within,within_fold0,1,0.1,0.3,50,inf,4,False,4.0,workload,0.834609075997813,0.9173553719008265,121,100,337,26.0,
