dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
WAUC,1,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.2686850858733284,0.631578947368421,171,100,545,186.0,
WAUC,1,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.25492772667542707,0.631578947368421,171,100,477,157.0,
WAUC,1,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,0.29190143235354016,0.6432748538011696,171,100,341,113.0,
WAUC,1,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,0.2784810126582278,0.6549707602339181,171,88,545,171.0,
WAUC,1,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.39399624765478425,0.7017543859649122,171,90,477,148.0,
WAUC,1,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,0.4245587528329099,0.7134502923976608,171,100,341,112.0,
WAUC,1,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,0.2945544554455446,0.6491228070175439,171,100,484,160.0,
WAUC,1,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.3227016885553471,0.6666666666666666,171,98,477,159.0,
WAUC,1,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,0.47901952638138756,0.7426900584795322,171,100,337,110.0,
WAUC,1,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,0.26416745678652187,0.6549707602339181,171,100,545,195.0,
WAUC,1,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.297225891677675,0.672514619883041,171,100,477,160.0,
WAUC,1,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,0.23528563185227935,0.6374269005847953,171,100,341,132.0,
WAUC,1,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,0.28018610146961087,0.6666666666666666,171,100,545,200.0,
WAUC,1,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.26999790048288896,0.6432748538011696,171,100,477,162.0,
WAUC,1,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,0.2027972027972027,0.6257309941520468,171,100,341,105.0,
WAUC,2,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.6530110610405571,0.8264462809917356,121,100,385,55.0,
WAUC,2,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.7189506763219019,0.859504132231405,121,100,337,54.0,
WAUC,2,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,0.7521507578861122,0.8760330578512396,121,100,241,37.0,
WAUC,2,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,0.6696696696696697,0.8347107438016529,121,100,385,52.0,
WAUC,2,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.7684527063969382,0.8842975206611571,121,100,337,51.0,
WAUC,2,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,0.7191808873720136,0.859504132231405,121,100,241,33.0,
WAUC,2,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,0.3548872180451128,0.6776859504132231,121,100,385,49.0,
WAUC,2,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.8017476788640088,0.9008264462809917,121,100,337,45.0,
WAUC,2,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,0.8181445552671129,0.9090909090909091,121,100,241,33.0,
WAUC,2,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,0.4855301056096558,0.743801652892562,121,100,385,63.0,
WAUC,2,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.7519475194751948,0.8760330578512396,121,100,337,47.0,
WAUC,2,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,0.7190274552656741,0.859504132231405,121,100,241,32.0,
WAUC,2,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,0.6027359781121752,0.8016528925619835,121,100,385,56.0,
WAUC,2,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.5036915504511894,0.7520661157024794,121,100,337,47.0,
WAUC,2,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,0.9173384342123241,0.9586776859504132,121,100,241,31.0,
WAUC,3,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.006989515726410489,0.5751633986928104,153,54,487,148.0,
WAUC,3,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.13794443365067022,0.6209150326797386,153,64,426,141.0,
WAUC,3,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,0.17265353418308227,0.6339869281045751,153,92,305,92.0,
WAUC,3,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,0.07849232562657849,0.5947712418300654,153,72,487,124.0,
WAUC,3,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.28657470371089955,0.6862745098039216,153,72,426,141.0,
WAUC,3,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,0.22852250023784604,0.6535947712418301,153,78,305,95.0,
