dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
WAUC,1,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.25492772667542707,0.631578947368421,171,100,477,157.0,
WAUC,1,within,within_fold0,0,0.5,0.3,50,4.0,4,False,4.0,workload,0.3242980935875216,0.6666666666666666,171,100,477,167.0,
WAUC,1,within,within_fold0,0,0.5,0.3,50,3.0,4,False,4.0,workload,0.3400413507925568,0.672514619883041,171,100,0,0.0,
WAUC,1,within,within_fold0,0,0.5,0.3,50,2.0,4,False,4.0,workload,0.3400413507925568,0.672514619883041,171,100,0,0.0,
WAUC,1,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.39399624765478425,0.7017543859649122,171,90,477,148.0,
WAUC,1,within,within_fold0,1,0.5,0.3,50,4.0,4,False,4.0,workload,0.2945544554455446,0.6491228070175439,171,90,477,148.0,
WAUC,1,within,within_fold0,1,0.5,0.3,50,3.0,4,False,4.0,workload,0.39399624765478425,0.7017543859649122,171,90,0,0.0,
WAUC,1,within,within_fold0,1,0.5,0.3,50,2.0,4,False,4.0,workload,0.39399624765478425,0.7017543859649122,171,90,0,0.0,
WAUC,1,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.3227016885553471,0.6666666666666666,171,98,477,159.0,
WAUC,1,within,within_fold0,2,0.5,0.3,50,4.0,4,False,4.0,workload,0.13399945250479062,0.5672514619883041,171,98,477,171.0,
WAUC,1,within,within_fold0,2,0.5,0.3,50,3.0,4,False,4.0,workload,0.31066917495296964,0.6491228070175439,171,98,0,0.0,
WAUC,1,within,within_fold0,2,0.5,0.3,50,2.0,4,False,4.0,workload,0.31066917495296964,0.6491228070175439,171,98,0,0.0,
WAUC,1,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.297225891677675,0.672514619883041,171,100,477,160.0,
WAUC,1,within,within_fold0,3,0.5,0.3,50,4.0,4,False,4.0,workload,0.3388228555062295,0.6842105263157895,171,100,477,156.0,
WAUC,1,within,within_fold0,3,0.5,0.3,50,3.0,4,False,4.0,workload,0.30293928341557597,0.6666666666666666,171,100,0,0.0,
WAUC,1,within,within_fold0,3,0.5,0.3,50,2.0,4,False,4.0,workload,0.30293928341557597,0.6666666666666666,171,100,0,0.0,
WAUC,1,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.26999790048288896,0.6432748538011696,171,100,477,162.0,
WAUC,1,within,within_fold0,42,0.5,0.3,50,4.0,4,False,4.0,workload,0.26999790048288896,0.6432748538011696,171,100,477,151.0,
WAUC,1,within,within_fold0,42,0.5,0.3,50,3.0,4,False,4.0,workload,0.2599538372763993,0.6491228070175439,171,100,0,0.0,
WAUC,1,within,within_fold0,42,0.5,0.3,50,2.0,4,False,4.0,workload,0.2599538372763993,0.6491228070175439,171,100,0,0.0,
WAUC,2,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.7189506763219019,0.859504132231405,121,100,337,54.0,
WAUC,2,within,within_fold0,0,0.5,0.3,50,4.0,4,False,4.0,workload,0.4701696770662288,0.7355371900826446,121,100,337,81.0,
WAUC,2,within,within_fold0,0,0.5,0.3,50,3.0,4,False,4.0,workload,0.8512091815821834,0.9256198347107438,121,100,0,0.0,
WAUC,2,within,within_fold0,0,0.5,0.3,50,2.0,4,False,4.0,workload,0.8512091815821834,0.9256198347107438,121,100,0,0.0,
WAUC,2,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.7684527063969382,0.8842975206611571,121,100,337,51.0,
WAUC,2,within,within_fold0,1,0.5,0.3,50,4.0,4,False,4.0,workload,0.619964495425372,0.8099173553719008,121,100,337,58.0,
WAUC,2,within,within_fold0,1,0.5,0.3,50,3.0,4,False,4.0,workload,0.834609075997813,0.9173553719008265,121,100,0,0.0,
WAUC,2,within,within_fold0,1,0.5,0.3,50,2.0,4,False,4.0,workload,0.834609075997813,0.9173553719008265,121,100,0,0.0,
WAUC,2,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.8017476788640088,0.9008264462809917,121,100,337,45.0,
WAUC,2,within,within_fold0,2,0.5,0.3,50,4.0,4,False,4.0,workload,0.8017476788640088,0.9008264462809917,121,100,337,56.0,
WAUC,2,within,within_fold0,2,0.5,0.3,50,3.0,4,False,4.0,workload,0.8842421757550909,0.9421487603305785,121,100,0,0.0,
WAUC,2,within,within_fold0,2,0.5,0.3,50,2.0,4,False,4.0,workload,0.8842421757550909,0.9421487603305785,121,100,0,0.0,
WAUC,2,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.7519475194751948,0.8760330578512396,121,100,337,47.0,
WAUC,2,within,within_fold0,3,0.5,0.3,50,4.0,4,False,4.0,workload,0.4365927143248425,0.71900826446281,121,100,337,61.0,
