dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
WAUC,1,within,within_fold0,0,0.5,0.3,inf,inf,4,False,4.0,workload,0.3400413507925568,0.672514619883041,171,100,477,178.0,
WAUC,1,within,within_fold0,0,0.5,0.3,25,inf,4,False,4.0,workload,0.3400413507925568,0.672514619883041,171,100,477,159.0,
WAUC,1,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.25492772667542707,0.631578947368421,171,100,477,157.0,
WAUC,1,within,within_fold0,0,0.5,0.3,100,inf,4,False,4.0,workload,0.18271200327734538,0.5906432748538012,171,100,477,170.0,
WAUC,1,within,within_fold0,1,0.5,0.3,inf,inf,4,False,4.0,workload,0.3227016885553471,0.6666666666666666,171,90,477,162.0,
WAUC,1,within,within_fold0,1,0.5,0.3,25,inf,4,False,4.0,workload,0.39399624765478425,0.7017543859649122,171,90,477,138.0,
WAUC,1,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.39399624765478425,0.7017543859649122,171,90,477,148.0,
WAUC,1,within,within_fold0,1,0.5,0.3,100,inf,4,False,4.0,workload,0.29026331904470304,0.6432748538011696,171,90,477,162.0,
WAUC,1,within,within_fold0,2,0.5,0.3,inf,inf,4,False,4.0,workload,0.19294836202109933,0.6023391812865497,171,98,477,165.0,
WAUC,1,within,within_fold0,2,0.5,0.3,25,inf,4,False,4.0,workload,0.31066917495296964,0.6491228070175439,171,98,477,170.0,
WAUC,1,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.3227016885553471,0.6666666666666666,171,98,477,159.0,
WAUC,1,within,within_fold0,2,0.5,0.3,100,inf,4,False,4.0,workload,0.31066917495296964,0.6491228070175439,171,98,475,151.0,
WAUC,1,within,within_fold0,3,0.5,0.3,inf,inf,4,False,4.0,workload,0.19385714285714284,0.6140350877192983,171,100,477,185.0,
WAUC,1,within,within_fold0,3,0.5,0.3,25,inf,4,False,4.0,workload,0.33720930232558144,0.6842105263157895,171,100,477,169.0,
WAUC,1,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.297225891677675,0.672514619883041,171,100,477,160.0,
WAUC,1,within,within_fold0,3,0.5,0.3,100,inf,4,False,4.0,workload,0.30759219088937095,0.672514619883041,171,100,477,173.0,
WAUC,1,within,within_fold0,42,0.5,0.3,inf,inf,4,False,4.0,workload,0.34519926251595523,0.6842105263157895,171,100,477,167.0,
WAUC,1,within,within_fold0,42,0.5,0.3,25,inf,4,False,4.0,workload,0.26999790048288896,0.6432748538011696,171,100,477,172.0,
WAUC,1,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.26999790048288896,0.6432748538011696,171,100,477,162.0,
WAUC,1,within,within_fold0,42,0.5,0.3,100,inf,4,False,4.0,workload,0.26999790048288896,0.6432748538011696,171,100,477,162.0,
WAUC,2,within,within_fold0,0,0.5,0.3,inf,inf,4,False,4.0,workload,0.7024590163934425,0.8512396694214877,121,100,337,66.0,
WAUC,2,within,within_fold0,0,0.5,0.3,25,inf,4,False,4.0,workload,0.6855423334701136,0.8429752066115702,121,100,337,38.0,
WAUC,2,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.7189506763219019,0.859504132231405,121,100,337,54.0,
WAUC,2,within,within_fold0,0,0.5,0.3,100,inf,4,False,4.0,workload,0.6355421686746987,0.8181818181818182,121,100,337,59.0,
WAUC,2,within,within_fold0,1,0.5,0.3,inf,inf,4,False,4.0,workload,0.42057737036530307,0.7107438016528925,121,100,337,65.0,
WAUC,2,within,within_fold0,1,0.5,0.3,25,inf,4,False,4.0,workload,0.6862290159683363,0.8429752066115702,121,100,337,29.0,
WAUC,2,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.7684527063969382,0.8842975206611571,121,100,337,51.0,
WAUC,2,within,within_fold0,1,0.5,0.3,100,inf,4,False,4.0,workload,0.834609075997813,0.9173553719008265,121,100,337,54.0,
WAUC,2,within,within_fold0,2,0.5,0.3,inf,inf,4,False,4.0,workload,0.8842421757550909,0.9421487603305785,121,100,337,54.0,
WAUC,2,within,within_fold0,2,0.5,0.3,25,inf,4,False,4.0,workload,0.8842421757550909,0.9421487603305785,121,100,337,34.0,
WAUC,2,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.8017476788640088,0.9008264462809917,121,100,337,45.0,
WAUC,2,within,within_fold0,2,0.5,0.3,100,inf,4,False,4.0,workload,0.6203792115673168,0.8099173553719008,121,100,337,54.0,
WAUC,2,within,within_fold0,3,0.5,0.3,inf,inf,4,False,4.0,workload,0.8015851325498771,0.9008264462809917,121,100,337,72.0,
WAUC,2,within,within_fold0,3,0.5,0.3,25,inf,4,False,4.0,workload,0.8512091815821834,0.9256198347107438,121,100,337,34.0,
WAUC,2,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.7519475194751948,0.8760330578512396,121,100,337,47.0,
WAUC,2,within,within_fold0,3,0.5,0.3,100,inf,4,False,4.0,workload,0.8015851325498771,0.9008264462809917,121,100,337,55.0,
WAUC,2,within,within_fold0,42,0.5,0.3,inf,inf,4,False,4.0,workload,0.8512498292582981,0.9256198347107438,121,100,337,62.0,
WAUC,2,within,within_fold0,42,0.5,0.3,25,inf,4,False,4.0,workload,0.8512498292582981,0.9256198347107438,121,100,337,38.0,
WAUC,2,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.5036915504511894,0.7520661157024794,121,100,337,47.0,
WAUC,2,within,within_fold0,42,0.5,0.3,100,inf,4,False,4.0,workload,0.45353770357191736,0.7272727272727273,121,100,337,60.0,
WAUC,3,within,within_fold0,0,0.5,0.3,inf,inf,4,False,4.0,workload,0.15535108958837784,0.6274509803921569,153,64,426,148.0,
WAUC,3,within,within_fold0,0,0.5,0.3,25,inf,4,False,4.0,workload,0.13794443365067022,0.6209150326797386,153,64,426,137.0,
WAUC,3,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.13794443365067022,0.6209150326797386,153,64,426,141.0,
WAUC,3,within,within_fold0,0,0.5,0.3,100,inf,4,False,4.0,workload,0.13794443365067022,0.6209150326797386,153,64,426,157.0,
WAUC,3,within,within_fold0,1,0.5,0.3,inf,inf,4,False,4.0,workload,0.23632175081589568,0.6601307189542484,153,72,426,152.0,
WAUC,3,within,within_fold0,1,0.5,0.3,25,inf,4,False,4.0,workload,0.28657470371089955,0.6862745098039216,153,72,426,140.0,
WAUC,3,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.28657470371089955,0.6862745098039216,153,72,426,141.0,
WAUC,3,within,within_fold0,1,0.5,0.3,100,inf,4,False,4.0,workload,0.22712259568680782,0.6601307189542484,153,72,426,157.0,
WAUC,3,within,within_fold0,2,0.5,0.3,inf,inf,4,False,4.0,workload,0.37408429264579957,0.7189542483660131,153,72,426,150.0,
WAUC,3,within,within_fold0,2,0.5,0.3,25,inf,4,False,4.0,workload,0.42029387302467425,0.7320261437908496,153,72,426,126.0,
WAUC,3,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.15752212389380527,0.6339869281045751,153,72,426,149.0,
WAUC,3,within,within_fold0,2,0.5,0.3,100,inf,4,False,4.0,workload,0.42029387302467425,0.7320261437908496,153,72,426,151.0,
WAUC,3,within,within_fold0,3,0.5,0.3,inf,inf,4,False,4.0,workload,0.21931260229132565,0.6535947712418301,153,76,426,138.0,
WAUC,3,within,within_fold0,3,0.5,0.3,25,inf,4,False,4.0,workload,0.21786411376521986,0.6405228758169934,153,76,426,134.0,
