dataset,feature_family,classifier,subject,protocol,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
STEW,fbcsp,lda,1,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,1,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,1,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,random_forest,1,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,1,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,1,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,1,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,1,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,1,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,1,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,1,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,random_forest,1,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,1,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,1,within,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,decision_tree,1,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,1,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,1,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,1,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,1,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,random_forest,1,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,1,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,1,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,1,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,1,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,1,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,1,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,1,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,random_forest,1,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,1,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,1,within,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,decision_tree,1,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,1,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,1,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,svm,1,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,decision_tree,1,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,random_forest,1,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,lda,1,within,4,42,1.0,1.0,60,14,14,
