dataset,task,montage,method,feature_family,classifier,subject,seed,kappa,accuracy,n_train,n_test,n_channels,n_arms_surviving,final_regret,error
COGBCI,nback,nearear,fixed,fbcsp,lda,1,-1,-0.0057140420451153,0.3283018867924528,299,530,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,svm,1,-1,0.0028248587570621,0.3339622641509434,299,530,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,decision_tree,1,-1,-0.0255767836581517,0.3150943396226415,299,530,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,random_forest,1,-1,0.0275851769675505,0.350943396226415,299,530,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,lda,1,-1,-0.0947958366693355,0.269811320754717,299,530,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,svm,1,-1,-0.0528789157205566,0.2981132075471698,299,530,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,decision_tree,1,-1,-0.0297634298402937,0.3132075471698113,299,530,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,random_forest,1,-1,0.0233728221507696,0.3490566037735849,299,530,2,0,0.0,
COGBCI,nback,nearear,ccb,,,1,0,0.075660280752656,0.3830188679245283,299,530,2,53,78.0,
COGBCI,nback,nearear,ccb,,,1,1,0.0139350904128282,0.3415094339622641,299,530,2,54,88.0,
COGBCI,nback,nearear,ccb,,,1,2,0.0927851543752997,0.3943396226415094,299,530,2,61,81.0,
COGBCI,nback,nearear,ccb,,,1,3,0.0847457627118644,0.3886792452830189,299,530,2,91,90.0,
COGBCI,nback,nearear,ccb,,,1,42,-0.0796830170970255,0.2792452830188679,299,530,2,72,83.0,
COGBCI,nback,nearear,fixed,fbcsp,lda,2,-1,0.0763010574331328,0.38125,297,480,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,svm,2,-1,-0.0252281963722293,0.3145833333333333,297,480,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,decision_tree,2,-1,0.0207391236550755,0.3458333333333333,297,480,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,random_forest,2,-1,0.0478659959549861,0.3625,297,480,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,lda,2,-1,0.1463287984214353,0.4291666666666666,297,480,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,svm,2,-1,0.1703164598089545,0.4458333333333333,297,480,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,decision_tree,2,-1,0.026457778066697,0.35,297,480,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,random_forest,2,-1,0.1113189897100093,0.40625,297,480,2,0,0.0,
COGBCI,nback,nearear,ccb,,,2,0,0.0336783863468107,0.3541666666666667,297,480,2,99,82.0,
COGBCI,nback,nearear,ccb,,,2,1,0.0143737166324435,0.3416666666666667,297,480,2,100,73.0,
COGBCI,nback,nearear,ccb,,,2,2,0.0028305071541716,0.3333333333333333,297,480,2,100,71.0,
COGBCI,nback,nearear,ccb,,,2,3,0.0343055176979089,0.3541666666666667,297,480,2,94,71.0,
COGBCI,nback,nearear,ccb,,,2,42,-0.0103757820697159,0.3229166666666667,297,480,2,98,66.0,
COGBCI,nback,nearear,fixed,fbcsp,lda,3,-1,-0.0093565701411439,0.336116910229645,302,479,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,svm,3,-1,0.0,0.3423799582463465,302,479,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,decision_tree,3,-1,0.1650148856157945,0.4425887265135699,302,479,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,random_forest,3,-1,0.0032142407433179,0.3444676409185804,302,479,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,lda,3,-1,-0.044365278670015,0.2985386221294363,302,479,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,svm,3,-1,0.0061594297161589,0.3340292275574112,302,479,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,decision_tree,3,-1,-0.0438340652178208,0.3089770354906054,302,479,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,random_forest,3,-1,0.0160101734707185,0.3423799582463465,302,479,2,0,0.0,
COGBCI,nback,nearear,ccb,,,3,0,-0.0069685054696928,0.3235908141962422,302,479,2,87,80.0,
COGBCI,nback,nearear,ccb,,,3,1,0.1095245629301479,0.4112734864300626,302,479,2,93,86.0,
COGBCI,nback,nearear,ccb,,,3,2,0.1360620342821032,0.4279749478079332,302,479,2,100,92.0,
COGBCI,nback,nearear,ccb,,,3,3,0.0083073188777332,0.3340292275574112,302,479,2,80,86.0,
COGBCI,nback,nearear,ccb,,,3,42,-0.0029751847066228,0.3402922755741127,302,479,2,70,81.0,
COGBCI,nback,nearear,fixed,fbcsp,lda,4,-1,0.1581186226206822,0.4385593220338983,300,472,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,svm,4,-1,0.1360198121079974,0.423728813559322,300,472,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,decision_tree,4,-1,0.0212347673870597,0.3474576271186441,300,472,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,random_forest,4,-1,0.1453189369665312,0.4300847457627119,300,472,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,lda,4,-1,0.0749959592694358,0.3834745762711864,300,472,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,svm,4,-1,0.0782119142860989,0.3855932203389831,300,472,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,decision_tree,4,-1,0.1354962089073842,0.423728813559322,300,472,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,random_forest,4,-1,0.1036646958208192,0.4025423728813559,300,472,2,0,0.0,
COGBCI,nback,nearear,ccb,,,4,0,0.0278260167198416,0.3516949152542373,300,472,2,92,103.0,
COGBCI,nback,nearear,ccb,,,4,1,0.0614847467680403,0.375,300,472,2,86,106.0,
COGBCI,nback,nearear,ccb,,,4,2,0.0136040663889227,0.3432203389830508,300,472,2,88,99.0,
COGBCI,nback,nearear,ccb,,,4,3,0.1094219598646882,0.4067796610169492,300,472,2,83,106.0,
COGBCI,nback,nearear,ccb,,,4,42,0.0244651200366236,0.3495762711864407,300,472,2,79,110.0,
COGBCI,nback,nearear,fixed,fbcsp,lda,5,-1,0.1215560212647556,0.4135188866799205,261,503,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,svm,5,-1,-0.0022661844828817,0.3339960238568588,261,503,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,decision_tree,5,-1,0.0089493424488439,0.3399602385685885,261,503,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,random_forest,5,-1,0.1169786254833582,0.4115308151093439,261,503,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,lda,5,-1,0.1571995263469509,0.4373757455268389,261,503,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,svm,5,-1,0.1002162002073152,0.3996023856858847,261,503,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,decision_tree,5,-1,0.0183240793470007,0.345924453280318,261,503,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,random_forest,5,-1,0.155544613778334,0.4373757455268389,261,503,2,0,0.0,
COGBCI,nback,nearear,ccb,,,5,0,0.069349947686069,0.3777335984095427,261,503,2,64,90.0,
COGBCI,nback,nearear,ccb,,,5,1,0.0161514980884923,0.3439363817097415,261,503,2,34,54.0,
COGBCI,nback,nearear,ccb,,,5,2,-0.0272131458966564,0.3161033797216699,261,503,2,66,85.0,
COGBCI,nback,nearear,ccb,,,5,3,0.0134741981548526,0.341948310139165,261,503,2,68,74.0,
COGBCI,nback,nearear,ccb,,,5,42,0.0184205079684219,0.3439363817097415,261,503,2,91,83.0,
COGBCI,nback,nearear,fixed,fbcsp,lda,6,-1,-0.01875,0.3208333333333333,253,480,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,svm,6,-1,-0.003125,0.33125,253,480,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,decision_tree,6,-1,-0.034375,0.3104166666666667,253,480,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,random_forest,6,-1,-0.015625,0.3229166666666667,253,480,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,lda,6,-1,0.0687499999999999,0.3791666666666666,253,480,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,svm,6,-1,0.0062499999999999,0.3375,253,480,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,decision_tree,6,-1,-0.03125,0.3125,253,480,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,random_forest,6,-1,0.05,0.3666666666666666,253,480,2,0,0.0,
COGBCI,nback,nearear,ccb,,,6,0,-0.015625,0.3229166666666667,253,480,2,78,81.0,
COGBCI,nback,nearear,ccb,,,6,1,-0.0625,0.2916666666666667,253,480,2,67,79.0,
COGBCI,nback,nearear,ccb,,,6,2,-0.0093750000000001,0.3270833333333333,253,480,2,44,79.0,
COGBCI,nback,nearear,ccb,,,6,3,0.0374999999999999,0.3583333333333333,253,480,2,96,46.0,
COGBCI,nback,nearear,ccb,,,6,42,-0.0406249999999999,0.30625,253,480,2,100,94.0,
COGBCI,nback,nearear,fixed,fbcsp,lda,7,-1,-0.0030166389456309,0.3340163934426229,258,488,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,svm,7,-1,0.0,0.3360655737704918,258,488,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,decision_tree,7,-1,-0.002934183234684,0.3340163934426229,258,488,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,random_forest,7,-1,7.588980799877465e-05,0.3360655737704918,258,488,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,lda,7,-1,0.0018879798615482,0.3340163934426229,258,488,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,svm,7,-1,0.0919298068553118,0.3954918032786885,258,488,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,decision_tree,7,-1,-0.0040204609373524,0.3299180327868852,258,488,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,random_forest,7,-1,0.0149001400436532,0.3442622950819672,258,488,2,0,0.0,
COGBCI,nback,nearear,ccb,,,7,0,8.221343873504594e-05,0.3360655737704918,258,488,2,88,38.0,
COGBCI,nback,nearear,ccb,,,7,1,-0.0029658953652351,0.3340163934426229,258,488,2,90,45.0,
COGBCI,nback,nearear,ccb,,,7,2,0.0108710020583773,0.3401639344262295,258,488,2,86,37.0,
COGBCI,nback,nearear,ccb,,,7,3,0.0031494668673555,0.3381147540983606,258,488,2,89,41.0,
COGBCI,nback,nearear,ccb,,,7,42,-0.0060519442740512,0.3319672131147541,258,488,2,92,42.0,
COGBCI,nback,nearear,fixed,fbcsp,lda,8,-1,0.0292340265303728,0.3529411764705882,255,493,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,svm,8,-1,-0.0068656846130448,0.332657200811359,255,493,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,decision_tree,8,-1,-0.072483080050574,0.2880324543610548,255,493,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,random_forest,8,-1,0.0639356672168377,0.3793103448275862,255,493,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,lda,8,-1,0.0753675218965677,0.385395537525355,255,493,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,svm,8,-1,0.0435847056854736,0.3651115618661257,255,493,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,decision_tree,8,-1,0.0967510321306767,0.3995943204868154,255,493,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,random_forest,8,-1,0.0805544196190689,0.3894523326572008,255,493,2,0,0.0,
COGBCI,nback,nearear,ccb,,,8,0,0.0459809075389953,0.3630831643002028,255,493,2,68,75.0,
COGBCI,nback,nearear,ccb,,,8,1,0.0225504002371776,0.3488843813387424,255,493,2,66,65.0,
COGBCI,nback,nearear,ccb,,,8,2,-0.015623361644123,0.3225152129817444,255,493,2,84,73.0,
COGBCI,nback,nearear,ccb,,,8,3,0.0122669223299777,0.3387423935091277,255,493,2,63,85.0,
COGBCI,nback,nearear,ccb,,,8,42,0.0056425168594939,0.3387423935091277,255,493,2,58,83.0,
COGBCI,nback,nearear,fixed,fbcsp,lda,9,-1,-0.1325808349456856,0.2348178137651821,256,494,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,svm,9,-1,-0.173368162075145,0.2085020242914979,256,494,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,decision_tree,9,-1,-0.019638791925937,0.3117408906882591,256,494,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,random_forest,9,-1,-0.1325808349456856,0.2348178137651821,256,494,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,lda,9,-1,0.0760979959870197,0.388663967611336,256,494,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,svm,9,-1,0.0628103784990234,0.3805668016194332,256,494,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,decision_tree,9,-1,0.0253276513628688,0.354251012145749,256,494,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,random_forest,9,-1,0.0345917821178286,0.3643724696356275,256,494,2,0,0.0,
COGBCI,nback,nearear,ccb,,,9,0,-0.144711620119865,0.2267206477732793,256,494,2,79,58.0,
COGBCI,nback,nearear,ccb,,,9,1,-0.1028859512354929,0.2550607287449393,256,494,2,90,59.0,
COGBCI,nback,nearear,ccb,,,9,2,-0.13861476220226,0.2307692307692307,256,494,2,75,59.0,
COGBCI,nback,nearear,ccb,,,9,3,-0.0213666403928938,0.3097165991902834,256,494,2,92,62.0,
COGBCI,nback,nearear,ccb,,,9,42,-0.1193830747583284,0.2469635627530364,256,494,2,78,77.0,
COGBCI,nback,nearear,fixed,fbcsp,lda,10,-1,-0.0285611722089873,0.313152400835073,263,479,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,svm,10,-1,-0.0220617022942604,0.3173277661795407,263,479,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,decision_tree,10,-1,-0.0537712323580483,0.2964509394572025,263,479,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,random_forest,10,-1,-0.0098032177006166,0.325678496868476,263,479,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,lda,10,-1,-0.0444654806593765,0.302713987473904,263,479,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,svm,10,-1,-0.0197612454939659,0.3194154488517745,263,479,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,decision_tree,10,-1,-0.0762427908009639,0.2818371607515658,263,479,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,random_forest,10,-1,-0.0290447490254206,0.313152400835073,263,479,2,0,0.0,
COGBCI,nback,nearear,ccb,,,10,0,-0.0474695318976714,0.3006263048016701,263,479,2,81,78.0,
COGBCI,nback,nearear,ccb,,,10,1,-4.5670144122045286e-05,0.3319415448851774,263,479,2,61,73.0,
COGBCI,nback,nearear,ccb,,,10,2,-0.0062103265493096,0.3298538622129436,263,479,2,84,108.0,
COGBCI,nback,nearear,ccb,,,10,3,0.0150723918691332,0.3423799582463465,263,479,2,65,87.0,
COGBCI,nback,nearear,ccb,,,10,42,-0.0191755430242273,0.3194154488517745,263,479,2,72,97.0,
COGBCI,nback,nearear,fixed,fbcsp,lda,11,-1,-0.0011411898200681,0.3326403326403326,292,481,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,svm,11,-1,0.0385681188388679,0.3596673596673597,292,481,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,decision_tree,11,-1,0.0483032870367367,0.3659043659043659,292,481,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,random_forest,11,-1,0.0384994807892004,0.3596673596673597,292,481,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,lda,11,-1,0.0900539027676998,0.3929313929313929,292,481,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,svm,11,-1,0.0702781939768959,0.3804573804573805,292,481,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,decision_tree,11,-1,0.0582873590789159,0.3721413721413721,292,481,2,0,0.0,
COGBCI,nback,nearear,fixed,bandpower,random_forest,11,-1,0.0610951868328556,0.3742203742203742,292,481,2,0,0.0,
COGBCI,nback,nearear,ccb,,,11,0,0.1355936601854195,0.4241164241164241,292,481,2,52,127.0,
COGBCI,nback,nearear,ccb,,,11,1,0.0673216601815823,0.3783783783783784,292,481,2,57,117.0,
COGBCI,nback,nearear,ccb,,,11,2,-0.0038954893992131,0.3305613305613306,292,481,2,51,124.0,
COGBCI,nback,nearear,ccb,,,11,3,0.1916962964885415,0.4615384615384615,292,481,2,67,121.0,
COGBCI,nback,nearear,ccb,,,11,42,0.0571137406611667,0.3721413721413721,292,481,2,57,112.0,
COGBCI,nback,nearear,fixed,fbcsp,lda,12,-1,-0.0481912999890752,0.3037190082644628,251,484,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,svm,12,-1,-0.1189026739616243,0.256198347107438,251,484,2,0,0.0,
COGBCI,nback,nearear,fixed,fbcsp,decision_tree,12,-1,0.0118263415385799,0.3429752066115702,251,484,2,0,0.0,
