dataset,task,montage,method,feature_family,classifier,subject,seed,kappa,accuracy,n_train,n_test,n_channels,n_arms_surviving,final_regret,error
COGBCI,matb,nearear,fixed,fbcsp,lda,1,-1,0.07770270270270274,0.38513513513513514,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,svm,1,-1,0.013513513513513487,0.34234234234234234,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,decision_tree,1,-1,0.14189189189189189,0.42792792792792794,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,random_forest,1,-1,0.16554054054054057,0.4436936936936937,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,lda,1,-1,0.30405405405405406,0.536036036036036,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,svm,1,-1,0.3682432432432432,0.5788288288288288,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,decision_tree,1,-1,0.2398648648648649,0.49324324324324326,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,random_forest,1,-1,0.3614864864864865,0.5743243243243243,222,444,2,0,0.0,
COGBCI,matb,nearear,ccb,,,1,0,0.09459459459459463,0.3963963963963964,222,444,2,91,22.0,
COGBCI,matb,nearear,ccb,,,1,1,0.16216216216216217,0.44144144144144143,222,444,2,84,42.0,
COGBCI,matb,nearear,ccb,,,1,2,0.006756756756756799,0.33783783783783783,222,444,2,97,43.0,
COGBCI,matb,nearear,ccb,,,1,3,0.006756756756756799,0.33783783783783783,222,444,2,97,34.0,
COGBCI,matb,nearear,ccb,,,1,42,0.057432432432432456,0.3716216216216216,222,444,2,86,34.0,
COGBCI,matb,nearear,fixed,fbcsp,lda,2,-1,0.057432432432432456,0.3716216216216216,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,svm,2,-1,0.16216216216216195,0.44144144144144143,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,decision_tree,2,-1,0.25,0.5,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,random_forest,2,-1,0.29054054054054057,0.527027027027027,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,lda,2,-1,0.34121621621621623,0.5608108108108109,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,svm,2,-1,0.42229729729729726,0.6148648648648649,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,decision_tree,2,-1,0.3648648648648649,0.5765765765765766,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,random_forest,2,-1,0.3614864864864865,0.5743243243243243,222,444,2,0,0.0,
COGBCI,matb,nearear,ccb,,,2,0,0.10810810810810823,0.40540540540540543,222,444,2,84,59.0,
COGBCI,matb,nearear,ccb,,,2,1,0.2432432432432432,0.4954954954954955,222,444,2,95,52.0,
COGBCI,matb,nearear,ccb,,,2,2,0.14189189189189189,0.42792792792792794,222,444,2,88,55.0,
COGBCI,matb,nearear,ccb,,,2,3,0.2466216216216216,0.49774774774774777,222,444,2,88,50.0,
COGBCI,matb,nearear,ccb,,,2,42,0.19932432432432434,0.46621621621621623,222,444,2,99,50.0,
COGBCI,matb,nearear,fixed,fbcsp,lda,3,-1,0.006756756756756799,0.33783783783783783,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,svm,3,-1,0.0,0.3333333333333333,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,decision_tree,3,-1,0.10135135135135132,0.4009009009009009,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,random_forest,3,-1,0.09459459459459463,0.3963963963963964,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,lda,3,-1,0.33108108108108103,0.5540540540540541,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,svm,3,-1,0.3783783783783784,0.5855855855855856,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,decision_tree,3,-1,0.2804054054054054,0.5202702702702703,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,random_forest,3,-1,0.33445945945945943,0.5563063063063063,222,444,2,0,0.0,
COGBCI,matb,nearear,ccb,,,3,0,-0.0033783783783782884,0.3310810810810811,222,444,2,100,61.0,
COGBCI,matb,nearear,ccb,,,3,1,0.0,0.3333333333333333,222,444,2,97,64.0,
COGBCI,matb,nearear,ccb,,,3,2,-0.0033783783783782884,0.3310810810810811,222,444,2,92,63.0,
COGBCI,matb,nearear,ccb,,,3,3,0.0,0.3333333333333333,222,444,2,100,51.0,
COGBCI,matb,nearear,ccb,,,3,42,0.0,0.3333333333333333,222,444,2,100,49.0,
COGBCI,matb,nearear,fixed,fbcsp,lda,4,-1,-0.04054054054054057,0.3063063063063063,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,svm,4,-1,0.010135135135135087,0.3400900900900901,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,decision_tree,4,-1,-0.010135135135135087,0.32657657657657657,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,random_forest,4,-1,-0.013513513513513598,0.32432432432432434,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,lda,4,-1,-0.0033783783783782884,0.3310810810810811,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,svm,4,-1,0.0,0.3333333333333333,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,decision_tree,4,-1,0.03716216216216217,0.3581081081081081,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,bandpower,random_forest,4,-1,0.006756756756756799,0.33783783783783783,222,444,2,0,0.0,
COGBCI,matb,nearear,ccb,,,4,0,-0.07432432432432434,0.28378378378378377,222,444,2,72,63.0,
COGBCI,matb,nearear,ccb,,,4,1,-0.020270270270270174,0.31981981981981983,222,444,2,81,80.0,
COGBCI,matb,nearear,ccb,,,4,2,-0.060810810810810745,0.2927927927927928,222,444,2,91,73.0,
COGBCI,matb,nearear,ccb,,,4,3,-0.07770270270270263,0.28153153153153154,222,444,2,74,68.0,
COGBCI,matb,nearear,ccb,,,4,42,-0.09797297297297303,0.268018018018018,222,444,2,87,80.0,
COGBCI,matb,nearear,fixed,fbcsp,lda,5,-1,-0.060810810810810745,0.2927927927927928,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,svm,5,-1,-0.0033783783783782884,0.3310810810810811,222,444,2,0,0.0,
COGBCI,matb,nearear,fixed,fbcsp,decision_tree,5,-1,-0.04729729729729737,0.30180180180180183,222,444,2,0,0.0,
