dataset,task,montage,method,feature_family,classifier,subject,seed,kappa,accuracy,n_train,n_test,n_channels,n_arms_surviving,final_regret,error
COGBCI-MATBcomp,matb-competition,nearear,fixed,fbcsp,lda,1,-1,0.1677852348993288,0.4451901565995526,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,fbcsp,svm,1,-1,0.2147651006711409,0.4765100671140939,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,fbcsp,decision_tree,1,-1,0.0939597315436241,0.3959731543624161,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,fbcsp,random_forest,1,-1,0.1677852348993288,0.4451901565995526,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,bandpower,lda,1,-1,0.1577181208053691,0.4384787472035794,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,bandpower,svm,1,-1,0.2013422818791946,0.4675615212527964,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,bandpower,decision_tree,1,-1,0.0939597315436241,0.3959731543624161,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,bandpower,random_forest,1,-1,0.1744966442953019,0.4496644295302013,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,ccb,,,1,0,0.1912751677852349,0.4608501118568233,447,447,2,90,152.0,
COGBCI-MATBcomp,matb-competition,nearear,ccb,,,1,1,0.1442953020134227,0.4295302013422818,447,447,2,76,156.0,
COGBCI-MATBcomp,matb-competition,nearear,ccb,,,1,2,0.1342281879194631,0.4228187919463087,447,447,2,86,138.0,
COGBCI-MATBcomp,matb-competition,nearear,ccb,,,1,3,0.1375838926174496,0.4250559284116331,447,447,2,88,156.0,
COGBCI-MATBcomp,matb-competition,nearear,ccb,,,1,42,0.1140939597315435,0.4093959731543624,447,447,2,82,158.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,fbcsp,lda,2,-1,0.2248322147651006,0.4832214765100671,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,fbcsp,svm,2,-1,0.2684563758389261,0.5123042505592841,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,fbcsp,decision_tree,2,-1,0.2147651006711409,0.4765100671140939,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,fbcsp,random_forest,2,-1,0.3053691275167784,0.5369127516778524,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,bandpower,lda,2,-1,0.261744966442953,0.5078299776286354,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,bandpower,svm,2,-1,0.2751677852348994,0.5167785234899329,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,bandpower,decision_tree,2,-1,0.2181208053691274,0.4787472035794183,447,447,2,0,0.0,
COGBCI-MATBcomp,matb-competition,nearear,fixed,bandpower,random_forest,2,-1,0.238255033557047,0.4921700223713646,447,447,2,0,0.0,
