dataset,method,montage,protocol,subject,seed,kappa,accuracy,n_train,n_test,n_channels,y_true_seq,y_pred_seq,error
BCI-IV-2a,eegnet,full,official,1,7,0.5416666666666667,0.65625,288,288,22,,,
BCI-IV-2a,eegnet,full,official,1,42,0.5138888888888888,0.6354166666666666,288,288,22,,,
BCI-IV-2a,eegnet,full,official,2,7,0.3379629629629629,0.5034722222222222,288,288,22,,,
BCI-IV-2a,eegnet,full,official,2,42,0.3842592592592593,0.5381944444444444,288,288,22,,,
BCI-IV-2a,eegnet,full,official,3,7,0.6481481481481481,0.7361111111111112,288,288,22,,,
BCI-IV-2a,eegnet,full,official,3,42,0.6666666666666667,0.75,288,288,22,,,
BCI-IV-2a,eegnet,full,official,4,7,0.4027777777777778,0.5520833333333334,288,288,22,,,
BCI-IV-2a,eegnet,full,official,4,42,0.40740740740740744,0.5555555555555556,288,288,22,,,
BCI-IV-2a,eegnet,full,official,5,7,0.5277777777777778,0.6458333333333334,288,288,22,,,
BCI-IV-2a,eegnet,full,official,5,42,0.5740740740740741,0.6805555555555556,288,288,22,,,
BCI-IV-2a,eegnet,full,official,6,7,0.33333333333333337,0.5,288,288,22,,,
BCI-IV-2a,eegnet,full,official,6,42,0.36111111111111116,0.5208333333333334,288,288,22,,,
BCI-IV-2a,eegnet,full,official,7,7,0.5740740740740741,0.6805555555555556,288,288,22,,,
BCI-IV-2a,eegnet,full,official,7,42,0.625,0.71875,288,288,22,,,
BCI-IV-2a,eegnet,full,official,8,7,0.5046296296296297,0.6284722222222222,288,288,22,,,
BCI-IV-2a,eegnet,full,official,8,42,0.5787037037037037,0.6840277777777778,288,288,22,,,
BCI-IV-2a,eegnet,full,official,9,7,0.4444444444444444,0.5833333333333334,288,288,22,,,
BCI-IV-2a,eegnet,full,official,9,42,0.5046296296296297,0.6284722222222222,288,288,22,,,
