dataset,method,montage,protocol,subject,seed,kappa,accuracy,n_train,n_test,n_channels,y_true_seq,y_pred_seq,error
BCI-IV-2b,eegnet,full,within,1,7,0.25,0.625,192,48,3,,,
BCI-IV-2b,eegnet,full,within,1,7,0.45833333333333337,0.7291666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,within,1,7,0.125,0.5625,192,48,3,,,
BCI-IV-2b,eegnet,full,within,1,7,0.16666666666666663,0.5833333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,1,7,0.25,0.625,192,48,3,,,
BCI-IV-2b,eegnet,full,official,1,7,0.21666666666666667,0.6083333333333333,120,120,3,,,
BCI-IV-2b,eegnet,full,within,1,42,0.25,0.625,192,48,3,,,
BCI-IV-2b,eegnet,full,within,1,42,0.45833333333333337,0.7291666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,within,1,42,0.08333333333333337,0.5416666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,within,1,42,0.45833333333333337,0.7291666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,within,1,42,0.45833333333333337,0.7291666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,official,1,42,0.23333333333333328,0.6166666666666667,120,120,3,,,
BCI-IV-2b,eegnet,full,within,2,7,0.6666666666666667,0.8333333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,2,7,0.5,0.75,192,48,3,,,
BCI-IV-2b,eegnet,full,within,2,7,0.7083333333333333,0.8541666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,within,2,7,0.41666666666666663,0.7083333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,2,7,0.5,0.75,192,48,3,,,
BCI-IV-2b,eegnet,full,official,2,7,0.35,0.675,120,120,3,,,
BCI-IV-2b,eegnet,full,within,2,42,0.6666666666666667,0.8333333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,2,42,0.41666666666666663,0.7083333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,2,42,0.75,0.875,192,48,3,,,
BCI-IV-2b,eegnet,full,within,2,42,0.45833333333333337,0.7291666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,within,2,42,0.5416666666666667,0.7708333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,official,2,42,0.3833333333333333,0.6916666666666667,120,120,3,,,
BCI-IV-2b,eegnet,full,within,3,7,-0.08333333333333326,0.4583333333333333,192,48,3,,,
BCI-IV-2b,eegnet,full,within,3,7,0.25,0.625,192,48,3,,,
BCI-IV-2b,eegnet,full,within,3,7,0.04166666666666663,0.5208333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,3,7,-0.125,0.4375,192,48,3,,,
BCI-IV-2b,eegnet,full,within,3,7,0.04166666666666663,0.5208333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,official,3,7,-0.10000000000000009,0.45,120,120,3,,,
BCI-IV-2b,eegnet,full,within,3,42,0.0,0.5,192,48,3,,,
BCI-IV-2b,eegnet,full,within,3,42,0.20833333333333337,0.6041666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,within,3,42,0.16666666666666663,0.5833333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,3,42,0.16666666666666663,0.5833333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,3,42,0.04166666666666663,0.5208333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,official,3,42,0.06666666666666665,0.5333333333333333,120,120,3,,,
BCI-IV-2b,eegnet,full,within,4,7,0.6923076923076923,0.8461538461538461,208,52,3,,,
BCI-IV-2b,eegnet,full,within,4,7,0.9230769230769231,0.9615384615384616,208,52,3,,,
BCI-IV-2b,eegnet,full,within,4,7,0.9230769230769231,0.9615384615384616,208,52,3,,,
BCI-IV-2b,eegnet,full,within,4,7,0.9615384615384616,0.9807692307692307,208,52,3,,,
BCI-IV-2b,eegnet,full,within,4,7,0.8461538461538461,0.9230769230769231,208,52,3,,,
BCI-IV-2b,eegnet,full,official,4,7,0.27142857142857146,0.6357142857142857,120,140,3,,,
BCI-IV-2b,eegnet,full,within,4,42,0.7692307692307692,0.8846153846153846,208,52,3,,,
BCI-IV-2b,eegnet,full,within,4,42,0.8846153846153846,0.9423076923076923,208,52,3,,,
BCI-IV-2b,eegnet,full,within,4,42,0.9615384615384616,0.9807692307692307,208,52,3,,,
BCI-IV-2b,eegnet,full,within,4,42,0.7692307692307692,0.8846153846153846,208,52,3,,,
BCI-IV-2b,eegnet,full,within,4,42,0.8076923076923077,0.9038461538461539,208,52,3,,,
BCI-IV-2b,eegnet,full,official,4,42,0.6857142857142857,0.8428571428571429,120,140,3,,,
BCI-IV-2b,eegnet,full,within,5,7,0.2692307692307693,0.6346153846153846,208,52,3,,,
BCI-IV-2b,eegnet,full,within,5,7,0.038461538461538436,0.5192307692307693,208,52,3,,,
BCI-IV-2b,eegnet,full,within,5,7,0.23076923076923073,0.6153846153846154,208,52,3,,,
