dataset,method,montage,protocol,subject,seed,kappa,accuracy,n_train,n_test,n_channels,y_true_seq,y_pred_seq,error
Cho2017-full,eegnet,full,within,1,7,0.65,0.825,160,40,64,,,
Cho2017-full,eegnet,full,within,1,7,0.7,0.85,160,40,64,,,
Cho2017-full,eegnet,full,within,1,7,0.65,0.825,160,40,64,,,
Cho2017-full,eegnet,full,within,1,7,0.6,0.8,160,40,64,,,
Cho2017-full,eegnet,full,within,1,7,0.95,0.975,160,40,64,,,
Cho2017-full,eegnet,full,within,1,42,0.75,0.875,160,40,64,,,
Cho2017-full,eegnet,full,within,1,42,0.85,0.925,160,40,64,,,
Cho2017-full,eegnet,full,within,1,42,0.75,0.875,160,40,64,,,
Cho2017-full,eegnet,full,within,1,42,0.65,0.825,160,40,64,,,
Cho2017-full,eegnet,full,within,1,42,0.65,0.825,160,40,64,,,
Cho2017-full,eegnet,full,within,1,123,0.75,0.875,160,40,64,,,
Cho2017-full,eegnet,full,within,1,123,0.6,0.8,160,40,64,,,
Cho2017-full,eegnet,full,within,1,123,0.65,0.825,160,40,64,,,
Cho2017-full,eegnet,full,within,1,123,0.65,0.825,160,40,64,,,
Cho2017-full,eegnet,full,within,1,123,0.9,0.95,160,40,64,,,
Cho2017-full,eegnet,full,within,2,7,-0.050000000000000044,0.475,160,40,64,,,
Cho2017-full,eegnet,full,within,2,7,0.30000000000000004,0.65,160,40,64,,,
Cho2017-full,eegnet,full,within,2,7,-0.30000000000000004,0.35,160,40,64,,,
Cho2017-full,eegnet,full,within,2,7,0.050000000000000044,0.525,160,40,64,,,
Cho2017-full,eegnet,full,within,2,7,0.0,0.5,160,40,64,,,
Cho2017-full,eegnet,full,within,2,42,-0.050000000000000044,0.475,160,40,64,,,
Cho2017-full,eegnet,full,within,2,42,-0.050000000000000044,0.475,160,40,64,,,
Cho2017-full,eegnet,full,within,2,42,0.0,0.5,160,40,64,,,
Cho2017-full,eegnet,full,within,2,42,0.0,0.5,160,40,64,,,
Cho2017-full,eegnet,full,within,2,42,0.25,0.625,160,40,64,,,
Cho2017-full,eegnet,full,within,2,123,-0.050000000000000044,0.475,160,40,64,,,
Cho2017-full,eegnet,full,within,2,123,-0.050000000000000044,0.475,160,40,64,,,
Cho2017-full,eegnet,full,within,2,123,0.050000000000000044,0.525,160,40,64,,,
Cho2017-full,eegnet,full,within,2,123,0.050000000000000044,0.525,160,40,64,,,
Cho2017-full,eegnet,full,within,2,123,-0.050000000000000044,0.475,160,40,64,,,
