dataset,method,montage,protocol,subject,seed,kappa,accuracy,n_train,n_test,n_channels,y_true_seq,y_pred_seq,error
STEW,eegnet,full,within,1,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,1,7,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,1,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,1,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,1,7,0.8571428571428572,0.9285714285714286,60,14,14,,,
STEW,eegnet,full,within,1,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,1,42,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,1,42,0.736842105263158,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,1,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,1,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,2,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,2,7,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,2,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,2,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,2,7,0.8571428571428572,0.9285714285714286,60,14,14,,,
STEW,eegnet,full,within,2,42,0.7272727272727273,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,2,42,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,2,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,2,42,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,2,42,0.8571428571428572,0.9285714285714286,60,14,14,,,
STEW,eegnet,full,within,3,7,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,3,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,3,7,0.4444444444444444,0.7333333333333333,59,15,14,,,
STEW,eegnet,full,within,3,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,3,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,3,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,3,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,3,42,0.5945945945945946,0.8,59,15,14,,,
STEW,eegnet,full,within,3,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,3,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,4,7,0.7272727272727273,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,4,7,0.6017699115044248,0.8,59,15,14,,,
STEW,eegnet,full,within,4,7,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,4,7,0.4545454545454546,0.7333333333333333,59,15,14,,,
STEW,eegnet,full,within,4,7,0.7142857142857143,0.8571428571428571,60,14,14,,,
STEW,eegnet,full,within,4,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,4,42,0.7321428571428572,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,4,42,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,4,42,0.7272727272727273,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,4,42,0.8571428571428572,0.9285714285714286,60,14,14,,,
STEW,eegnet,full,within,6,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,6,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,6,7,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,6,7,0.4642857142857143,0.7333333333333333,59,15,14,,,
STEW,eegnet,full,within,6,7,0.8571428571428572,0.9285714285714286,60,14,14,,,
STEW,eegnet,full,within,6,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,6,42,0.736842105263158,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,6,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,6,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,6,42,0.8571428571428572,0.9285714285714286,60,14,14,,,
STEW,eegnet,full,within,7,7,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,7,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,7,7,0.5945945945945946,0.8,59,15,14,,,
STEW,eegnet,full,within,7,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,7,7,0.8571428571428572,0.9285714285714286,60,14,14,,,
STEW,eegnet,full,within,7,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,7,42,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,7,42,0.7321428571428572,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,7,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,7,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,8,7,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,8,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,8,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,8,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,8,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,8,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,8,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,8,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,8,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,8,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,9,7,0.7321428571428572,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,9,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,9,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,9,7,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,9,7,0.8571428571428572,0.9285714285714286,60,14,14,,,
STEW,eegnet,full,within,9,42,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,9,42,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,9,42,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,9,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,9,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,10,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,10,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,10,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,10,7,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,10,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,10,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,10,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,10,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,10,42,0.7321428571428572,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,10,42,0.8571428571428572,0.9285714285714286,60,14,14,,,
STEW,eegnet,full,within,11,7,0.7321428571428572,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,11,7,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,11,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,11,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,11,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,11,42,0.7321428571428572,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,11,42,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,11,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,11,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,11,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,12,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,12,7,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,12,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,12,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,12,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,12,42,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,12,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,12,42,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,12,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,12,42,0.7142857142857143,0.8571428571428571,60,14,14,,,
STEW,eegnet,full,within,13,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,13,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,13,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,13,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,13,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,13,42,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,13,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,13,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,13,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,13,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,14,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,14,7,0.4545454545454546,0.7333333333333333,59,15,14,,,
STEW,eegnet,full,within,14,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,14,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,14,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,14,42,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,14,42,0.4545454545454546,0.7333333333333333,59,15,14,,,
STEW,eegnet,full,within,14,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,14,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,14,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,15,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,15,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,15,7,0.5871559633027523,0.8,59,15,14,,,
STEW,eegnet,full,within,15,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,15,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,15,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,15,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,15,42,0.5871559633027523,0.8,59,15,14,,,
STEW,eegnet,full,within,15,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,15,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,16,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,16,7,0.736842105263158,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,16,7,0.736842105263158,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,16,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,16,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,16,42,0.736842105263158,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,16,42,0.736842105263158,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,16,42,0.7321428571428572,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,16,42,0.6017699115044248,0.8,59,15,14,,,
STEW,eegnet,full,within,16,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,17,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,17,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,17,7,0.736842105263158,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,17,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,17,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,17,42,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,17,42,0.736842105263158,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,17,42,0.736842105263158,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,17,42,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,17,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,18,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,18,7,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,18,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,18,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,18,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,18,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,18,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,18,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,18,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,18,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,19,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,19,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,19,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,19,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,19,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,19,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,19,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,19,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,19,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,19,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,20,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,20,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,20,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,20,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,20,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,20,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,20,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,20,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,20,42,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,20,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,21,7,0.736842105263158,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,21,7,0.736842105263158,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,21,7,0.4444444444444444,0.7333333333333333,59,15,14,,,
STEW,eegnet,full,within,21,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,21,7,0.7142857142857143,0.8571428571428571,60,14,14,,,
STEW,eegnet,full,within,21,42,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,21,42,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,21,42,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,21,42,0.8672566371681416,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,21,42,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,22,7,0.7272727272727273,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,22,7,0.8648648648648649,0.9333333333333333,59,15,14,,,
STEW,eegnet,full,within,22,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,22,7,1.0,1.0,59,15,14,,,
STEW,eegnet,full,within,22,7,1.0,1.0,60,14,14,,,
STEW,eegnet,full,within,22,42,0.7272727272727273,0.8666666666666667,59,15,14,,,
STEW,eegnet,full,within,22,42,0.8672566371681416,0.9333333333333333,59,15,14,,,
