dataset,task,protocol,montage,method,subject,seed,kappa,accuracy,n_train,n_test,n_channels,error
COGBCI,matb-competition,cross,full,eegnet,1,42,0.110738255033557,0.407158836689038,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,1,7,0.1476510067114094,0.4317673378076063,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,2,42,0.1275167785234899,0.4183445190156599,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,2,7,0.0906040268456376,0.3937360178970917,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,3,42,0.3523489932885906,0.5682326621923938,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,3,7,0.3355704697986577,0.5570469798657718,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,4,42,0.0067114093959731,0.3378076062639821,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,4,7,0.0,0.3333333333333333,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,5,42,0.0738255033557047,0.3825503355704698,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,5,7,0.1241610738255033,0.4161073825503356,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,6,42,0.1845637583892617,0.4563758389261745,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,6,7,-0.0570469798657717,0.2953020134228188,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,7,42,0.1073825503355704,0.4049217002237136,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,7,7,0.023489932885906,0.348993288590604,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,8,42,0.3859060402684564,0.5906040268456376,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,8,7,0.4563758389261745,0.6375838926174496,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,9,42,0.08724832214765099,0.39149888143176736,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,9,7,0.23825503355704702,0.49217002237136465,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,10,42,0.18120805369127513,0.4541387024608501,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,10,7,0.003355704697986628,0.33557046979865773,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,11,42,0.21140939597315433,0.4742729306487696,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,11,7,0.1610738255033557,0.4407158836689038,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,12,42,0.1174496644295302,0.4116331096196868,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,12,7,-0.02348993288590595,0.31767337807606266,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,13,42,0.003355704697986628,0.33557046979865773,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,13,7,0.023489932885906062,0.348993288590604,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,14,42,0.1476510067114094,0.4317673378076063,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,14,7,0.20805369127516782,0.4720357941834452,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,15,42,0.12751677852349008,0.41834451901565994,447,447,61,
COGBCI,matb-competition,cross,full,eegnet,15,7,0.08053691275167763,0.3870246085011186,447,447,61,
