dataset,task,protocol,montage,method,subject,seed,kappa,accuracy,n_train,n_test,n_channels,error
UAB,nback,within,full,eegnet,1,42,0.9921434741475053,0.9947643979057592,760,191,14,
UAB,nback,within,full,eegnet,1,7,1.0,1.0,760,191,14,
UAB,nback,within,full,eegnet,1,123,0.9921441204294,0.9947643979057592,760,191,14,
UAB,nback,within,full,eegnet,2,42,0.9361738244780172,0.9574468085106383,751,188,14,
UAB,nback,within,full,eegnet,2,7,0.9601035609693986,0.973404255319149,751,188,14,
UAB,nback,within,full,eegnet,2,123,0.9281894576012224,0.952127659574468,751,188,14,
UAB,nback,within,full,eegnet,3,42,0.9841269841269842,0.9894179894179894,753,189,14,
UAB,nback,within,full,eegnet,3,7,0.992063492063492,0.9947089947089948,753,189,14,
UAB,nback,within,full,eegnet,3,123,0.992063492063492,0.9947089947089948,753,189,14,
UAB,nback,within,full,eegnet,4,42,0.9535885167464114,0.9690721649484536,775,194,14,
UAB,nback,within,full,eegnet,4,7,0.9613391789557592,0.9742268041237112,775,194,14,
UAB,nback,within,full,eegnet,4,123,0.9613268479387608,0.9742268041237112,775,194,14,
UAB,nback,within,full,eegnet,5,42,0.976439144736842,0.9842931937172776,764,191,14,
UAB,nback,within,full,eegnet,5,7,0.945020149683362,0.9633507853403142,764,191,14,
UAB,nback,within,full,eegnet,5,123,0.9607286783452588,0.9738219895287958,764,191,14,
UAB,nback,within,full,eegnet,6,42,1.0,1.0,743,186,14,
UAB,nback,within,full,eegnet,6,7,0.9673469387755104,0.978494623655914,743,186,14,
UAB,nback,within,full,eegnet,6,123,0.9593069046993962,0.9731182795698924,743,186,14,
UAB,nback,within,full,eegnet,7,42,0.8297247545582047,0.8864864864864865,736,185,14,
UAB,nback,within,full,eegnet,7,7,0.8378615249780894,0.8918918918918919,736,185,14,
UAB,nback,within,full,eegnet,7,123,0.8459414446002805,0.8972972972972973,736,185,14,
UAB,nback,within,full,eegnet,8,42,0.9596651776033308,0.9731182795698924,744,186,14,
UAB,nback,within,full,eegnet,8,7,0.9758033042799532,0.9838709677419356,744,186,14,
UAB,nback,within,full,eegnet,8,123,0.9677307425399028,0.978494623655914,744,186,14,
UAB,nback,within,full,eegnet,9,42,0.7405670713002324,0.827027027027027,738,185,14,
UAB,nback,within,full,eegnet,9,7,0.8297396792006311,0.8864864864864865,738,185,14,
UAB,nback,within,full,eegnet,9,123,0.7243525132564967,0.8162162162162162,738,185,14,
UAB,nback,within,full,eegnet,10,42,0.9502838308002196,0.9668508287292816,722,181,14,
UAB,nback,within,full,eegnet,10,7,0.9751362241860893,0.9834254143646408,722,181,14,
UAB,nback,within,full,eegnet,10,123,0.9668498168498167,0.9779005524861878,722,181,14,
UAB,nback,within,full,eegnet,11,42,1.0,1.0,762,191,14,
UAB,nback,within,full,eegnet,11,7,0.9921467044940586,0.9947643979057592,762,191,14,
UAB,nback,within,full,eegnet,11,123,0.9921467044940586,0.9947643979057592,762,191,14,
UAB,nback,within,full,eegnet,12,42,1.0,1.0,758,190,14,
UAB,nback,within,full,eegnet,12,7,1.0,1.0,758,190,14,
UAB,nback,within,full,eegnet,12,123,0.9921037320256004,0.9947368421052633,758,190,14,
UAB,nback,within,full,eegnet,13,42,0.8962692585204364,0.9308510638297872,752,188,14,
UAB,nback,within,full,eegnet,13,7,0.9202240515997624,0.946808510638298,752,188,14,
UAB,nback,within,full,eegnet,13,123,0.9440737750201862,0.9627659574468084,752,188,14,
UAB,nback,within,full,eegnet,14,42,0.8900538629168209,0.9267015706806284,760,191,14,
COGBCI,nback,cross,nearear,eegnet,1,42,0.1083635975218969,0.4056603773584906,299,530,2,
COGBCI,nback,cross,nearear,eegnet,1,7,0.0575840746713373,0.3716981132075471,299,530,2,
COGBCI,nback,cross,nearear,eegnet,2,42,0.094481017928235,0.3958333333333333,297,480,2,
COGBCI,nback,cross,nearear,eegnet,2,7,0.1354894081847618,0.4229166666666666,297,480,2,
COGBCI,nback,cross,nearear,eegnet,3,42,0.0014417363181172,0.3298538622129436,302,479,2,
COGBCI,nback,cross,nearear,eegnet,3,7,-0.106293142147072,0.2588726513569937,302,479,2,
COGBCI,nback,cross,nearear,eegnet,4,42,-0.2063714713459126,0.1970338983050847,300,472,2,
COGBCI,nback,cross,nearear,eegnet,4,7,-0.247464940668824,0.1694915254237288,300,472,2,
COGBCI,nback,cross,nearear,eegnet,5,42,0.0035468564650059,0.3359840954274354,261,503,2,
COGBCI,nback,cross,nearear,eegnet,5,7,0.0314945702081272,0.3538767395626243,261,503,2,
COGBCI,nback,cross,nearear,eegnet,6,42,0.003125,0.3354166666666666,253,480,2,
COGBCI,nback,cross,nearear,eegnet,6,7,0.0,0.3333333333333333,253,480,2,
COGBCI,nback,cross,nearear,eegnet,7,42,0.0846294745985685,0.3893442622950819,258,488,2,
COGBCI,nback,cross,nearear,eegnet,7,7,0.0501067436895641,0.3647540983606557,258,488,2,
COGBCI,nback,cross,nearear,eegnet,8,42,-0.0510112552835937,0.2961460446247465,255,493,2,
COGBCI,nback,cross,nearear,eegnet,8,7,0.0087597236610618,0.3346855983772819,255,493,2,
COGBCI,nback,cross,nearear,eegnet,9,42,0.0,0.3259109311740891,256,494,2,
COGBCI,nback,cross,nearear,eegnet,9,7,0.0,0.3259109311740891,256,494,2,
COGBCI,nback,cross,nearear,eegnet,10,42,-0.097870589848571,0.267223382045929,263,479,2,
COGBCI,nback,cross,nearear,eegnet,10,7,-0.0468849176487524,0.302713987473904,263,479,2,
COGBCI,nback,cross,nearear,eegnet,11,42,0.0359408445222806,0.3575883575883576,292,481,2,
COGBCI,nback,cross,nearear,eegnet,11,7,0.0583300920523791,0.3721413721413721,292,481,2,
COGBCI,nback,cross,nearear,eegnet,12,42,0.009441430309115,0.3429752066115702,251,484,2,
COGBCI,nback,cross,nearear,eegnet,12,7,0.0252044604881314,0.3533057851239669,251,484,2,
COGBCI,nback,cross,nearear,eegnet,13,42,0.0615272896273273,0.374015748031496,254,508,2,
COGBCI,nback,cross,nearear,eegnet,13,7,0.0737947172528321,0.3818897637795275,254,508,2,
COGBCI,nback,cross,nearear,eegnet,14,42,0.003029960855164,0.3353783231083844,251,489,2,
COGBCI,nback,cross,nearear,eegnet,14,7,-0.2473945177285059,0.16359918200409,251,489,2,
COGBCI,nback,cross,nearear,eegnet,15,42,0.0014954263259769,0.3360995850622407,247,482,2,
COGBCI,nback,cross,nearear,eegnet,15,7,0.0,0.3402489626556016,247,482,2,
COGBCI,nback,cross,nearear,eegnet,16,42,0.0987877120832971,0.3995771670190274,244,473,2,
COGBCI,nback,cross,nearear,eegnet,16,7,0.0096966199394716,0.3403805496828753,244,473,2,
COGBCI,nback,cross,nearear,eegnet,17,42,0.0,0.3319327731092437,245,476,2,
COGBCI,nback,cross,nearear,eegnet,17,7,0.0031314826315024,0.3340336134453781,245,476,2,
COGBCI,nback,cross,nearear,eegnet,18,42,-0.133493479752917,0.2448559670781893,257,486,2,
COGBCI,nback,cross,nearear,eegnet,18,7,0.0230720787771224,0.3497942386831276,257,486,2,
COGBCI,nback,cross,nearear,eegnet,19,42,-0.0046009960795176,0.3191919191919192,249,495,2,
COGBCI,nback,cross,nearear,eegnet,19,7,-0.0105812777028329,0.3151515151515151,249,495,2,
COGBCI,nback,cross,nearear,eegnet,20,42,-2.0135309278357383e-05,0.3340380549682875,255,473,2,
COGBCI,nback,cross,nearear,eegnet,20,7,-0.0063694695017184,0.3298097251585624,255,473,2,
COGBCI,nback,cross,nearear,eegnet,21,42,-0.2053575152378171,0.197211155378486,251,502,2,
