dataset,task,protocol,montage,kappa_mean,kappa_std,acc_mean,acc_std,n_cells,loso_pooled_kappa_mean,loso_pooled_kappa_std
BCI-IV-2a,-,official,full,0.4961,0.1065,0.6221,0.0799,18,,
BCI-IV-2b,-,official,full,0.1938,0.1822,0.5969,0.0911,18,,
BCI-IV-2b,-,within,full,0.3406,0.2673,0.6703,0.1337,90,,
COGBCI,matb,cross,full,0.0125,0.1061,0.3416,0.0707,58,,
COGBCI,matb,cross,nearear,0.0202,0.0991,0.3468,0.0661,58,,
COGBCI,matb-competition,cross,full,0.1346,0.1246,0.423,0.0831,30,,
COGBCI,nback,cross,full,-0.0033,0.0837,0.3311,0.056,58,,
COGBCI,nback,cross,nearear,-0.0189,0.0807,0.3205,0.0541,58,,
COGBCI-PVT,pvt,cross,full,-0.0008,0.0142,0.4996,0.0071,58,,
COGBCI-PVT,pvt,cross,nearear,0.0025,0.0485,0.5012,0.0243,58,,
COGBCI-PVT,pvt,within,full,-0.0134,0.0753,0.4933,0.0376,58,,
COGBCI-PVT,pvt,within,nearear,0.0038,0.1802,0.5019,0.0901,58,,
Cho2017-full,-,within,full,0.3617,0.3809,0.6808,0.1905,30,,
STEW,-,loso,full,0.2774,0.3157,0.5261,0.2449,90,0.2766,0.0061
STEW,-,within,full,0.8999,0.1633,0.9501,0.0817,450,0.2766,0.0061
UAB,nback,within,full,0.9448,0.0661,0.9632,0.0441,45,,
UAB,nback,within,nearear,0.7178,0.192,0.812,0.128,32,,
WAUC,-,loso,full,0.0048,0.1357,0.5043,0.0676,86,-0.0032,0.0261
