dataset,subject,kappa_within,acc_within,kappa_official,acc_official,n_test_official,n_trials_total,n_channels
BCI-IV-2a,1,0.6183729389173327,0.8091349062310951,0.6111111111111112,0.8055555555555556,144,288,22
BCI-IV-2a,2,0.13283728090756047,0.5661222020568664,-0.04166666666666674,0.4791666666666667,144,288,22
BCI-IV-2a,3,0.7709767167698202,0.8855414398064125,0.75,0.875,144,288,22
BCI-IV-2a,4,0.3065395583212443,0.6532970356926799,0.16666666666666663,0.5833333333333334,144,288,22
BCI-IV-2a,5,0.6241391916283957,0.8122807017543859,0.625,0.8125,144,288,22
BCI-IV-2a,6,0.17241293166771704,0.5868723532970356,0.3472222222222222,0.6736111111111112,144,288,22
BCI-IV-2a,7,0.7635142499871322,0.8817301875378101,0.5,0.75,144,288,22
BCI-IV-2a,8,0.8194493925058539,0.9097398669086509,0.6666666666666667,0.8333333333333334,144,288,22
BCI-IV-2a,9,0.5831117815135232,0.7916515426497277,0.5833333333333333,0.7916666666666666,144,288,22
BCI-IV-2b,1,0.3333333333333333,0.6666666666666667,0.08333333333333337,0.5416666666666666,120,240,3
BCI-IV-2b,2,0.06666666666666665,0.5333333333333333,0.1166666666666667,0.5583333333333333,120,240,3
BCI-IV-2b,3,0.15,0.575,0.25,0.625,120,240,3
BCI-IV-2b,4,0.5230769230769232,0.7615384615384616,0.44285714285714284,0.7214285714285714,140,260,3
BCI-IV-2b,5,0.5230769230769231,0.7615384615384616,0.34285714285714286,0.6714285714285714,140,260,3
BCI-IV-2b,6,0.325,0.6625,0.3666666666666667,0.6833333333333333,120,240,3
BCI-IV-2b,7,0.33333333333333337,0.6666666666666666,0.44999999999999996,0.725,120,240,3
BCI-IV-2b,8,0.15,0.575,0.15000000000000002,0.575,120,280,3
BCI-IV-2b,9,0.225,0.6125,0.19999999999999996,0.6,120,240,3
