dataset,baseline,subject,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
STEW,fbcsp,1,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,1,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,1,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,1,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,1,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,2,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,2,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,2,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,2,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,2,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,3,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,3,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,3,2,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,3,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,3,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,4,0,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,4,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,4,2,42,0.7272727272727273,0.8666666666666667,59,15,14,
STEW,fbcsp,4,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,4,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,6,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,6,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,6,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,6,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,6,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,7,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,7,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,7,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,7,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,7,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,8,0,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,8,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,8,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,8,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,8,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,fbcsp,9,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,9,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,9,2,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,9,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,9,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,10,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,10,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,10,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,10,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,10,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,11,0,42,0.7272727272727273,0.8666666666666667,59,15,14,
STEW,fbcsp,11,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,11,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,11,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,11,4,42,0.7142857142857143,0.8571428571428571,60,14,14,
STEW,fbcsp,12,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,12,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,12,2,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,12,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,12,4,42,0.7142857142857143,0.8571428571428571,60,14,14,
STEW,fbcsp,13,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,13,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,13,2,42,0.7272727272727273,0.8666666666666667,59,15,14,
STEW,fbcsp,13,3,42,0.6086956521739131,0.8,59,15,14,
STEW,fbcsp,13,4,42,0.7142857142857143,0.8571428571428571,60,14,14,
STEW,fbcsp,14,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,14,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,14,2,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,14,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,14,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,15,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,15,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,15,2,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,15,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,15,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,fbcsp,16,0,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,16,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,16,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,16,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,16,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,fbcsp,17,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,17,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,17,2,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,17,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,17,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,18,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,18,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,18,2,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,18,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,18,4,42,0.7142857142857143,0.8571428571428571,60,14,14,
STEW,fbcsp,19,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,19,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,19,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,19,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,19,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,fbcsp,20,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,20,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,20,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,20,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,20,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,21,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,21,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,21,2,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,21,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,21,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,22,0,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,22,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,22,2,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,22,3,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,22,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,23,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,23,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,23,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,23,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,23,4,42,1.0,1.0,60,14,14,
