dataset,montage,feature_family,classifier,subject,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
UAB,full,fbcsp,lda,1,0,42,0.9921441204294,0.9947643979057592,760,191,14,
UAB,full,fbcsp,svm,1,0,42,0.9685700181010368,0.9790575916230366,760,191,14,
UAB,full,fbcsp,decision_tree,1,0,42,0.9214476660497636,0.9476439790575916,760,191,14,
UAB,full,fbcsp,random_forest,1,0,42,0.984287594603488,0.9895287958115184,760,191,14,
UAB,full,bandpower,lda,1,0,42,1.0,1.0,760,191,14,
UAB,full,bandpower,svm,1,0,42,1.0,1.0,760,191,14,
UAB,full,bandpower,decision_tree,1,0,42,0.9921441204294,0.9947643979057592,760,191,14,
UAB,full,bandpower,random_forest,1,0,42,1.0,1.0,760,191,14,
UAB,full,fbcsp,lda,1,1,42,0.9447307180851064,0.963157894736842,761,190,14,
UAB,full,fbcsp,svm,1,1,42,0.9763052876621218,0.9842105263157894,761,190,14,
UAB,full,fbcsp,decision_tree,1,1,42,0.928939494680851,0.9526315789473684,761,190,14,
UAB,full,fbcsp,random_forest,1,1,42,0.9684175531914894,0.9789473684210528,761,190,14,
UAB,full,bandpower,lda,1,1,42,0.9921030756442228,0.9947368421052633,761,190,14,
UAB,full,bandpower,svm,1,1,42,1.0,1.0,761,190,14,
UAB,full,bandpower,decision_tree,1,1,42,0.9763092269326684,0.9842105263157894,761,190,14,
UAB,full,bandpower,random_forest,1,1,42,1.0,1.0,761,190,14,
UAB,full,fbcsp,lda,1,2,42,0.9763052876621218,0.9842105263157894,761,190,14,
UAB,full,fbcsp,svm,1,2,42,0.9763052876621218,0.9842105263157894,761,190,14,
UAB,full,fbcsp,decision_tree,1,2,42,0.944712337878284,0.963157894736842,761,190,14,
UAB,full,fbcsp,random_forest,1,2,42,0.9763052876621218,0.9842105263157894,761,190,14,
UAB,full,bandpower,lda,1,2,42,1.0,1.0,761,190,14,
UAB,full,bandpower,svm,1,2,42,1.0,1.0,761,190,14,
UAB,full,bandpower,decision_tree,1,2,42,0.9684017961084316,0.9789473684210528,761,190,14,
UAB,full,bandpower,random_forest,1,2,42,0.9921017625540406,0.9947368421052633,761,190,14,
UAB,full,fbcsp,lda,1,3,42,0.9842087765957448,0.9894736842105264,761,190,14,
UAB,full,fbcsp,svm,1,3,42,0.9763121805261188,0.9842105263157894,761,190,14,
UAB,full,fbcsp,decision_tree,1,3,42,0.9605137370630532,0.9736842105263158,761,190,14,
UAB,full,fbcsp,random_forest,1,3,42,0.976314149179306,0.9842105263157894,761,190,14,
UAB,full,bandpower,lda,1,3,42,1.0,1.0,761,190,14,
UAB,full,bandpower,svm,1,3,42,1.0,1.0,761,190,14,
UAB,full,bandpower,decision_tree,1,3,42,0.9921034038485516,0.9947368421052633,761,190,14,
UAB,full,bandpower,random_forest,1,3,42,1.0,1.0,761,190,14,
UAB,full,fbcsp,lda,1,4,42,0.976314149179306,0.9842105263157894,761,190,14,
UAB,full,fbcsp,svm,1,4,42,0.976314149179306,0.9842105263157894,761,190,14,
UAB,full,fbcsp,decision_tree,1,4,42,0.8894338681519661,0.9263157894736842,761,190,14,
UAB,full,fbcsp,random_forest,1,4,42,0.9605203008768648,0.9736842105263158,761,190,14,
UAB,full,bandpower,lda,1,4,42,1.0,1.0,761,190,14,
UAB,full,bandpower,svm,1,4,42,1.0,1.0,761,190,14,
UAB,full,bandpower,decision_tree,1,4,42,0.9684123025768911,0.9789473684210528,761,190,14,
UAB,full,bandpower,random_forest,1,4,42,0.9921034038485516,0.9947368421052633,761,190,14,
UAB,full,fbcsp,lda,2,0,42,0.8085539714867617,0.8723404255319149,751,188,14,
UAB,full,fbcsp,svm,2,0,42,0.8643578643578643,0.9095744680851064,751,188,14,
UAB,full,fbcsp,decision_tree,2,0,42,0.7606721547992871,0.8404255319148937,751,188,14,
UAB,full,fbcsp,random_forest,2,0,42,0.8563850103976574,0.9042553191489362,751,188,14,
UAB,full,bandpower,lda,2,0,42,0.9601103331211542,0.973404255319149,751,188,14,
UAB,full,bandpower,svm,2,0,42,0.9601069473326826,0.973404255319149,751,188,14,
UAB,full,bandpower,decision_tree,2,0,42,0.9122427328665392,0.9414893617021276,751,188,14,
UAB,full,bandpower,random_forest,2,0,42,0.9680869122390088,0.9787234042553192,751,188,14,
UAB,full,fbcsp,lda,2,1,42,0.8803360773996436,0.9202127659574468,751,188,14,
UAB,full,fbcsp,svm,2,1,42,0.944140243643618,0.9627659574468084,751,188,14,
UAB,full,fbcsp,decision_tree,2,1,42,0.7686104744928275,0.8457446808510638,751,188,14,
UAB,full,fbcsp,random_forest,2,1,42,0.9122278341326768,0.9414893617021276,751,188,14,
UAB,full,bandpower,lda,2,1,42,0.9601069473326826,0.973404255319149,751,188,14,
UAB,full,bandpower,svm,2,1,42,0.9840421016891604,0.9893617021276596,751,188,14,
UAB,full,bandpower,decision_tree,2,1,42,0.864380887719596,0.9095744680851064,751,188,14,
UAB,full,bandpower,random_forest,2,1,42,0.9601069473326826,0.973404255319149,751,188,14,
UAB,full,fbcsp,lda,2,2,42,0.8564093860058557,0.9042553191489362,751,188,14,
UAB,full,fbcsp,svm,2,2,42,0.8723530659876936,0.9148936170212766,751,188,14,
UAB,full,fbcsp,decision_tree,2,2,42,0.7286581483210934,0.8191489361702128,751,188,14,
UAB,full,fbcsp,random_forest,2,2,42,0.8324349560714741,0.8882978723404256,751,188,14,
UAB,full,bandpower,lda,2,2,42,0.9281894576012224,0.952127659574468,751,188,14,
UAB,full,bandpower,svm,2,2,42,0.9281925051988288,0.952127659574468,751,188,14,
UAB,full,bandpower,decision_tree,2,2,42,0.888289970714316,0.925531914893617,751,188,14,
UAB,full,bandpower,random_forest,2,2,42,0.9601103331211542,0.973404255319149,751,188,14,
UAB,full,fbcsp,lda,2,3,42,0.8962516449463005,0.9308510638297872,751,188,14,
UAB,full,fbcsp,svm,2,3,42,0.9201834083382864,0.946808510638298,751,188,14,
UAB,full,fbcsp,decision_tree,2,3,42,0.784486052732136,0.8563829787234043,751,188,14,
UAB,full,fbcsp,random_forest,2,3,42,0.8962384308397724,0.9308510638297872,751,188,14,
UAB,full,bandpower,lda,2,3,42,0.9601069473326826,0.973404255319149,751,188,14,
UAB,full,bandpower,svm,2,3,42,0.9840414243877594,0.9893617021276596,751,188,14,
UAB,full,bandpower,decision_tree,2,3,42,0.8962516449463005,0.9308510638297872,751,188,14,
UAB,full,bandpower,random_forest,2,3,42,0.944135501124931,0.9627659574468084,751,188,14,
UAB,full,fbcsp,lda,2,4,42,0.8155897611799512,0.8770053475935828,752,187,14,
UAB,full,fbcsp,svm,2,4,42,0.8716650939349747,0.9144385026737968,752,187,14,
UAB,full,fbcsp,decision_tree,2,4,42,0.6711418032083727,0.7807486631016043,752,187,14,
UAB,full,fbcsp,random_forest,2,4,42,0.7994595058339052,0.8663101604278075,752,187,14,
UAB,full,bandpower,lda,2,4,42,0.9438534785965514,0.962566844919786,752,187,14,
UAB,full,bandpower,svm,2,4,42,0.9679162734837436,0.9786096256684492,752,187,14,
UAB,full,bandpower,decision_tree,2,4,42,0.8877310347785068,0.9251336898395722,752,187,14,
