dataset,paradigm,n_channels,subject,system,kappa,latency_ms_per_trial,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_iqr_ms,latency_mean_ms,cpu_ms_per_trial,epoch_seconds,realtime_factor,realtime_factor_p99,model_footprint_kb,param_bytes,n_params,fit_seconds,online_update_ms_per_trial,online_update_p95_ms,online_update_us_per_arm,n_arms,energy_mj_per_trial,energy_mj_embedded_2w,tdp_watts,n_train,n_test,n_timing_samples,host_cpu,host_cores,host_ram_gb,host_os,python,numpy,torch,blas_threads
BCI-IV-2a,MI,22,1,FBCSP + LDA,0.483,8.0123,8.0123,11.5432,19.7261,1.1756,8.7399,8.3445,4.004,0.002001,0.004927,87.3,85496,10607,3.2701,0.0,0.0,0.0,0,125.167,16.689,15.0,230,58,580,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
BCI-IV-2a,MI,22,1,BandPower + LDA,0.483,0.3299,0.3299,0.6886,0.9966,0.0179,0.3738,0.3651,4.004,8.2e-05,0.000249,36.5,36536,4559,0.0753,0.0,0.0,0.0,0,5.476,0.73,15.0,230,58,580,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
BCI-IV-2a,MI,22,1,CCB,0.241,1.6263,1.6263,2.8138,3.1511,0.4168,1.8363,1.7967,4.004,0.000406,0.000787,12.8,11520,1260,3.2378,0.432,0.6703,5.8384,74,26.951,3.593,15.0,230,58,580,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
BCI-IV-2a,MI,22,1,EEGNet (CNN),0.655,0.5941,0.5941,1.8469,2.1737,0.168,0.7798,0.7619,4.004,0.000148,0.000543,21.7,12176,2940,45.9796,0.0,0.0,0.0,0,11.428,1.524,15.0,230,58,580,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
BCI-IV-2b,MI,3,1,FBCSP + LDA,0.292,4.9376,4.9376,5.7474,6.5742,0.5682,5.1211,4.9216,4.004,0.001233,0.001642,13.0,9464,1103,0.276,0.0,0.0,0.0,0,73.825,9.843,15.0,192,48,480,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
BCI-IV-2b,MI,3,1,BandPower + LDA,0.458,0.2118,0.2118,0.3128,0.548,0.0128,0.2278,0.221,4.004,5.3e-05,0.000137,1.8,968,113,0.0481,0.0,0.0,0.0,0,3.315,0.442,15.0,192,48,480,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
BCI-IV-2b,MI,3,1,CCB,0.083,1.1848,1.1848,1.8006,2.2539,0.1435,1.2995,1.2649,4.004,0.000296,0.000563,3.5,2488,163,0.828,0.2602,0.4327,4.6458,56,18.974,2.53,15.0,192,48,480,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
BCI-IV-2b,MI,3,1,EEGNet (CNN),0.25,0.2474,0.2474,0.3234,0.4638,0.0115,0.2597,0.2553,4.004,6.2e-05,0.000116,20.5,10960,2636,19.5759,0.0,0.0,0.0,0,3.83,0.511,15.0,192,48,480,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
STEW,CL,14,1,FBCSP + LDA,1.0,6.8113,6.8113,7.8051,10.0557,0.4682,6.8832,6.7238,4.0,0.001703,0.002514,45.2,42392,5279,0.3618,0.0,0.0,0.0,0,100.856,13.448,15.0,59,15,150,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
STEW,CL,14,1,BandPower + LDA,1.0,0.2623,0.2623,0.3976,0.571,0.0163,0.2853,0.2787,4.0,6.6e-05,0.000143,15.7,15176,1895,0.0177,0.0,0.0,0.0,0,4.18,0.557,15.0,59,15,150,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
STEW,CL,14,1,CCB,1.0,1.0182,1.0182,1.5271,1.6989,0.1054,1.1001,1.0814,4.0,0.000255,0.000425,5.7,4264,518,0.9006,0.2302,0.3633,2.3025,100,16.221,2.163,15.0,59,15,150,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
STEW,CL,14,1,EEGNet (CNN),1.0,0.3665,0.3665,0.9101,1.4049,0.0538,0.4646,0.4341,4.0,9.2e-05,0.000351,21.1,11616,2812,10.2705,0.0,0.0,0.0,0,6.511,0.868,15.0,59,15,150,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
UAB near-ear,CL,2,1,FBCSP + LDA,0.607,4.8394,4.8394,6.097,9.0113,0.8822,5.1452,4.9502,4.0,0.00121,0.002253,8.6,5232,594,0.568,0.0,0.0,0.0,0,74.253,9.9,15.0,760,191,1910,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
UAB near-ear,CL,2,1,BandPower + LDA,0.686,0.1894,0.1894,0.2551,0.382,0.0095,0.1985,0.1952,4.0,4.7e-05,9.5e-05,1.5,696,81,0.1306,0.0,0.0,0.0,0,2.928,0.39,15.0,760,191,1910,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
UAB near-ear,CL,2,1,CCB,0.465,0.7225,0.7225,1.1638,1.595,0.0526,0.7889,0.772,4.0,0.000181,0.000399,7.3,5912,453,1.2226,0.7899,1.6178,7.8988,100,11.58,1.544,15.0,760,191,1910,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
UAB near-ear,CL,2,1,EEGNet (CNN),0.717,0.2251,0.2251,0.3107,0.456,0.0102,0.2391,0.2343,4.0,5.6e-05,0.000114,22.4,12876,3118,73.7185,0.0,0.0,0.0,0,3.515,0.469,15.0,760,191,1910,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
COG-BCI,CL,62,1,FBCSP + LDA,1.0,14.3591,14.3591,18.0019,25.9934,0.7928,15.0335,14.2874,4.0,0.00359,0.006498,561.5,571320,71370,20.5787,0.0,0.0,0.0,0,214.311,28.575,15.0,239,60,600,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
COG-BCI,CL,62,1,BandPower + LDA,0.85,0.5526,0.5526,0.9246,1.0605,0.0437,0.5984,0.5832,4.0,0.000138,0.000265,279.9,285804,35721,0.1538,0.0,0.0,0.0,0,8.748,1.166,15.0,239,60,600,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
COG-BCI,CL,62,1,CCB,0.9,1.622,1.622,2.3104,2.8915,0.2525,1.7703,1.7134,4.0,0.000406,0.000723,55.8,56024,6934,53.938,0.558,0.8782,5.5802,100,25.701,3.427,15.0,239,60,600,Apple M3,8,8.0,Darwin 25.5.0,3.12.3,2.4.4,2.12.0,1
