dataset,method,subject,seed,kappa,accuracy,n_train,n_test,n_classes_test,y_true_seq,y_pred_seq
STEW,fbcsp,1,-1,-0.08235294117647052,0.3783783783783784,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high,high;high;high;high;high;high;high;low;high;high;high;high;high;high;high;high;high;high;high;low;high;low;high;high;high;high;high;high;high;high;high;high;high;high;high;low;low;high;medium;high;medium;medium;medium;low;low;high;high;high;high;medium;high;high;high;high;high;high;high;high;medium;high;medium;low;medium;medium;high;medium;high;medium;high;high;high;high;high;high
STEW,fbcsp,2,-1,0.2857142857142857,0.4594594594594595,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium,low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;high;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;medium;high;high;high;high;high;high;high;high;high;high;high;low;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;medium;medium;high;high
STEW,fbcsp,3,-1,0.25,0.5135135135135135,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium,low;low;low;low;high;low;low;low;low;low;medium;low;high;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;high;high;medium;high;medium;high;low;high;low;low;low;low;medium;low;high;low;high;high;medium;medium;high;low;high;high;high;low;low;low;high;low;high;high;high;high;low;high
STEW,fbcsp,4,-1,0.2743362831858407,0.44594594594594594,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium,low;low;low;low;low;low;low;low;high;low;low;low;low;high;low;medium;high;low;high;low;low;low;low;high;low;low;low;low;low;low;low;high;low;low;low;low;low;high;high;high;high;high;high;high;medium;medium;high;medium;high;high;low;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high
STEW,fbcsp,6,-1,0.03125,0.16216216216216217,3256,74,2,medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high,low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low;high;high;low;high;low;high;high;low;low;high;high;low;high;low;low;low;low;low;low;low;low;low;high;high;high;low;high;high;high;low;low;low;low;low;high;low;low;low;low;low;low;low;low;high;high;low
STEW,fbcsp,7,-1,0.05128205128205132,0.5,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;high
STEW,fbcsp,8,-1,0.5681818181818181,0.7432432432432432,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;high;high;medium;medium;high;medium;high;medium;medium;high;medium;medium;medium;low;low;high;medium;high;high;high;low;high;high;high;high;medium;high;low;high;medium;high;high;medium;medium;medium
STEW,fbcsp,9,-1,0.17500000000000004,0.5540540540540541,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high;high,high;low;low;medium;low;medium;low;high;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;low;low;low;low;low;low;low;low;low;low;medium;high;high;low;medium;high;low;low;low;low;low;medium;low;high;high;low;low;low;low;low;high;low;low;low;high;high;low;low;low;low;high;low;low;low;low;high
STEW,fbcsp,10,-1,0.2761904761904762,0.4864864864864865,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium,low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;high;high;low;high;high;high;low;high;high;high;high;high;high;high;low;high;high;high;high;high;high;high;high;low;high;high;high;high;low;low;high;high;high;low;high;high
STEW,fbcsp,11,-1,0.19999999999999996,0.5135135135135135,3256,74,2,low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium,low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;high;low;high;medium;low;high;high;high;high;low;high;high;low;low;low;low;low;low;low;low;low;low;high;low;low;medium;low;high;high;high;low;high;medium
