dataset,protocol,montage,method,feature_family,classifier,subject,seed,kappa,accuracy,n_train,n_test,n_channels,n_arms_surviving,final_regret,error
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,1,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,1,-1,-0.33333333333333326,0.3333333333333333,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,1,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,1,-1,-0.33333333333333326,0.3333333333333333,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,1,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,1,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,1,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,1,-1,-0.33333333333333326,0.3333333333333333,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,1,0,-0.5555555555555556,0.2222222222222222,72,18,2,45,18.0,
COGBCI-PVT,within,nearear,ccb,,,1,1,-0.22222222222222232,0.3888888888888889,72,18,2,36,26.0,
COGBCI-PVT,within,nearear,ccb,,,1,2,0.2222222222222222,0.6111111111111112,72,18,2,54,29.0,
COGBCI-PVT,within,nearear,ccb,,,1,3,0.0,0.5,72,18,2,67,24.0,
COGBCI-PVT,within,nearear,ccb,,,1,42,-0.11111111111111116,0.4444444444444444,72,18,2,35,31.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,1,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,1,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,1,-1,-0.06666666666666665,0.4666666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,1,-1,0.033333333333333326,0.5166666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,1,-1,0.1444444444444445,0.5722222222222222,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,1,-1,0.1333333333333333,0.5666666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,1,-1,-0.03333333333333344,0.48333333333333334,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,1,-1,0.0888888888888889,0.5444444444444444,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,1,0,-0.04444444444444451,0.4777777777777778,90,180,2,44,29.0,
COGBCI-PVT,cross,nearear,ccb,,,1,1,-0.011111111111111072,0.49444444444444446,90,180,2,45,34.0,
COGBCI-PVT,cross,nearear,ccb,,,1,2,-0.011111111111111072,0.49444444444444446,90,180,2,23,24.0,
COGBCI-PVT,cross,nearear,ccb,,,1,3,0.09999999999999998,0.55,90,180,2,27,30.0,
COGBCI-PVT,cross,nearear,ccb,,,1,42,-0.011111111111111072,0.49444444444444446,90,180,2,29,35.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,2,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,2,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,2,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,2,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,2,-1,-0.4444444444444444,0.2777777777777778,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,2,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,2,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,2,-1,-0.33333333333333326,0.3333333333333333,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,2,0,0.11111111111111116,0.5555555555555556,72,18,2,24,21.0,
COGBCI-PVT,within,nearear,ccb,,,2,1,-0.33333333333333326,0.3333333333333333,72,18,2,28,24.0,
COGBCI-PVT,within,nearear,ccb,,,2,2,0.0,0.5,72,18,2,25,22.0,
COGBCI-PVT,within,nearear,ccb,,,2,3,-0.11111111111111116,0.4444444444444444,72,18,2,41,26.0,
COGBCI-PVT,within,nearear,ccb,,,2,42,-0.11111111111111116,0.4444444444444444,72,18,2,24,25.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,2,-1,-0.04444444444444451,0.4777777777777778,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,2,-1,-0.0888888888888888,0.45555555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,2,-1,0.1333333333333333,0.5666666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,2,-1,-0.0888888888888888,0.45555555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,2,-1,0.033333333333333326,0.5166666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,2,-1,-0.11111111111111116,0.4444444444444444,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,2,-1,-0.10000000000000009,0.45,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,2,-1,-0.06666666666666665,0.4666666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,2,0,0.1444444444444445,0.5722222222222222,90,180,2,54,33.0,
COGBCI-PVT,cross,nearear,ccb,,,2,1,-0.022222222222222143,0.4888888888888889,90,180,2,33,31.0,
COGBCI-PVT,cross,nearear,ccb,,,2,2,0.033333333333333326,0.5166666666666667,90,180,2,35,29.0,
COGBCI-PVT,cross,nearear,ccb,,,2,3,0.033333333333333326,0.5166666666666667,90,180,2,24,32.0,
COGBCI-PVT,cross,nearear,ccb,,,2,42,-0.1333333333333333,0.43333333333333335,90,180,2,44,29.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,3,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,3,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,3,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,3,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,3,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,3,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,3,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,3,-1,0.33333333333333337,0.6666666666666666,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,3,0,0.0,0.5,72,18,2,83,29.0,
COGBCI-PVT,within,nearear,ccb,,,3,1,0.11111111111111116,0.5555555555555556,72,18,2,31,22.0,
COGBCI-PVT,within,nearear,ccb,,,3,2,-0.11111111111111116,0.4444444444444444,72,18,2,21,18.0,
COGBCI-PVT,within,nearear,ccb,,,3,3,0.0,0.5,72,18,2,51,20.0,
COGBCI-PVT,within,nearear,ccb,,,3,42,-0.22222222222222232,0.3888888888888889,72,18,2,9,12.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,3,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,3,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,3,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,3,-1,0.11111111111111116,0.5555555555555556,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,3,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,3,-1,0.022222222222222254,0.5111111111111111,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,3,-1,0.11111111111111116,0.5555555555555556,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,3,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,3,0,0.0,0.5,90,180,2,24,29.0,
COGBCI-PVT,cross,nearear,ccb,,,3,1,0.0,0.5,90,180,2,42,29.0,
COGBCI-PVT,cross,nearear,ccb,,,3,2,0.0,0.5,90,180,2,24,29.0,
COGBCI-PVT,cross,nearear,ccb,,,3,3,0.0,0.5,90,180,2,8,29.0,
COGBCI-PVT,cross,nearear,ccb,,,3,42,0.0,0.5,90,180,2,46,27.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,4,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,4,-1,-0.33333333333333326,0.3333333333333333,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,4,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,4,-1,-0.33333333333333326,0.3333333333333333,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,4,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,4,-1,-0.33333333333333326,0.3333333333333333,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,4,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,4,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,4,0,-0.11111111111111116,0.4444444444444444,72,18,2,42,25.0,
COGBCI-PVT,within,nearear,ccb,,,4,1,0.33333333333333337,0.6666666666666666,72,18,2,24,23.0,
COGBCI-PVT,within,nearear,ccb,,,4,2,0.2222222222222222,0.6111111111111112,72,18,2,39,26.0,
COGBCI-PVT,within,nearear,ccb,,,4,3,-0.33333333333333326,0.3333333333333333,72,18,2,28,26.0,
COGBCI-PVT,within,nearear,ccb,,,4,42,-0.22222222222222232,0.3888888888888889,72,18,2,43,27.0,
