ds,par,ch,n,mon,prot,leak,fixed,ccb,eeg,pub,pubnote,delta_ccb
STEW,CL,14,45,full,within-CV,True,0.9524828270521958,0.7438540660713723,0.8999209077340389,0.46,Lim SVR+NCA (within-CV),0.2086287609808235
STEW,CL,14,45,full,LOSO,False,0.3135642104813383,0.24270188712252094,0.2765546065962852,--,,0.07086232335881737
WAUC,CL,8,45,full,within-CV,True,0.784568920113948,0.42611904195757977,,--,no published decoding benchmark,0.3584498781563682
WAUC,CL,8,43,full,LOSO,False,-0.0017916557134720623,-0.0025641319077620572,-0.0032318510170236125,--,,0.0007724761942899949
UAB,CL,14,16,full,within-CV,True,0.9629052951030062,0.7757514944240637,0.9448326628114685,--,,0.1871538006789425
UAB near-ear,CL,2,16,T7/T8,within-CV,True,0.7139223794160512,0.37513521334345556,0.7178025946714932,--,,0.3387871660725956
COG-BCI n-back,CL,62,29,full,cross-session,False,0.07773945418937019,0.011965623711538356,-0.0033,0.65,Hinss MDM (5-fold),0.06577383047783184
COG-BCI n-back near-ear,CL,2,29,T7/T8,cross-session,False,0.06170451846067078,0.012844972534963422,-0.0189,--,,0.048859545925707355
COG-BCI MATB (compet.),CL,61,15,full,cross-session,False,0.2959731543624161,0.12541387024608497,0.1346,0.54,Roy 2022 leaderboard (acc.); competition split,0.17055928411633114
COG-BCI MATB near-ear,CL,2,29,T7/T8,cross-session,False,0.2176141658900279,0.042101584342963655,0.0202,--,no-adaptation near-ear,0.17551258154706426
BCI-IV-2a,MI,22,9,full,within-CV (2-cl),False,0.5679034444074313,0.3172413793103448,,0.569,Ang FBCSP (4-cl official),0.25066206509708655
BCI-IV-2b,MI,3,9,full,within-CV,False,0.29216524216524214,0.18386888888888892,0.3406,0.600,Ang FBCSP,0.10829635327635323
Cho2017 full,MI,64,50,full,within-CV,False,0.20213333333333333,0.07669999999999998,,0.675,Cho CSP+FLDA (acc.),0.12543333333333334
Cho2017 3-ch,MI,3,50,C3/Cz/C4,within-CV,False,0.19046666666666665,0.08173333333333332,,--,,0.10873333333333332
